,KILPANI,LANDARA,PUNUTUMA,SAN JACINTO
2019-12-31 00:00:00+00:00,2.35,2.35,2.35,15.91
2020-01-01 00:00:00+00:00,2.35,2.35,2.35,15.91
2020-01-02 00:00:00+00:00,2.35,2.35,2.35,15.91
2020-01-03 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-04 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-05 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-06 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-07 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-08 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-09 00:00:00+00:00,2.349857143,2.349857143,2.349857143,15.90712348
2020-01-10 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-11 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-12 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-13 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-14 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-15 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-16 00:00:00+00:00,2.271571429,2.271571429,2.271571429,8.400152554
2020-01-17 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-18 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-19 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-20 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-21 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-22 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-23 00:00:00+00:00,2.292142857,2.292142857,2.292142857,39.39811584
2020-01-24 00:00:00+00:00,2.538,2.538,2.538,18.86329063
