,0
[67] - VALLE DE ZONGO - TIQUIMANI,26350.97689363309
[95] - WAR04,789.5709543808273
[99] - ARJ08,14856.103113466048
[107] - ARJ14,812.2822052859993
[81] - GCH04,622.6937796146773
[94] - WAR03,20857.232136620263
[14] - BUL02,6923.920975812377
[85] - GCH11,35983.196521219084
[46] - MOS04,2.272
[114] - CCSUR40-41-42,399258.1052532818
[93] - WAR02,21628.44893484919
[32] - CHOQUETANGA,52389.42171568255
[34] - KANATA,39845.89023816847
[33] - CARABUCO,52524.974071101045
[28] - SAN JOSE 2,321484.753150671
[97] - CCWAR30-31-32,125190.3310867266
[37] - SBU01,8490.0
[29] - MISICUNI,1054080.0
[111] - SUR03,11326.379303956772
[117] - KILPANI,2381.3800228463338
[20] - CCERI30-31-32,482201.8088331584
[52] - MOS10,2.256
[31] - ANGOSTURA,39145.68331119096
[118] - LANDARA,850.492858742469
[119] - PUNUTUMA,876.0076488575162
[76] - CHOJLLA,158834.33911869666
[71] - VALLE DE ZONGO - SAINANI,84135.03715881283
[86] - GCH12,647518.005084422
[25] - CORANI,573068.1599999416
[113] - CCSUR30-31-32,219002.3171722446
[26] - SANTA ISABEL,800310.2399998982
[98] - CCWAR40-41-42,474798.19318519987
[66] - SISTEMA ZONGO,2547.3898979965265
[35] - ALT01,8535.204028102751
[78] - SISTEMA QUEHATA,4104.4969602033225
[9] - QOLLPANA II,16562.249053584026
[104] - ARJ11,105.64595479884022
[22] - CCERI50-51-52,26598.725902643626
[39] - MOA05,0.6600000000000001
[12] - CAR03,4802.682635234741
[13] - BUL01,13229.650096156809
[21] - CCERI40-41-42,922722.2430217628
[82] - GCH06,649.8907572521549
[70] - VALLE DE ZONGO - SANTA ROSA,56522.668371059
[30] - MIGUILLA,11767.017673647637
[69] - VALLE DE ZONGO - CUTICUCHO,155228.90917901916
[68] - VALLE DE ZONGO - BOTIJILACA,47596.88112506468
[90] - GBE01,73521.0
[24] - ORURO II,102648.56089505741
[7] - VHE08,2290.26787553003
[6] - VHE07,2100.6781226897815
[15] - BUL03,5246.605875056024
[77] - YANACACHI,317043.21398444904
[83] - GCH09,143670.15932940194
[89] - UNA01,57875.400000003065
[105] - ARJ12,968.3912099834463
[106] - ARJ13,1210.9540697509435
[108] - ARJ15,1013.7258740655388
[4] - VHE05,3091.800862562354
[72] - VALLE DE ZONGO - CHURURAQUI,190897.9662552154
[115] - UYUNI_COLCHAK,111779.03912529336
[84] - GCH10,183111.35859282667
[116] - YUNCHARA,7762.9091379999945
[27] - SAN JOSE 1,472560.0
[23] - ORURO I,102648.56089505741
[5] - VHE06,3329.575227839214
[75] - VALLE DE ZONGO - HUAJI,164813.41315374483
[120] - SAN JACINTO,25331.294741331414
[74] - VALLE DE ZONGO - CAHUA,202297.05484212472
[92] - WAR01,15595.743641908151
[8] - QOLLPANA I,3229.8755226107073
[103] - ARJ09,832.540649038354
[96] - WAR05,21664.373497178305
[73] - VALLE DE ZONGO - HARCA,193987.32180063735
