,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
2020-01-04 04:00:00+00:00,0.271808615,0.498305411,0.265785615,0.230915292
2020-01-04 05:00:00+00:00,0.27140567,0.498138558,0.265408665,0.230630653
2020-01-04 06:00:00+00:00,0.271075277,0.497999998,0.265096811,0.230394824
2020-01-04 07:00:00+00:00,0.270817844,0.497890113,0.26485077,0.230208386
2020-01-04 08:00:00+00:00,0.270632658,0.497808854,0.26467027,0.230071183
2020-01-04 09:00:00+00:00,0.270517985,0.497755781,0.264554126,0.229982376
2020-01-04 10:00:00+00:00,0.270471171,0.497730092,0.264500329,0.229940505
2020-01-04 11:00:00+00:00,0.270488733,0.49773066,0.264506119,0.229943551
2020-01-04 12:00:00+00:00,0.270566463,0.497756064,0.264568073,0.229988991
2020-01-04 13:00:00+00:00,0.270699522,0.497804629,0.264682182,0.230073862
2020-01-04 14:00:00+00:00,0.270882538,0.497874451,0.264843931,0.23019482
2020-01-04 15:00:00+00:00,0.271109703,0.497963439,0.265048385,0.2303482
2020-01-04 16:00:00+00:00,0.271374876,0.498069345,0.265290266,0.230530076
2020-01-04 17:00:00+00:00,0.27167167,0.498189799,0.265564036,0.230736318
2020-01-04 18:00:00+00:00,0.271993562,0.498322342,0.265863977,0.230962659
2020-01-04 19:00:00+00:00,0.27233398,0.498464462,0.266184273,0.231204746
2020-01-04 20:00:00+00:00,0.272686408,0.498613627,0.26651909,0.231458208
2020-01-04 21:00:00+00:00,0.27304448,0.498767316,0.266862659,0.231718712
2020-01-04 22:00:00+00:00,0.273402077,0.498923059,0.267209354,0.231982022
2020-01-04 23:00:00+00:00,0.273753427,0.499078466,0.267553776,0.23224406
2020-01-05 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-05 01:00:00+00:00,0.274416616,0.499379323,0.268215821,0.23274917
2020-01-05 02:00:00+00:00,0.274719489,0.4995207,0.268524484,0.232985402
2020-01-05 03:00:00+00:00,0.274998254,0.499653626,0.268813023,0.233206743
