,ANGOSTURA,CORANI,MIGUILLA,MISICUNI
1996-12-31 23:00:00+00:00,2.9505396069823435,4.968783947404507,2.1074742211764708,5.362816240863751
1997-01-01 00:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 01:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 02:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 03:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 04:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 05:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 06:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 07:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 08:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 09:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 10:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 11:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 12:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 13:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 14:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 15:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 16:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 17:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 18:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 19:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 20:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 21:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 22:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-01 23:00:00+00:00,3.1814514023113967,4.9611558008723184,2.276824828235294,5.353327584172502
1997-01-02 00:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 01:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 02:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 03:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 04:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 05:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 06:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 07:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 08:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 09:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 10:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 11:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 12:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 13:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 14:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 15:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 16:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 17:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 18:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 19:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 20:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 21:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 22:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-02 23:00:00+00:00,3.2156605571749592,4.933503769693135,2.295641562352942,5.31796077286875
1997-01-03 00:00:00+00:00,2.8650167198234353,4.883920817233905,2.05102401882353,5.254990596645
1997-01-03 01:00:00+00:00,2.8650167198234353,4.883920817233905,2.05102401882353,5.254990596645
1997-01-03 02:00:00+00:00,2.8650167198234353,4.883920817233905,2.05102401882353,5.254990596645
1997-01-03 03:00:00+00:00,2.8650167198234353,4.883920817233905,2.05102401882353,5.254990596645
1997-01-03 04:00:00+00:00,2.8650167198234353,4.883920817233905,2.05102401882353,5.254990596645
1997-01-03 05:00:00+00:00,2.8650167198234353,4.883920817233905,2.05102401882353,5.254990596645
