,BANDA AZUL,CANAHUECAL,CORANI,ICONA,JATUN PAMPA,MISICUNI,MOLINEROS,SAN JOSE 1,SAN JOSE 2,SANTA ISABEL,SERIPOMA
1984-01-01 00:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 01:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 02:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 03:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 04:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 05:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 06:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 07:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 08:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 09:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 10:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 11:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 12:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 13:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 14:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 15:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 16:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 17:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 18:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 19:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 20:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 21:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 22:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
1984-01-01 23:00:00,0.3076440024489796,3.7936855849284004,0.9238970934433334,2.672573087991177,2.823102630369554,1.9184338619399997,6.499945172407499,1.3186765131381817,1.6935797012869565,0.5506684487283873,3.7916067356639997
