,CANAHUECAL,CORANI,ICONA,JATUN PAMPA,MISICUNI,MOLINEROS,SERIPOMA
2015-03-26 14:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 15:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 16:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 17:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 18:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 19:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 20:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 21:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 22:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-26 23:00:00,1.323895900986,0.4711644778283334,1.3630107166147056,0.9851933782911464,1.21713587194125,2.2021197476850003,1.32317216235
2015-03-27 00:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 01:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 02:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 03:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 04:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 05:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 06:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 07:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 08:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 09:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 10:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 11:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 12:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 13:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 14:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 15:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 16:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 17:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 18:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 19:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 20:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 21:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 22:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-27 23:00:00,1.3200656841936003,0.4826843917116666,1.3972924540852942,0.9823428923035846,1.30512159762375,2.6652874837500002,1.3193555406480002
2015-03-28 00:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 01:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 02:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 03:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 04:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 05:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 06:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 07:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 08:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 09:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 10:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 11:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 12:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 13:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 14:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 15:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 16:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 17:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 18:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 19:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 20:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 21:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 22:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-28 23:00:00,1.3666048774776,0.46310053810999996,1.3393251525441179,1.0169692876606846,1.3197858852375004,2.7164215176975004,1.3658447519819998
2015-03-29 00:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 01:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 02:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 03:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 04:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 05:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 06:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 07:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 08:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 09:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 10:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 11:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 12:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 13:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
2015-03-29 14:00:00,1.3223720512944002,0.42393283090666667,1.225883766732353,0.9840718756075155,1.2378383956312502,2.296095810075,1.3216547103480003
