,QUEHATA,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,YANACACHI
2019-12-31 23:00:00+00:00,0.473829187,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 00:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 01:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 02:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 03:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 04:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 05:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 06:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 07:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 08:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 09:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 10:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 11:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 12:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 13:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 14:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 15:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 16:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 17:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 18:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 19:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 20:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 21:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 22:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
2020-01-01 23:00:00+00:00,0.33844942,1.467355556,1.761034273,1.550247563,1.383775418,1.863795012,1.756413799,1.969774369,1.689823303
