,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,YANACACHI
2014-12-31 23:00:00+00:00,1.4055129845814982,1.6746093804603854,1.8174807143560459,1.45063851609926,1.8184342172727275,1.3950186044776123,1.878350242114286,2.00763410816775
2015-01-01 00:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 01:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 02:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 03:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 04:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 05:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 06:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 07:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
2015-01-01 08:00:00+00:00,1.5741745427312774,1.8820291215738763,2.0418975044308785,1.6279710801915541,2.043904050522244,1.5674273208955225,2.111066201314286,2.0657702309911405
