,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - HUAJI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO,CHOJLLA,YANACACHI,KILPANI,LANDARA,PUNUTUMA,KANATA,SAN JACINTO,MISICUNI
2019-12-31 00:00:00+00:00,26.68,28.18,38.65,38.65,0.64,1.39,2.61,4.76,6.44,7.11,10.5,13.97,17.32,21.19,0.68,2.4,3.09,4.03,9.56,17.44,2.35,2.35,2.35,0.35,15.91,10.98
2020-01-03 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.641568343,1.387535834,2.606275755,4.757167132,6.436095284,7.107029802,10.50471225,13.97349613,17.3210795,21.19425162,0.675194443,2.403149379,3.08961433,4.032626784,9.563183315,17.4365441,2.349857143,2.349857143,2.349857143,0.351,15.90712348,10.9798125
2020-01-10 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.612168941,1.496014916,3.101261939,5.018864178,6.563329093,7.187267021,10.54222654,12.92282297,16.22354218,19.9646129,0.722369554,2.993717176,4.048161629,4.717098779,7.2808236,12.18300787,2.271571429,2.271571429,2.271571429,0.436,8.400152554,15.38
2020-01-17 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.654617275,1.803764674,3.308767451,5.241862302,6.794247488,7.504716443,10.91884925,12.75221617,16.26610653,20.53187678,0.838705522,3.312662366,4.245064381,4.956990317,9.027835253,15.13313971,2.292142857,2.292142857,2.292142857,0.373,39.39811584,9.965714286
2020-01-24 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.531001862,1.004970456,2.524628744,4.633246937,6.14450503,6.804848881,10.31701908,12.48237704,15.49459941,19.95983328,0.71783501,3.317108958,4.309934639,5.043404305,7.480332833,13.29336016,2.538,2.538,2.538,0.421,18.86329063,10.50428571
2020-01-31 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.546183283,0.959853776,2.410058112,4.65888523,6.201457703,6.907461555,10.21423694,12.83546367,15.58790797,20.47469167,0.480735809,2.588290596,3.590842719,4.413943855,6.051029801,11.98092433,2.330714286,2.330714286,2.330714286,0.315,14.68145061,6.27
2020-02-07 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.669021994,1.252003622,2.84520111,5.034940537,6.57619766,7.349551654,10.53000341,13.23850264,16.05729389,23.19329239,0.508847332,1.586799927,2.517173028,3.64278041,8.533214266,13.99598377,2.179142857,2.179142857,2.179142857,0.562,21.22676242,11.47
2020-02-14 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,1.459203356,3.578121733,5.232663428,6.604035021,8.336545541,9.163341309,12.36011368,15.18588779,17.91407403,26.48366434,1.49992166,3.894282925,5.167478229,6.15954483,23.59103271,37.38844878,2.210571429,2.210571429,2.210571429,0.646,15.31381478,21.94285714
2020-02-21 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.666163871,2.149745031,3.510953505,5.084147578,6.641722797,7.400769716,10.39761406,12.91601395,15.44676352,23.82646825,0.717765879,3.484733629,4.497556639,5.134913716,9.437158212,16.95642925,2.529571429,2.529571429,2.529571429,0.494,12.85701188,14.3040872
2020-02-28 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.890188717,1.84183671,3.254446112,4.824116115,6.350235687,7.072919339,10.24166456,12.78947336,15.7347846,23.15984596,0.944210869,3.367612273,4.264360167,4.896322971,12.63602414,23.07448716,3.305714286,3.305714286,3.305714286,0.697,14.42818193,20.49879187
2020-03-06 00:00:00+00:00,16.53714286,17.50142857,29.90571429,29.90571429,0.58220164,1.169533815,2.929205969,4.510216137,6.099909271,6.778012202,10.08268264,12.38433195,15.49311212,22.13988181,0.454511643,1.309749135,2.101622902,2.726742344,5.883758018,11.53023935,3.149714286,3.149714286,3.149714286,0.627,15.15253417,5.211428571
2020-03-13 00:00:00+00:00,10.17,10.80857143,19.97428571,19.97428571,0.386963678,0.486874005,2.030481681,3.816236264,5.33272663,5.962222411,9.317777078,11.36795769,14.52091013,22.66699191,0.409994787,1.338115025,2.23151955,2.793643286,5.270403202,10.70547097,2.760714286,2.760714286,2.760714286,0.513,13.72201804,3.187142857
2020-03-20 00:00:00+00:00,7.807142857,8.45,16.66714286,16.66714286,0.452626899,0.685896236,2.367609389,4.142277229,5.671262507,6.305425603,9.554182743,12.05750097,14.98763009,22.61097542,0.53788975,1.697706282,2.398087615,3.012722125,8.129078237,14.26700609,3.557857143,3.557857143,3.557857143,0.422,21.61285251,5.414696918
2020-03-27 00:00:00+00:00,10.57428571,11.09714286,19.70428571,19.70428571,0.360899395,0.615623335,2.23138425,4.111957891,5.613916708,6.215731505,9.565881295,11.89182397,14.86336556,22.32813518,0.464833454,1.312680507,2.19921738,2.871031003,5.432055704,10.67688532,3.789142857,3.789142857,3.789142857,0.534,15.08819519,7.588571429
2020-04-03 00:00:00+00:00,7.931428571,8.407142857,17.51285714,17.51285714,0.623128823,1.433833501,2.697622882,4.352271563,5.782681854,6.425774492,9.43964731,12.01031538,15.01397117,21.46953733,0.59130847,1.420397343,2.016608323,2.68499815,8.434242267,13.9882028,3.227857143,3.227857143,3.227857143,0.411,14.61286496,6.001428571
2020-04-10 00:00:00+00:00,9.808571429,10.42428571,19.93714286,19.93714286,0.399330675,0.765841332,2.424419173,3.995651628,5.3666745,5.946026156,9.005221014,11.55928833,14.54686169,19.98331308,0.407547841,1.141386017,1.585005169,2.359663517,5.673402577,10.75473259,3.067857143,3.067857143,3.067857143,0.487,13.25189591,6.930913327
2020-04-17 00:00:00+00:00,5.417142857,5.787142857,13.07571429,13.07571429,0.222871086,0.353234599,1.729041367,3.550249617,4.800975531,5.154234069,8.41965865,10.97326798,13.64631865,17.77808648,0.259026406,0.660281443,1.238871689,2.242136144,3.248522145,7.372280731,2.763714286,2.763714286,2.763714286,0.44,7.845681766,4.844285714
2020-04-24 00:00:00+00:00,3.878571429,4.11,9.795714286,9.795714286,0.209276679,0.32646944,1.60846233,3.132011045,4.263120997,4.89469921,7.812076594,10.25336181,12.88227474,16.55214494,0.299152244,0.814964215,1.283025214,2.270977442,2.736913111,6.071474183,2.774285714,2.774285714,2.774285714,0.325,6.23915487,4.692857143
2020-05-01 00:00:00+00:00,3.075714286,3.257142857,8.387142857,8.387142857,0.152959963,0.22293981,1.215895909,2.537432818,3.587785586,4.095295799,6.293663633,8.61284063,11.22340214,14.68960862,0.215628321,0.526881941,0.934974636,1.85509134,2.181663652,4.935104575,2.611714286,2.611714286,2.611714286,0.298,5.443062531,3.502857143
2020-05-08 00:00:00+00:00,3.187142857,3.501428571,9.465714286,9.465714286,0.149922756,0.177094209,1.017162484,2.134459472,3.210713358,3.676860775,5.378919801,7.288197196,9.496117087,12.15582268,0.180338587,0.433145597,0.844302133,1.649231949,2.023869584,4.623709886,2.548285714,2.548285714,2.548285714,0.301,4.169278864,1.004285714
2020-05-15 00:00:00+00:00,2.037142857,2.201428571,7.181428571,7.181428571,0.151527466,0.168972185,0.877323108,1.62609022,2.811862794,3.301546342,5.03112705,7.311236737,9.211958865,11.6471765,0.170017589,0.315324703,0.627530396,1.364867799,1.469518037,3.484193387,2.456428571,2.456428571,2.456428571,0.308,3.393489982,3.235714286
2020-05-22 00:00:00+00:00,2.297142857,2.532857143,6.808571429,6.808571429,0.127253629,0.143944585,0.794157045,1.421831985,2.715941551,3.14005814,4.779461856,6.611303228,8.066445107,10.14401465,0.137095738,0.250648938,0.402209754,1.134024481,1.219678869,2.942944855,2.474,2.474,2.474,0.268,2.681826484,0.874285714
2020-05-29 00:00:00+00:00,1.297142857,1.397142857,5.227142857,5.227142857,0.12211824,0.132628157,0.686251676,1.274352499,2.224084311,2.538008432,3.978035691,5.402547527,6.712480173,8.161964935,0.146973412,0.206977785,0.365779908,1.046288615,1.036219011,2.492062165,2.422571429,2.422571429,2.422571429,0.214,3.533180292,0.581428571
2020-06-05 00:00:00+00:00,3.407142857,3.517142857,7.232857143,7.232857143,0.107950477,0.137496103,0.621980891,1.110904233,1.828242311,2.063354789,3.51348327,4.830007768,5.991330534,7.282549056,0.124678868,0.154150643,0.36203011,1.059192399,0.959493002,2.248044538,2.368571429,2.368571429,2.368571429,0.229,2.139587572,0.806884127
