,OR,SU,NO,CE
2020-01-01 00:00:00,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,0.0,0.0,4.746059999999999,0.0
2020-01-01 02:00:00,11.945400000000001,3.3104999999999984,-4.746059999999999,5.67816
2020-01-01 03:00:00,-3.4847809159484147,1.280400000000001,0.0,-5.67816
2020-01-01 04:00:00,-8.460619084051586,-4.5908999999999995,0.0,0.0
2020-01-01 05:00:00,0.0,4.101299999999998,6.095399999999999,4.373227019399465
2020-01-01 06:00:00,14.141100000000002,-2.1876939683794276,6.189412256258336,-4.373227019399465
2020-01-01 07:00:00,13.668000000000001,4.227899999999998,-5.2854,7.049610000000001
2020-01-01 08:00:00,7.845300000000002,1.4856939683794366,5.861399999999999,-4.85874
2020-01-01 09:00:00,-7.534800000000001,4.067999999999998,-2.6176122562583277,6.746880000000001
2020-01-01 10:00:00,11.9652,4.127999999999998,5.123999999999999,5.376149999999999
2020-01-01 11:00:00,2.974799999999995,0.5174823269090165,4.938599999999998,6.538740000000001
2020-01-01 12:00:00,-5.883199999999988,-4.1213999999999995,5.1221999999999985,0.8985599999999963
2020-01-01 13:00:00,-11.5212,3.9284999999999988,-0.09360000000000213,-0.06839999999999691
2020-01-01 14:00:00,-11.813099999999999,0.7590176730909803,-0.36119999999999663,-0.028800000000003934
2020-01-01 15:00:00,-5.725800000000049,0.21359999999999957,-6.1887,-0.24887999999999977
2020-01-01 16:00:00,-2.6124999999999545,-4.1751,1.9068000000000005,-5.17362
2020-01-01 17:00:00,11.0556,3.7227000000000032,5.045099999999999,6.155220000000002
2020-01-01 18:00:00,10.1166,1.227599999999999,3.554400000000001,4.646880000000003
2020-01-01 19:00:00,-13.059899999999999,-5.6334,-9.098700000000001,-8.175659999999999
2020-01-01 20:00:00,-13.1253,-5.7006,-9.065999999999999,-7.97112
2020-01-01 21:00:00,1.8173999999999957,-5.5623,-8.3235,-7.48119
2020-01-01 22:00:00,9.7497,-0.999299999999999,-2.8026000000000018,-3.4056300000000004
2020-01-01 23:00:00,-12.0579,0.0,0.0,0.0
2020-01-02 00:00:00,0.0,3.459299999999998,5.0985,5.3778
2020-01-02 01:00:00,0.0,-0.7944374555257809,-5.0985,-5.3778
2020-01-02 02:00:00,4.7702809159484545,2.642137455525787,1.9037041669484447,0.0
2020-01-02 03:00:00,-4.7702809159484545,3.873599999999998,6.666299999999999,6.8256000000000006
2020-01-02 04:00:00,9.947999999999997,-4.1754,6.170795833051557,-2.3764500000000055
2020-01-02 05:00:00,13.6131,4.121399999999998,6.235199999999999,6.642450000000001
2020-01-02 06:00:00,12.876900000000001,3.968099999999999,0.597299999999997,6.496500000000001
2020-01-02 07:00:00,7.016400000000004,3.8480999999999987,4.8687,5.8839000000000015
2020-01-02 08:00:00,6.709200000000003,-4.4487,3.157200000000003,2.0150752737356115
2020-01-02 09:00:00,7.5564,1.4586025550887172,-7.791600000000001,-2.257090962773095
2020-01-02 10:00:00,-15.428099999999999,0.007797444911293638,-5.897047603555645,-7.1895
2020-01-02 11:00:00,-10.837950000000035,-5.1114,-1.1451523964443489,-7.188899999999999
2020-01-02 12:00:00,-7.40805000000006,3.2288999999999985,3.6827999999999994,4.865100000000001
2020-01-02 13:00:00,5.323500000000003,3.037799999999999,3.4853999999999994,4.419600000000001
2020-01-02 14:00:00,-17.465700000000002,2.8988999999999985,3.3248999999999995,4.272900000000001
2020-01-02 15:00:00,-11.903699999999905,2.864099999999998,3.2807999999999993,4.28963796
2020-01-02 16:00:00,5.446200000000001,-1.0500000000000007,3.4754999999999985,2.719177729037483
2020-01-02 17:00:00,5.54892083340183,0.24540000000000006,-0.2880000000000038,0.07709999999999795
2020-01-02 18:00:00,6.551400000000001,2.4521999999999986,2.837999999999999,3.5025000000000013
2020-01-02 19:00:00,-16.434299999999997,-6.3975,-10.361699999999999,-9.7221
2020-01-02 20:00:00,-1.1122208334018353,-6.3879,-10.2393,-9.4896
2020-01-02 21:00:00,5.9862,-6.204599999999999,-9.3735,-8.6712
2020-01-02 22:00:00,-5.9862,-3.5363999999999987,-4.590299999999999,-5.114700000000001
2020-01-02 23:00:00,0.0,0.0,0.0,0.0
2020-01-03 00:00:00,0.0,0.0,0.0,2.653499999999992
2020-01-03 01:00:00,1.5528000000000368,3.029399999999999,3.8521708801609975,5.481900000000001
2020-01-03 02:00:00,-1.5528000000000368,3.1541999999999986,6.239399999999999,5.628000000000001
2020-01-03 03:00:00,7.284599999999999,3.133799999999998,-1.6759708801609925,5.734800000000002
2020-01-03 04:00:00,11.0784,1.194300000000009,6.230399999999999,-6.005999999999999
2020-01-03 05:00:00,12.0546,3.287399999999999,5.916299999999999,5.789400000000001
2020-01-03 06:00:00,11.5056,3.2075999999999985,5.070899999999998,5.545200000000001
2020-01-03 07:00:00,6.446399999999997,3.065699999999998,3.5339999999999954,2.4456000000000024
2020-01-03 08:00:00,-14.315999999999999,-5.325,-8.0139,-4.135733226879992
2020-01-03 09:00:00,-10.32555045854,-3.968700000000002,-0.34199999999999875,-3.239404851079989
2020-01-03 10:00:00,6.055200000000001,2.6969999999999983,3.0158999999999985,-3.4498519220400112
2020-01-03 11:00:00,0.9430999999999017,2.522099999999999,3.0359999999999996,4.345500000000001
2020-01-03 12:00:00,6.051900000000002,2.8538999999999985,3.3621,4.735290000000001
2020-01-03 13:00:00,4.886400000000002,2.696699999999999,3.138299999999999,4.29588
2020-01-03 14:00:00,-15.058224770729993,-0.8294298782700693,1.6128000000000071,1.1488799999999983
2020-01-03 15:00:00,-9.959724770729913,-2.37050859971,-0.36000000000000654,-1.22532
2020-01-03 16:00:00,4.820399999999999,-1.1665615220199292,-7.599899999999998,-4.651590000000002
2020-01-03 17:00:00,6.187200000000001,2.4179999999999984,3.141899999999998,4.382310000000001
2020-01-03 18:00:00,5.797799999999999,-6.176699999999999,-8.8767,-6.394468080000067
2020-01-03 19:00:00,-16.818,-6.725999999999999,-10.7325,-9.97758
2020-01-03 20:00:00,-16.6341,-6.6972,-10.549199999999999,-9.7896
2020-01-03 21:00:00,0.0,0.0,1.8851999999999993,-3.316711919999932
2020-01-03 22:00:00,0.0,0.0,-1.8851999999999993,0.0
2020-01-03 23:00:00,7.3698,0.0,0.0,0.0
2020-01-04 00:00:00,-7.3698,0.0,0.0,0.0
2020-01-04 01:00:00,0.0,0.0,0.0,5.430300000000001
2020-01-04 02:00:00,0.0,2.5188000000000086,6.096899999999999,2.878799999999993
2020-01-04 03:00:00,7.9208999999999925,3.210899999999998,-1.0865999999999998,5.5752000000000015
2020-01-04 04:00:00,10.612200000000001,3.134999999999998,6.103199999999999,-6.0714
2020-01-04 05:00:00,11.907,3.5195999999999987,6.041699999999999,5.796000000000001
2020-01-04 06:00:00,11.501100000000001,3.426899999999999,5.562599999999999,5.983200000000001
2020-01-04 07:00:00,6.030000000000001,3.3047999999999984,4.639799999999999,5.483100000000001
2020-01-04 08:00:00,6.018900000000002,-2.600779876863186,-7.626899999999999,-3.8903532989636602
2020-01-04 09:00:00,6.7911,-4.433920123136803,-8.0694,-7.23729
2020-01-04 10:00:00,-11.004766666666622,-5.4027,-1.6076624952773741,-6.328660651519495
2020-01-04 11:00:00,-14.002066666666728,2.606399999999998,3.2513999999999985,-3.882006049516858
2020-01-04 12:00:00,-0.5296666666666212,3.0302999999999987,3.573899999999999,4.832010000000001
2020-01-04 13:00:00,-6.204966666666614,2.7410999999999985,3.6975,4.730430000000001
2020-01-04 14:00:00,-13.013266666666645,2.5607999999999986,3.5961,4.7056200000000015
2020-01-04 15:00:00,-4.886566666666717,2.522999999999998,3.6635999999999997,4.9155000000000015
2020-01-04 16:00:00,6.880500000000001,2.4389999999999983,3.1598624952773813,4.817430000000001
2020-01-04 17:00:00,7.5183,-0.8925000000000018,1.0991999999999997,2.294279999999997
2020-01-04 18:00:00,6.8718,2.129699999999999,2.4602999999999984,3.1336200000000005
2020-01-04 19:00:00,-16.3446,-6.785099999999999,-10.3674,-9.63762
2020-01-04 20:00:00,-16.0659,-6.8469,-10.206299999999999,-9.238349999999999
2020-01-04 21:00:00,0.0,-6.630299999999999,-9.4896,-8.694929999999998
2020-01-04 22:00:00,0.0,-3.554099999999999,-4.492199999999997,-5.594880000000003
2020-01-04 23:00:00,7.197500000000003,0.0,0.0,0.0
2020-01-05 00:00:00,2.0142499999999686,0.0,0.0,0.0
2020-01-05 01:00:00,-9.211749999999972,2.899799999999998,5.5704,5.628240000000001
2020-01-05 02:00:00,0.0,-0.1799999999999944,-5.5704,-0.3320278198899942
2020-01-05 03:00:00,0.0,3.1580999999999984,6.021599999999999,-2.576630620989995
2020-01-05 04:00:00,11.0334,3.216599999999998,2.7741000000000007,4.671588940879992
2020-01-05 05:00:00,1.4556532052269802,3.6332999999999984,6.030599999999999,6.460350000000002
2020-01-05 06:00:00,12.2952,3.6023999999999985,6.218099999999999,6.631215900000001
2020-01-05 07:00:00,9.018846794773019,3.2009999999999987,-5.8542,-2.343699740867521
2020-01-05 08:00:00,10.8285,-4.8762,0.42467239533005596,-5.7862737
2020-01-05 09:00:00,2.969999999999999,-5.1018,-6.7449,-6.1261419
2020-01-05 10:00:00,-6.671374799900057,2.6835786016924708,0.8533276046699463,-5.809108156702461
2020-01-05 11:00:00,-12.774,-5.2917,-7.059,-0.41751290243001904
2020-01-05 12:00:00,-1.3874999999999886,3.0116999999999985,4.570799999999999,6.0187581
2020-01-05 13:00:00,-1.593500000000006,2.822099999999999,4.667699999999999,5.356406100000002
2020-01-05 14:00:00,-2.9119000000000312,0.10402139830753754,4.563899999999999,-0.15445716277749355
2020-01-05 15:00:00,-6.681700000000006,2.730299999999999,4.5245999999999995,5.646960000000002
2020-01-05 16:00:00,-8.74169999999998,3.3443999999999985,4.411499999999999,5.666498100000001
2020-01-05 17:00:00,9.674700000000001,2.6537999999999986,4.102799999999999,4.264699262777491
2020-01-05 18:00:00,9.215100000000001,0.5538000000000025,1.7592000000000034,2.068623599999995
2020-01-05 19:00:00,-14.485199999999999,-6.3938999999999995,-9.7794,-9.08034
2020-01-05 20:00:00,-11.244525200099929,-6.444,-9.578399999999998,-9.07239
2020-01-05 21:00:00,7.6731,-3.344100000000001,-4.3971,-5.617004007855497
2020-01-05 22:00:00,-7.6731,-5.9832,-7.5099,-5.097753992144501
2020-01-05 23:00:00,5.736499999999921,0.0,0.0,0.0
2020-01-06 00:00:00,-5.736499999999921,1.0395000000000083,5.8698,5.485380000000001
2020-01-06 01:00:00,10.9422,2.9795999999999987,6.242399999999999,-3.9866192757199874
2020-01-06 02:00:00,2.8751999999999995,3.2144999999999984,1.703100000000001,5.986950000000001
2020-01-06 03:00:00,8.88010000000002,3.140699999999998,6.420299999999999,0.6724292757199777
2020-01-06 04:00:00,2.951599999999978,3.182999999999998,-3.5717999999999996,6.016260000000002
2020-01-06 05:00:00,12.4593,3.303899999999998,5.850599999999999,6.378900000000002
2020-01-06 06:00:00,2.622000000000007,3.0947999999999984,4.4228999999999985,5.290860000000001
2020-01-06 07:00:00,6.358799999999995,-5.299199999999999,0.34136170352676276,1.869959999999999
2020-01-06 08:00:00,-13.7997,-4.138799999999996,-6.895975330593416,-3.6115199999999987
2020-01-06 09:00:00,-14.1294,2.395199999999998,0.8951136270666638,-7.507829999999999
2020-01-06 10:00:00,-14.8083,2.452799999999999,2.8058999999999994,3.9814200000000026
2020-01-06 11:00:00,-4.351799999999997,2.4818999999999987,2.8001999999999985,4.079130000000001
2020-01-06 12:00:00,4.217800000000054,2.6687999999999983,3.3383999999999983,4.155030000000001
2020-01-06 13:00:00,6.329700000000001,2.363699999999999,3.1388999999999996,3.63945
2020-01-06 14:00:00,1.9504499999999858,-0.7271741561566216,1.2712800000000044,0.4087199999999953
2020-01-06 15:00:00,-2.2931500000000398,-4.62144072565664,-8.076720000000002,-0.9837600000000002
2020-01-06 16:00:00,6.062700000000001,-0.8328851181867343,3.01314,-7.770689999999998
2020-01-06 17:00:00,7.3293,2.346899999999999,3.2695799999999995,3.9802500000000007
2020-01-06 18:00:00,7.0128,2.0927999999999987,-4.2161100000000005,3.4364699999999964
2020-01-06 19:00:00,-15.3894,-6.8549999999999995,-9.91632,-10.636259999999998
2020-01-06 20:00:00,-15.220199999999998,-7.3824000000000005,-9.81363,-10.49598
2020-01-06 21:00:00,0.0,-6.901199999999999,-8.89242,-10.38855
2020-01-06 22:00:00,8.2377,0.0,0.0,3.368100000000002
2020-01-06 23:00:00,-8.2377,0.0,0.0,-3.368100000000002
2020-01-07 00:00:00,0.2595000000001164,2.7299999999999986,5.02626,0.51641695499994
