,OR -> CE,SU -> CE,NO -> CE,CE -> OR,CE -> NO,CE -> SU
2020-01-01 00:00:00,0.0,0.0,0.0,272.5,0.045255479289979306,113.13313848227958
2020-01-01 01:00:00,0.0,0.0,30.93954535740002,272.5,0.0,145.97656926023203
2020-01-01 02:00:00,0.0,0.0,64.02587535740003,263.69089999999994,0.0,143.63236926023205
2020-01-01 03:00:00,0.0,0.0,68.46844535739999,272.5,0.0,137.31746926023206
2020-01-01 04:00:00,0.0,0.0,73.91714535740002,272.5,0.0,129.46856926023204
2020-01-01 05:00:00,0.0,0.0,75.91754535739999,237.7418190840515,0.0,117.27236926023198
2020-01-01 06:00:00,0.0,0.0,89.40923310114165,241.56231908405155,0.0,99.53491649883256
2020-01-01 07:00:00,0.0,0.0,90.67674535739998,257.33231908405156,0.0,120.633765318528
2020-01-01 08:00:00,0.0,0.0,68.11754535740002,271.9448190840516,0.0,87.08972627963144
2020-01-01 09:00:00,0.0,0.0,61.24955761365834,272.5,0.0,114.59957174520127
2020-01-01 10:00:00,0.0,0.0,43.537545357400006,272.5,0.0,97.70149744854297
2020-01-01 11:00:00,0.0,0.0,37.35754535739997,272.5,0.0,90.85252262374293
2020-01-01 12:00:00,0.0,0.0,43.47754535739999,272.5,0.0,93.723134054143
2020-01-01 13:00:00,0.0,0.0,49.49674535740001,272.5,0.0,97.52427885323202
2020-01-01 14:00:00,0.0,0.0,52.86464535739998,272.5,0.0,97.97132974034298
2020-01-01 15:00:00,0.0,0.0,60.566745357399995,272.5,0.0,102.60818923825201
2020-01-01 16:00:00,0.0,0.0,50.576045357400005,272.5,0.0,100.53659699623199
2020-01-01 17:00:00,0.0,0.0,40.9075453574,272.5,0.0,115.35383093623203
2020-01-01 18:00:00,0.0,0.0,11.889645357400006,272.5,0.0,129.46572451323203
2020-01-01 19:00:00,0.0,0.0,0.0,224.09281614198548,31.930310353600028,102.75860390298405
2020-01-01 20:00:00,0.0,0.0,0.0,226.27281614198546,35.343254642599916,104.99860390298407
2020-01-01 21:00:00,0.0,0.0,0.0,272.1943233619855,10.593254642600002,100.38860390298404
2020-01-01 22:00:00,0.0,0.0,20.162445357400028,272.5,0.0,150.57006598496952
2020-01-01 23:00:00,0.0,0.0,62.11334535739999,272.5,0.0,142.60846926023206
2020-01-02 00:00:00,0.0,0.0,75.52394535740001,272.5,0.0,139.10691232841202
2020-01-02 01:00:00,0.0,0.0,96.90674535740001,272.5,0.0,124.89307487288622
2020-01-02 02:00:00,0.0,0.0,95.29144119045156,272.5,0.0,128.90644978393783
2020-01-02 03:00:00,0.0,0.0,94.94754535739999,254.07053816810307,0.0,125.29691232841203
2020-01-02 04:00:00,0.0,0.0,90.42694952434843,265.1323190840515,0.0,116.05311232841203
2020-01-02 05:00:00,0.0,0.0,80.5775453574,240.55481908405156,0.0,117.036912328412
2020-01-02 06:00:00,0.0,0.0,60.33154535740001,218.13639999999995,0.0,117.531683246412
2020-01-02 07:00:00,0.0,0.0,35.02754535739998,272.5,0.0,107.836833940392
2020-01-02 08:00:00,0.0,0.0,9.639745357399999,272.5,0.0,91.476830920412
2020-01-02 09:00:00,0.0,0.0,7.136745357399954,272.5,0.0,103.13777155352071
2020-01-02 10:00:00,0.0,0.0,0.0,272.5,5.4595070390443325,103.06348864530332
2020-01-02 11:00:00,0.0,0.0,0.0,272.5,14.135702246155638,100.51090316439199
2020-01-02 12:00:00,0.0,0.0,0.0,272.5,4.5024546425999805,100.60419380343201
2020-01-02 13:00:00,0.0,0.0,0.0,272.5,11.082454642600021,110.789463784412
2020-01-02 14:00:00,0.0,0.0,0.0,272.5,16.432454642599982,121.921613509392
2020-01-02 15:00:00,0.0,0.0,0.0,272.5,17.902454642599952,131.82682384343204
2020-01-02 16:00:00,0.0,0.0,0.0,272.5,11.412454642600002,129.04580299343203
2020-01-02 17:00:00,0.0,0.0,0.0,228.4363208334018,9.255754642600012,157.97175613006775
2020-01-02 18:00:00,0.0,0.0,0.0,178.51999999999992,32.66245464260004,137.07820198446956
2020-01-02 19:00:00,0.0,0.0,0.0,99.76622255350735,78.39067387419816,128.66314697116402
2020-01-02 20:00:00,0.0,0.0,0.0,111.81290172010553,74.45325464259999,128.34314697116403
2020-01-02 21:00:00,0.0,0.0,0.0,174.39952009210555,45.59325464259993,122.23314697116402
2020-01-02 22:00:00,0.0,0.0,0.0,247.1840629391055,5.808354642600003,109.73974697116402
2020-01-02 23:00:00,0.0,0.0,37.1049453574,259.7566444908575,0.0,162.025912328412
2020-01-03 00:00:00,0.0,0.0,67.8652453574,272.5,0.0,152.54477284520203
2020-01-03 01:00:00,0.0,0.0,81.286174477239,272.5,0.0,153.823172845202
2020-01-03 02:00:00,0.0,0.0,85.7175453574,272.5,0.0,149.663172845202
2020-01-03 03:00:00,0.0,0.0,97.59841623756098,272.5,0.0,150.34317284520202
2020-01-03 04:00:00,0.0,0.0,85.4175453574,271.727710305839,0.0,150.813872845202
2020-01-03 05:00:00,0.0,0.0,74.94754535739999,254.20000000000002,0.0,145.218888845202
2020-01-03 06:00:00,0.0,0.0,46.767545357399996,272.5,0.0,137.10814135120202
2020-01-03 07:00:00,0.0,0.0,17.970945357400016,272.5,0.0,126.925281857222
2020-01-03 08:00:00,0.0,0.0,4.7267453574000236,272.5,0.0,117.17930634722201
2020-01-03 09:00:00,0.0,0.0,0.0,272.5,11.566254642599961,112.22287465822203
2020-01-03 10:00:00,0.0,0.0,0.0,272.5,21.732454642599983,114.012556333182
