,Flexible Demand,Demand,PeakLoad,NetImports,LoadShedding,MaxLoadShedding,ShiftedLoad,Curtailment,MaxCurtailment
CE,0.060675751789829924,2.083200811450832,403.4819,-3.677008635809361,1.3937201607725825e-05,7.725184866652484,0.03950106449650602,0.7897033164647562,813.90390852316
NO,0.06360287740428014,2.1836987908802774,394.1192,0.40872871748491424,0.0001742826573652159,19.132,0.0376715756307493,0.10894158949588285,248.28870538562995
OR,0.10482489014144424,3.5989878948562497,754.8664,2.121182507353948,0.00011276152851368651,16.074951256052515,0.0648580900293079,,
SU,0.043481341250036845,1.4928593829179324,277.5438,1.1470974109704986,0.00011274171971692543,13.472999999999999,0.025923624729277513,0.03294116109247372,58.173946305570006
