,ANGOSTURA,CARABUCO,CHOJLLA,CHOQUETANGA,CORANI,KANATA,KILPANI,LANDARA,MIGUILLA,MISICUNI,PUNUTUMA,SAN JACINTO,SAN JOSE 1,SAN JOSE 2,SANTA ISABEL,SISTEMA ZONGO,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - TIQUIMANI,YANACACHI
2019-12-31 00:00:00+00:00,2.4,4.03,9.56,3.09,26.68,0.35,2.35,2.35,0.68,10.98,2.35,15.91,38.65,38.65,28.18,0.64,2.61,17.32,10.5,4.76,13.97,21.19,7.11,6.44,1.39,17.44
2020-01-01 00:00:00+00:00,2.4,4.03,9.56,3.09,26.68,0.35,2.35,2.35,0.68,10.98,2.35,15.91,38.65,38.65,28.18,0.64,2.61,17.32,10.5,4.76,13.97,21.19,7.11,6.44,1.39,17.44
2020-01-02 00:00:00+00:00,2.4,4.03,9.56,3.09,26.68,0.35,2.35,2.35,0.68,10.98,2.35,15.91,38.65,38.65,28.18,0.64,2.61,17.32,10.5,4.76,13.97,21.19,7.11,6.44,1.39,17.44
2020-01-03 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
2020-01-04 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
2020-01-05 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
2020-01-06 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
2020-01-07 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
2020-01-08 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
2020-01-09 00:00:00+00:00,2.4031493790000003,4.032626784,9.563183315,3.08961433,26.68285714,0.35100000000000003,2.349857143,2.349857143,0.675194443,10.9798125,2.349857143,15.90712348,38.65285714,38.65285714,28.17571429,0.641568343,2.606275755,17.3210795,10.50471225,4.757167132,13.97349613,21.19425162,7.1070298020000005,6.436095283999999,1.3875358340000001,17.436544100000003
