,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
2020-02-07 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-08 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-09 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-10 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-11 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-12 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-13 00:00:00+00:00,0.553761568,0.553761568,0.553761568,0.553761568,0.688212684,0.716732958,0.654524125,0.685628542,0.685628542
2020-02-14 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-15 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-16 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-17 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-18 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-19 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-20 00:00:00+00:00,0.656353278,0.656353278,0.656353278,0.656353278,0.753619475,0.954666961,0.737979282,0.846323122,0.846323122
2020-02-21 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-22 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-23 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-24 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-25 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-26 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-27 00:00:00+00:00,0.738785841,0.738785841,0.738785841,0.738785841,0.795685886,0.954187639,0.813498806,0.883843223,0.883843223
2020-02-28 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-02-29 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-03-01 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-03-02 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-03-03 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-03-04 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-03-05 00:00:00+00:00,0.827232591,0.827232591,0.827232591,0.827232591,0.863805253,0.995735518,0.882749758,0.939242638,0.939242638
2020-03-06 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-07 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-08 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-09 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-10 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-11 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-12 00:00:00+00:00,0.860521157,0.860521157,0.860521157,0.860521157,0.870852018,0.946082241,0.905148835,0.925615538,0.925615538
2020-03-13 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-14 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-15 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-16 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-17 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-18 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-19 00:00:00+00:00,0.866444457,0.866444457,0.866444457,0.866444457,0.868994234,0.927433563,0.936457465,0.931945514,0.931945514
2020-03-20 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-21 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-22 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-23 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-24 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-25 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-26 00:00:00+00:00,0.877340569,0.877340569,0.877340569,0.877340569,0.876038024,0.932360871,0.965856711,0.949108791,0.949108791
2020-03-27 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
2020-03-28 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
2020-03-29 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
2020-03-30 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
2020-03-31 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
2020-04-01 00:00:00+00:00,0.905283448,0.905283448,0.905283448,0.905283448,0.890858502,0.941334299,0.985992809,0.963663554,0.963663554
