,ZONGO,TIQUIMANI,BOTIJLACA,CUTICUCHO,SANTA ROSA 1,SANTA ROSA 2,SAINANI ,CHURURAQUI,HARCA,CAHUA,HUAJI
24-Oct,0.36,0.07,0.85,1.23,0.71,1.08,0.00,2.31,1.78,1.07,3.19
31-Oct,0.30,0.12,0.93,1.16,0.65,0.99,0.00,2.08,1.88,1.36,1.96
7-Nov,0.37,0.17,0.86,1.06,0.66,1.06,0.00,2.04,1.84,1.19,2.06
14-Nov,0.37,0.34,0.71,0.85,0.58,1.06,0.00,1.90,1.57,1.04,2.96
21-Nov,0.35,0.01,0.58,0.91,0.47,1.05,0.00,2.21,1.81,1.05,2.96
28-Nov,0.37,0.02,0.61,1.03,0.47,1.08,0.00,2.31,2.48,1.65,2.38
5-Dec,0.47,0.30,0.63,1.03,0.52,1.05,0.00,2.61,2.85,1.97,3.45
12-Dec,0.69,0.15,0.80,1.03,0.61,1.04,0.00,2.27,2.24,2.03,3.29
19-Dec,0.73,0.83,1.33,1.70,0.84,1.15,0.00,2.43,3.55,3.74,7.43
26-Dec,0.66,1.16,1.47,1.77,0.81,1.24,0.00,2.73,2.66,3.11,8.03
2-Jan,0.65,0.91,1.75,1.67,0.82,1.14,0.00,2.65,2.31,2.50,10.35
9-Jan,0.86,1.12,1.98,1.76,0.78,1.14,0.00,2.67,2.19,2.81,11.36
16-Jan,0.93,1.82,1.54,1.64,0.82,1.16,0.00,2.51,2.36,2.87,14.22
23-Jan,0.77,1.73,1.64,1.52,0.81,1.27,0.00,2.66,2.01,2.98,17.15
30-Jan,0.67,1.17,1.89,1.61,0.79,1.12,0.00,2.75,2.07,2.93,16.56
6-Feb,0.49,0.68,1.77,1.90,0.86,1.10,0.00,2.91,1.95,2.73,12.10
13-Feb,0.82,1.75,1.61,1.62,0.80,1.09,0.00,2.84,2.04,2.78,16.47
20-Feb,0.66,0.91,1.50,1.52,0.90,1.13,0.00,2.77,2.10,2.77,16.04
27-Feb,0.65,0.82,1.35,1.62,0.84,1.13,0.00,2.52,2.40,2.64,13.46
6-Mar,0.63,0.73,1.49,1.63,0.87,1.13,0.00,2.38,2.64,2.69,10.26
13-Mar,0.79,0.98,1.00,1.63,0.88,1.12,0.00,2.81,2.19,2.64,10.60
20-Mar,0.68,0.76,1.29,1.56,0.89,1.14,0.00,2.69,2.22,2.51,16.03
27-Mar,0.62,0.68,1.19,1.50,0.94,1.11,0.00,2.61,2.27,2.57,17.43
3-Apr,0.36,0.30,1.63,1.60,1.17,1.08,0.00,2.25,2.55,2.70,12.18
10-Apr,0.38,0.34,1.35,1.93,1.06,1.01,0.00,2.42,2.58,2.69,8.64
17-Apr,0.57,0.61,1.25,1.66,0.80,1.06,0.00,2.65,2.37,2.71,13.74
24-Apr,0.32,0.30,1.49,1.89,0.83,1.09,0.00,2.73,2.07,2.63,12.24
1-May,0.23,0.25,1.40,1.75,0.82,1.05,0.00,3.10,1.88,2.86,10.88
8-May,0.18,0.11,1.04,1.45,0.78,1.04,0.00,2.66,2.43,1.92,6.97
15-May,0.12,0.05,0.85,1.12,0.49,0.97,0.00,2.63,2.67,1.07,7.15
22-May,0.12,0.02,0.72,0.92,0.44,1.08,0.00,2.24,2.35,0.82,7.39
29-May,0.12,0.01,0.65,0.76,0.31,1.03,0.00,2.24,1.80,0.63,7.04
5-Jun,0.10,0.00,0.53,0.67,0.23,0.88,0.00,2.02,1.66,0.47,7.00
12-Jun,0.06,0.00,0.51,0.55,0.34,0.76,0.00,1.80,1.33,0.49,5.96
19-Jun,0.07,0.00,0.46,0.53,0.24,0.65,0.00,1.69,1.02,0.46,5.36
26-Jun,0.08,0.00,0.46,0.42,0.21,0.61,0.00,1.69,0.93,0.48,1.92
3-Jul,0.11,0.00,0.40,0.30,0.22,0.52,0.00,1.55,0.84,0.72,1.38
10-Jul,0.11,0.01,0.38,0.33,0.18,0.46,0.00,1.51,0.85,1.07,1.21
17-Jul,0.04,0.00,0.35,0.30,0.08,0.41,0.00,1.39,0.80,0.88,0.90
24-Jul,0.08,0.00,0.35,0.28,0.16,0.41,0.00,1.32,0.72,0.81,0.68
31-Jul,0.16,0.00,0.35,0.28,0.16,0.41,0.00,1.32,0.72,0.81,0.68
7-Aug,0.17,0.00,0.38,0.23,0.16,0.42,0.00,1.20,0.61,0.70,0.62
14-Aug,0.11,0.01,0.40,0.34,0.12,0.52,0.00,1.29,0.61,0.77,0.61
21-Aug,0.11,0.00,0.37,0.39,0.14,0.58,0.00,1.18,0.63,0.92,1.01
28-Aug,0.13,0.00,0.34,0.32,0.15,0.42,0.00,1.12,0.60,0.74,0.52
4-Sep,0.10,0.00,0.35,0.26,0.07,0.29,0.16,0.97,0.56,0.63,0.41
11-Sep,0.09,0.00,0.40,0.47,0.12,0.53,0.22,1.09,0.63,0.92,1.42
18-Sep,0.18,0.00,0.40,0.29,0.10,0.44,0.26,0.82,0.48,0.74,1.22
25-Sep,0.17,0.00,0.42,0.58,0.16,0.73,0.38,1.01,0.78,0.75,1.38
2-Oct,0.19,0.03,0.47,0.96,0.34,0.87,0.37,1.37,1.18,0.85,0.92
9-Oct,0.28,0.13,0.63,0.86,0.64,0.93,0.25,1.10,1.73,1.19,1.22
16-Oct,0.40,0.00,0.64,0.60,0.19,0.93,0.27,0.91,0.86,0.79,0.74
23-Oct,0.23,0.00,0.48,0.55,0.16,0.87,0.36,0.90,0.78,0.63,0.76
30-Oct,0.30,0.33,0.62,0.68,0.34,0.83,0.60,1.35,1.22,1.09,1.13
6-Nov,0.30,0.20,0.77,1.26,0.61,1.00,0.54,1.89,1.86,2.00,1.97
13-Nov,0.51,0.63,1.08,2.44,0.86,1.10,0.54,2.85,2.58,2.65,2.54
20-Nov,0.38,0.61,1.08,2.03,0.71,1.13,0.61,2.78,2.52,1.95,2.55
27-Nov,0.53,0.17,0.88,1.26,0.53,1.12,0.28,1.63,1.86,1.75,1.89
4-Dec,0.48,0.25,0.78,1.55,0.70,1.15,0.44,2.30,2.50,2.40,3.91
11-Dec,0.46,0.30,1.04,1.43,0.50,1.14,0.25,2.57,2.52,2.47,3.26
18-Dec,0.48,0.12,0.95,1.36,0.48,1.15,0.36,2.27,2.37,2.41,3.40
25-Dec,0.48,0.54,1.30,1.95,0.91,1.19,0.68,2.11,2.45,2.99,7.82
