,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
Apr ,0.92945958,0.899447998,0.948721211,0.988687392
Apr ,0.92945958,0.899447998,0.948721211,0.988687392
Apr ,0.92945958,0.899447998,0.948721211,0.988687392
Apr ,0.92945958,0.899447998,0.948721211,0.988687392
Apr ,0.92945958,0.899447998,0.948721211,0.988687392
Apr ,0.92945958,0.899447998,0.948721211,0.988687392
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.961993879,0.911453273,0.95179103,0.985704982
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.971201857,0.914553123,0.952749673,0.988024111
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
Apr ,0.969153543,0.916239117,0.963520455,0.993005785
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.913145522,0.980408525,0.994671054
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.965060497,0.898888085,0.983577934,0.993005785
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.956888963,0.893614272,0.974601,0.985704982
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.943652784,0.888377995,0.971432825,0.973182718
May ,0.925416391,0.881508901,0.945554448,0.94944854
May ,0.925416391,0.881508901,0.945554448,0.94944854
May ,0.925416391,0.881508901,0.945554448,0.94944854
Jun ,0.925416391,0.881508901,0.945554448,0.94944854
Jun ,0.925416391,0.881508901,0.945554448,0.94944854
Jun ,0.925416391,0.881508901,0.945554448,0.94944854
Jun ,0.925416391,0.881508901,0.945554448,0.94944854
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.908294402,0.876303904,0.929152074,0.916865765
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.881314394,0.870035386,0.894444871,0.8865961
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.848914107,0.863535396,0.868566044,0.843401825
Jun ,0.813667209,0.857063559,0.839074131,0.804285556
Jun ,0.813667209,0.857063559,0.839074131,0.804285556
Jun ,0.813667209,0.857063559,0.839074131,0.804285556
Jun ,0.813667209,0.857063559,0.839074131,0.804285556
Jun ,0.813667209,0.857063559,0.839074131,0.804285556
Jul ,0.813667209,0.857063559,0.839074131,0.804285556
Jul ,0.813667209,0.857063559,0.839074131,0.804285556
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.777285313,0.850100624,0.816392785,0.787722443
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.739901106,0.843162714,0.788205562,0.742874071
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.701114263,0.836005843,0.74737252,0.693114649
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
Jul ,0.660769268,0.830209654,0.683277456,0.634023761
