,[29] - MIGUILLA,[118] - SAN JACINTO,[66] - VALLE DE ZONGO - TIQUIMANI,[69] - VALLE DE ZONGO - SANTA ROSA,[25] - CORANI,[75] - CHOJLLA,[65] - SISTEMA ZONGO,[28] - MISICUNI,[30] - ANGOSTURA
2020-01-01 00:00:00,0.2024569656775573,0.41303767842938727,0.238566733,0.743052809,0.18742392185746792,0.16577602700000002,0.25166817453162527,0.46702511194616775,0.173106125
2020-01-01 01:00:00,0.2163285953551146,0.4213184498587744,0.238566733,0.743052809,0.18972369871493586,0.08288801350000001,0.2525570630632506,0.4695360616017123,0.173106125
2020-01-01 02:00:00,0.23020022503267187,0.42959922128816164,0.238566733,0.743052809,0.1920234755724038,0.04144400675000001,0.2534459515948759,0.47204701125725684,0.173106125
2020-01-01 03:00:00,0.24407185471022913,0.4378799927175488,0.238566733,0.743052809,0.19432325242987172,0.020722003375000006,0.2543348401265012,0.4745579609128014,0.173106125
2020-01-01 04:00:00,0.2579434843877864,0.446160764146936,0.238566733,0.743052809,0.19662302928733966,0.04682052666324605,0.2552237286581265,0.47706891056834594,0.173106125
2020-01-01 05:00:00,0.2718151140653437,0.45444126767650317,0.238566733,0.743052809,0.1989228061448076,0.023410263331623028,0.25611261718975176,0.4795798602238905,0.173106125
2020-01-01 06:00:00,0.285686743742901,0.46421546163508254,0.238566733,0.743052809,0.20122258300227552,0.011705131665811514,0.2570015057213771,0.482090809879435,0.173106125
2020-01-01 07:00:00,0.29955837342045827,0.4739896555936619,0.238566733,0.743052809,0.20352235985974346,0.005852565832905757,0.25789039425300236,0.4846017595349795,0.173106125
2020-01-01 08:00:00,0.31343000309801555,0.4837638495522413,0.238566733,0.743052809,0.2058221367172114,0.0319510891211518,0.25877928278462764,0.4871127091905241,0.173106125
2020-01-01 09:00:00,0.3273016327755729,0.49353804351082065,0.238566733,0.743052809,0.20812191357467932,0.015975544560575903,0.25966817131625297,0.4896236588460686,0.173106125
2020-01-01 10:00:00,0.3411732624531302,0.5018151502397412,0.238566733,0.743052809,0.21042169043214728,0.04207406784882194,0.26055705984787825,0.49213460850161317,0.173106125
2020-01-01 11:00:00,0.3550448921306875,0.5100922569686618,0.238566733,0.743052809,0.21272146728961522,0.06817259113706799,0.2614459483795035,0.4946455581571577,0.173106125
2020-01-01 12:00:00,0.3689165218082448,0.5198664509272412,0.238566733,0.743052809,0.21502124414708315,0.09427111442531402,0.26233483691112885,0.49715650781270226,0.173106125
2020-01-01 13:00:00,0.38278815148580214,0.5296406448858205,0.238566733,0.743052809,0.21732102100455108,0.12036963771356006,0.26322372544275413,0.4996674574682468,0.173106125
2020-01-01 14:00:00,0.3966597811633594,0.5394148388444,0.238566733,0.743052809,0.21962079786201902,0.06018481885678002,0.2641126139743794,0.5021784071237914,0.173106125
2020-01-01 15:00:00,0.41053141084091677,0.5491890328029794,0.238566733,0.743052809,0.22192057471948695,0.08628334214502606,0.26500150250600474,0.5046893567793359,0.173106125
2020-01-01 16:00:00,0.20526570542045838,0.5589632267615587,0.238566733,0.743052809,0.22422035157695488,0.04314167107251303,0.26589039103763,0.5072003064348805,0.173106125
2020-01-01 17:00:00,0.21913733509801567,0.5687374207201381,0.238566733,0.743052809,0.22652012843442282,0.06924019436075907,0.2667792795692553,0.509711256090425,0.173106125
2020-01-01 18:00:00,0.23300896477557292,0.5770145274490587,0.238566733,0.743052809,0.22881990529189075,0.03462009718037953,0.2676681681008806,0.5122222057459695,0.173106125
2020-01-01 19:00:00,0.2468805944531302,0.5852952988784459,0.238566733,0.743052809,0.23111968214935869,0.017310048590189774,0.2685570566325059,0.5147331554015141,0.173106125
2020-01-01 20:00:00,0.2607522241306875,0.593576070307833,0.238566733,0.743052809,0.23341945900682662,0.008655024295094887,0.26944594516413123,0.5172441050570586,0.173106125
2020-01-01 21:00:00,0.2746238538082448,0.6018568417372202,0.238566733,0.743052809,0.23571923586429455,0.004327512147547443,0.2703348336957565,0.5197550547126032,0.173106125
2020-01-01 22:00:00,0.28849548348580206,0.6101376131666074,0.238566733,0.743052809,0.23801901272176249,0.0021637560737737217,0.2712237222273818,0.5222660043681476,0.173106125
2020-01-01 23:00:00,0.3023671131633594,0.6184183845959945,0.238566733,0.743052809,0.24031878957923042,0.001081878036886859,0.2721126107590071,0.5247769540236922,0.173106125
2020-01-02 00:00:00,0.31469667205987756,0.6218161163600515,0.238566733,0.743052809,0.24261856643669835,0.0005409390184434294,0.2728681660094316,0.5271036819645832,0.173106125
2020-01-02 01:00:00,0.3270262309563957,0.6252138481241086,0.238566733,0.743052809,0.2449183432941663,0.0002704695092217147,0.2736237212598561,0.5294304099054743,0.173106125
2020-01-02 02:00:00,0.3393557898529139,0.6286115798881656,0.238566733,0.743052809,0.24721812015163425,0.00013523475461085736,0.27437927651028066,0.5317571378463654,0.173106125
2020-01-02 03:00:00,0.3516853487494321,0.6320093116522226,0.238566733,0.743052809,0.24951789700910218,6.761737730542868e-05,0.27513483176070513,0.5340838657872564,0.173106125
2020-01-02 04:00:00,0.36401490764595024,0.6354070434162796,0.238566733,0.743052809,0.2518176738665701,3.380868865271434e-05,0.27589038701112967,0.5364105937281475,0.173106125
2020-01-02 05:00:00,0.3763444665424684,0.6388047751803366,0.238566733,0.743052809,0.254117450724038,1.6904344326359037e-05,0.27664594226155415,0.5387373216690385,0.173106125
2020-01-02 06:00:00,0.3886740254389866,0.6421132437073338,0.238566733,0.743052809,0.256417227581506,8.452172163181384e-06,0.2774014975119787,0.5410640496099296,0.173106125
