,CE,OR,SU,NO
2020-01-01 00:00:00,4.500000000000002,0.0,2.651399999999998,0.0
2020-01-01 01:00:00,-4.500000000000002,2.831700000000012,-2.651399999999998,0.0
2020-01-01 02:00:00,5.769900000000001,-2.831700000000012,0.0,5.433269999999999
2020-01-01 03:00:00,-5.67816,9.4047,3.435299999999999,5.700899999999999
2020-01-01 04:00:00,-0.0917400000000006,-9.4047,0.547200000000001,5.8595999999999995
2020-01-01 05:00:00,6.817770000000002,5.464499999999994,-3.9825,-5.3838
2020-01-01 06:00:00,1.1535899999999977,14.141100000000002,4.276799999999998,-4.9881
2020-01-01 07:00:00,-4.70229,13.668000000000001,-3.8559,-5.2854
2020-01-01 08:00:00,6.893160000000001,-3.5710190840515565,-0.42089999999999783,-0.3956699999999955
2020-01-01 09:00:00,-5.00502,8.411819084051558,4.067999999999998,5.414399999999999
2020-01-01 10:00:00,-5.15721,1.970400000000005,-3.9558000000000004,-6.3552
2020-01-01 11:00:00,6.538740000000001,1.3226000000000226,3.839999999999998,4.938599999999998
2020-01-01 12:00:00,-1.1180400000000006,-7.5353999999999814,-3.9521999999999955,5.1221999999999985
2020-01-01 13:00:00,-5.4207,-1.7912000000000603,3.9284999999999988,-6.3336
2020-01-01 14:00:00,6.338400000000002,-11.813099999999999,3.857099999999999,5.235899999999998
2020-01-01 15:00:00,-5.371529999999999,-11.6358,-4.280099999999999,-1.2155999999999914
2020-01-01 16:00:00,-0.9668700000000028,-2.6124999999999545,0.6615000000000011,-6.2439
2020-01-01 17:00:00,6.155220000000002,11.0556,-4.167,5.045099999999999
2020-01-01 18:00:00,4.993500000000001,-4.015100000000032,3.6098999999999988,4.1564999999999985
2020-01-01 19:00:00,-6.246600000000005,-13.059899999999999,2.090700000000001,-9.098700000000001
2020-01-01 20:00:00,3.780780000000001,3.3022000000000844,-5.7006,2.4132
2020-01-01 21:00:00,4.270710000000001,9.1119,2.5214999999999987,3.1556999999999995
2020-01-01 22:00:00,-6.76371,-0.35620000000008467,2.3184000000000013,4.212299999999999
2020-01-01 23:00:00,-6.1899,-12.0579,-4.8399,-5.9634
2020-01-02 00:00:00,5.3778,7.497019084051601,3.459299999999998,-5.4243
2020-01-02 01:00:00,-5.3778,-7.497019084051601,-3.459299999999998,0.0
2020-01-02 02:00:00,4.9263,0.0,0.0,6.5375999999999985
2020-01-02 03:00:00,-4.9263,12.684000000000001,3.873599999999998,6.666299999999999
2020-01-02 04:00:00,6.747870000000002,-2.736000000000004,-3.873599999999998,-4.9590000000000005
2020-01-02 05:00:00,-5.10945,13.6131,0.0,-5.244
2020-01-02 06:00:00,6.496500000000001,12.876900000000001,0.0,5.481299999999999
2020-01-02 07:00:00,-1.3084200000000026,7.016400000000004,3.8480999999999987,-1.0823999999999971
2020-01-02 08:00:00,-6.8265,6.709200000000003,2.9445000000000023,-7.3998
2020-01-02 09:00:00,4.689600000000001,7.5564,-4.8126,3.687599999999998
2020-01-02 10:00:00,-4.689600000000001,-15.428099999999999,3.1313999999999984,3.375899999999998
2020-01-02 11:00:00,0.0,0.7502999999999815,-5.1114,-7.063499999999996
2020-01-02 12:00:00,0.0,4.1802000000000135,0.9107940197680549,3.6827999999999994
2020-01-02 13:00:00,4.419600000000001,-1.6343000000000956,3.037799999999999,0.5703000000000022
2020-01-02 14:00:00,4.272900000000001,-17.465700000000002,2.8988999999999985,3.3248999999999995
2020-01-02 15:00:00,-1.3380000000000027,-15.729199999999878,-5.2197000000000005,3.2807999999999993
2020-01-02 16:00:00,-7.3545,5.446200000000001,3.126599999999998,3.4754999999999985
2020-01-02 17:00:00,0.0,6.7326000000000015,2.4650999999999987,3.428699999999999
2020-01-02 18:00:00,3.5025000000000013,6.551400000000001,2.4521999999999986,2.837999999999999
2020-01-02 19:00:00,-3.5025000000000013,-16.434299999999997,-5.000647009884023,-10.361699999999999
2020-01-02 20:00:00,0.0,-13.158900000000003,-4.671047009884024,-10.2393
2020-01-02 21:00:00,0.0,-1.5302000000000255,1.6222529901159923,0.0
2020-01-02 22:00:00,0.0,0.0,-1.6222529901159923,3.4037999999999986
2020-01-02 23:00:00,4.557600000000001,0.0,2.690999999999999,4.787399999999999
2020-01-03 00:00:00,5.147700000000001,9.075000000000001,-2.690999999999999,-5.9415000000000004
2020-01-03 01:00:00,5.481900000000001,-9.075000000000001,3.029399999999999,2.9901000000000018
2020-01-03 02:00:00,-3.164100000000003,0.0,3.1541999999999986,-5.2398
2020-01-03 03:00:00,-6.017099999999999,10.8966,-4.4507999999999965,0.0
2020-01-03 04:00:00,-6.005999999999999,11.0784,3.0635999999999983,6.230399999999999
2020-01-03 05:00:00,5.789400000000001,12.0546,-4.796399999999999,0.17790000000000195
2020-01-03 06:00:00,5.545200000000001,7.893599999999999,3.2075999999999985,-6.4083000000000006
2020-01-03 07:00:00,3.5198999999999963,6.446399999999997,-3.2075999999999985,4.187399999999999
2020-01-03 08:00:00,-7.385999999999999,7.670400000000001,2.758799999999998,3.465299999999999
2020-01-03 09:00:00,-7.4685,-15.2466,2.6975999999999987,-7.6526999999999985
2020-01-03 10:00:00,0.0,-10.383399999999916,2.6969999999999983,0.0
2020-01-03 11:00:00,4.345500000000001,0.9430999999999585,2.522099999999999,0.0
2020-01-03 12:00:00,-0.18837000000000437,6.051900000000002,2.5416000000000096,3.3621
2020-01-03 13:00:00,4.29588,4.886400000000002,2.696699999999999,3.138299999999999
2020-01-03 14:00:00,4.008660000000001,-17.9334,-5.604,2.7350999999999974
2020-01-03 15:00:00,4.314990000000001,-12.834900000000061,2.524799999999998,2.825099999999999
2020-01-03 16:00:00,4.327530000000001,4.820399999999999,2.5943999999999985,2.984399999999999
2020-01-03 17:00:00,4.382310000000001,6.187200000000001,2.4179999999999984,3.141899999999998
2020-01-03 18:00:00,3.5815800000000007,4.7914000000000385,1.907099999999999,2.602499999999999
2020-01-03 19:00:00,-9.97758,-16.818,-6.725999999999999,-0.6461999999999932
2020-01-03 20:00:00,-9.7896,-10.504100000000022,-6.6972,-10.549199999999999
2020-01-03 21:00:00,-9.300899999999999,0.0,-6.3309,-9.594
2020-01-03 22:00:00,0.4496155490438696,6.4848,2.121599999999998,1.029300000000001
2020-01-03 23:00:00,4.5043500000000005,-6.4848,2.7719999999999985,4.451999999999999
2020-01-04 00:00:00,-4.95396554904387,8.4372,2.980199999999998,5.492399999999999
2020-01-04 01:00:00,5.430300000000001,-8.4372,-5.0358,-5.591399999999999
2020-01-04 02:00:00,5.512800000000001,9.8307,-2.8379999999999947,-5.3823
2020-01-04 03:00:00,-6.176699999999999,-3.1926000000000023,3.210899999999998,6.125699999999999
2020-01-04 04:00:00,5.680500000000001,7.9313999999999965,-3.210899999999998,-5.3759999999999994
2020-01-04 05:00:00,-4.678200000000003,11.907,0.0,6.041699999999999
2020-01-04 06:00:00,-5.7687,11.501100000000001,3.426899999999999,5.562599999999999
2020-01-04 07:00:00,5.483100000000001,9.9936,-3.426899999999999,4.639799999999999
2020-01-04 08:00:00,-2.692140000000003,7.8797999999999995,0.0,3.8522999999999996
2020-01-04 09:00:00,4.514610000000001,4.930199999999999,0.0,-8.0694
2020-01-04 10:00:00,-7.3055699999999995,-12.553099999999972,2.681099999999998,-8.2593
2020-01-04 11:00:00,0.0,-15.550400000000081,2.062868031974041,-4.517399999999997
2020-01-04 12:00:00,4.832010000000001,-2.0779999999999745,3.0302999999999987,0.0
2020-01-04 13:00:00,4.730430000000001,-7.753299999999967,2.7410999999999985,0.0
2020-01-04 14:00:00,4.7056200000000015,-14.561599999999999,2.5607999999999986,3.5961
2020-01-04 15:00:00,4.9155000000000015,-6.434900000000091,2.522999999999998,3.6635999999999997
2020-01-04 16:00:00,4.817430000000001,6.880500000000001,2.4389999999999983,3.730199999999999
2020-01-04 17:00:00,4.2438600000000015,7.5183,2.6024999999999983,3.455399999999999
2020-01-04 18:00:00,-0.6739500000000156,6.8718,2.129699999999999,-4.077899999999998
2020-01-04 19:00:00,-9.63762,-16.3446,-6.785099999999999,-10.3674
2020-01-04 20:00:00,-9.238349999999999,-6.775899999999915,-6.8469,0.0
2020-01-04 21:00:00,-8.694929999999998,0.0,-6.630299999999999,0.0
2020-01-04 22:00:00,0.0,0.0,-2.508068031974034,0.0
2020-01-04 23:00:00,4.307100000000001,8.009400000000001,2.2388999999999983,0.6468000000000007
2020-01-05 00:00:00,1.816559999999999,-0.31520000000011805,2.640299999999999,5.167799999999999
2020-01-05 01:00:00,-6.12366,-7.694199999999883,-4.879199999999997,-5.8145999999999995
2020-01-05 02:00:00,5.881800000000002,0.6286999999999807,3.0848999999999984,0.0
2020-01-05 03:00:00,6.065700000000001,-0.6286999999999807,3.1580999999999984,5.462999999999999
2020-01-05 04:00:00,-5.622,3.680799999999934,2.688900000000002,-5.462999999999999
2020-01-05 05:00:00,-5.291549999999999,12.349499999999999,-4.4505,6.030599999999999
2020-01-05 06:00:00,4.512194099999995,10.48520000000002,-4.4814,-0.17639999999999922
2020-01-05 07:00:00,-5.546144099999999,11.679,0.0,-5.8542
2020-01-05 08:00:00,0.0,6.437100000000044,3.2075999999999985,0.0
2020-01-05 09:00:00,5.6257581000000005,2.969999999999999,-3.2075999999999985,0.0
2020-01-05 10:00:00,-5.145359400000004,-5.383499999999685,0.0,4.512599999999999
2020-01-05 11:00:00,5.545775700000001,-6.1976000000000795,2.7920999999999987,4.420199999999999
2020-01-05 12:00:00,6.0187581,-1.3875000000000455,2.4696000000000007,4.570799999999999
2020-01-05 13:00:00,-6.395493899999999,-1.5935000000000628,-5.261699999999999,4.667699999999999
2020-01-05 14:00:00,4.783783800000002,-2.9119000000000597,2.6945999999999986,-6.915299999999999
2020-01-05 15:00:00,5.646960000000002,-6.681700000000035,2.730299999999999,4.5245999999999995
2020-01-05 16:00:00,5.666498100000001,-8.741700000000037,3.3443999999999985,4.411499999999999
2020-01-05 17:00:00,5.0521839,9.674700000000001,2.6537999999999986,4.102799999999999
2020-01-05 18:00:00,2.068623599999995,9.215100000000001,2.5424999999999986,3.6629999999999985
2020-01-05 19:00:00,-9.08034,-12.475199999999973,-6.3938999999999995,-9.7794
2020-01-05 20:00:00,-9.07239,-14.5455,-1.2614999999999936,-9.578399999999998
