,CE -> NO,CE -> SU,NO -> CE,CE -> OR,SU -> CE,OR -> CE
2020-01-03 16:00:00,256.23920000000004,186.69976532433597,0.0,272.5,0.0,0.0
2020-01-03 17:00:00,250.98920000000004,192.579765324336,0.0,272.5,0.0,0.0
2020-01-03 18:00:00,268.96920000000006,205.357572266694,0.0,272.5,0.0,0.0
2020-01-03 19:00:00,329.4363000000001,203.96777226088602,0.0,272.5,0.0,0.0
2020-01-03 20:00:00,313.24,203.00777226088604,0.0,272.5,0.0,0.0
2020-01-03 21:00:00,281.40000000000003,190.79777226088606,0.0,272.5,0.0,0.0
2020-01-03 22:00:00,248.42340000000002,186.59157226088604,0.0,272.5,0.0,0.0
2020-01-03 23:00:00,207.3192,164.91157226088603,0.0,272.5,0.0,0.0
2020-01-04 00:00:00,172.6392,157.97157226088603,0.0,272.5,0.0,0.0
2020-01-04 01:00:00,147.98,147.62777226088605,0.0,272.5,0.0,0.0
2020-01-04 02:00:00,141.01,147.89947226088606,0.0,272.5,0.0,0.0
2020-01-04 03:00:00,151.52919999999997,150.28157226088604,0.0,272.5,0.0,0.0
2020-01-04 04:00:00,140.79999999999998,146.46567226088604,0.0,272.5,0.0,0.0
2020-01-04 05:00:00,154.3292,136.47197226088602,0.0,272.5,0.0,0.0
2020-01-04 06:00:00,170.29919999999998,147.33376531852798,0.0,272.5,0.0,0.0
2020-01-04 07:00:00,201.0592,138.77547310354802,0.0,272.5,0.0,0.0
2020-01-04 08:00:00,227.30919999999998,158.501965318528,0.0,272.5,0.0,0.0
2020-01-04 09:00:00,230.57999999999998,166.08276531852798,0.0,272.5,0.0,0.0
2020-01-04 10:00:00,236.91,172.193765318528,0.0,272.5,0.0,0.0
2020-01-04 11:00:00,239.57039999999998,174.14023335050203,0.0,272.5,0.0,0.0
2020-01-04 12:00:00,233.0153,160.55376531852798,0.0,272.5,0.0,0.0
2020-01-04 13:00:00,228.77169999999998,170.193765318528,0.0,272.5,0.0,0.0
2020-01-04 14:00:00,235.8492,176.20376531852799,0.0,272.5,0.0,0.0
2020-01-04 15:00:00,233.5992,177.463765318528,0.0,272.5,0.0,0.0
2020-01-04 16:00:00,231.37920000000003,180.263765318528,0.0,272.5,0.0,0.0
2020-01-04 17:00:00,240.53919999999997,174.813765318528,0.0,272.5,0.0,0.0
2020-01-04 18:00:00,267.171,189.00809931556802,0.0,272.5,0.0,0.0
2020-01-04 19:00:00,307.18,204.293373103548,0.0,272.5,0.0,0.0
2020-01-04 20:00:00,312.0163,206.353373103548,0.0,272.5,0.0,0.0
2020-01-04 21:00:00,287.4096,199.133373103548,0.0,272.5,0.0,0.0
2020-01-04 22:00:00,250.4532,207.5,0.0,272.5,0.0,0.0
2020-01-04 23:00:00,209.8897,196.53946803197402,0.0,272.5,0.0,0.0
2020-01-05 00:00:00,183.45919999999998,183.497445980734,0.0,272.5,0.0,0.0
2020-01-05 01:00:00,155.42,167.06844598073403,0.0,272.5,0.0,0.0
2020-01-05 02:00:00,152.8504,168.677445980734,0.0,272.5,0.0,0.0
2020-01-05 03:00:00,154.44059999999996,166.237445980734,0.0,272.5,0.0,0.0
2020-01-05 04:00:00,143.7,163.759745980734,0.0,272.5,0.0,0.0
2020-01-05 05:00:00,154.6992,142.313645980734,0.0,272.5,0.0,0.0
2020-01-05 06:00:00,142.0547,141.78,0.0,272.5,0.0,0.0
2020-01-05 07:00:00,156.73999999999998,160.0428,0.0,272.5,0.0,0.0
2020-01-05 08:00:00,179.8055,163.0238,0.0,272.5,0.0,0.0
2020-01-05 09:00:00,193.1749,164.35420000000002,0.0,272.5,0.0,0.0
2020-01-05 10:00:00,205.29919999999998,167.64419999999998,0.0,272.5,0.0,0.0
2020-01-05 11:00:00,208.3792,176.8738,0.0,272.5,0.0,0.0
2020-01-05 12:00:00,203.3592,169.01170000000002,0.0,272.5,0.0,0.0
2020-01-05 13:00:00,200.1292,167.79,0.0,272.5,0.0,0.0
2020-01-05 14:00:00,192.10999999999999,180.1238,0.0,272.5,0.0,0.0
2020-01-05 15:00:00,204.89919999999998,178.9338,0.0,272.5,0.0,0.0
2020-01-05 16:00:00,208.6692,158.4638,0.0,272.5,0.0,0.0
2020-01-05 17:00:00,218.95919999999998,181.4838,0.0,272.5,0.0,0.0
2020-01-05 18:00:00,233.6192,185.1938,0.0,272.5,0.0,0.0
2020-01-05 19:00:00,287.58000000000004,207.093645980734,0.0,272.5,0.0,0.0
2020-01-05 20:00:00,280.88,200.76649999419203,0.0,272.5,0.0,0.0
2020-01-05 21:00:00,270.1992,191.12399999419202,0.0,272.5,0.0,0.0
2020-01-05 22:00:00,218.9269,188.307799994192,0.0,272.5,0.0,0.0
2020-01-05 23:00:00,129.71,171.51189999419202,0.0,272.5,0.0,0.0
2020-01-06 00:00:00,148.57999999999998,158.98779999419202,0.0,272.5,0.0,0.0
2020-01-06 01:00:00,147.6392,150.923999994192,0.0,272.5,0.0,0.0
2020-01-06 02:00:00,130.01999999999998,151.17779999419201,0.0,272.5,0.0,0.0
2020-01-06 03:00:00,134.0991,147.28259999419203,0.0,272.5,0.0,0.0
2020-01-06 04:00:00,145.8192,152.22779999419203,0.0,272.5,0.0,0.0
2020-01-06 05:00:00,160.6992,144.94969999419203,0.0,272.5,0.0,0.0
2020-01-06 06:00:00,208.2892,155.16779999419202,0.0,272.5,0.0,0.0
2020-01-06 07:00:00,231.09919999999997,165.507799994192,0.0,272.5,0.0,0.0
2020-01-06 08:00:00,250.0492,173.557799994192,0.0,272.5,0.0,0.0
2020-01-06 09:00:00,260.7492000000001,178.48779999419202,0.0,272.5,0.0,0.0
2020-01-06 10:00:00,262.1892,176.567799994192,0.0,272.5,0.0,0.0
2020-01-06 11:00:00,262.3792,175.597799994192,0.0,272.5,0.0,0.0
2020-01-06 12:00:00,238.42795000000004,169.367799994192,0.0,272.5,0.0,0.0
2020-01-06 13:00:00,239.61,176.009799994192,0.0,272.5,0.0,0.0
