,OR -> CE,SU -> CE,NO -> CE,CE -> OR,CE -> NO,CE -> SU
2020-01-01 00:00:00,0.0,0.0,0.0,126.48752234377002,14.678194642595876,181.77967519711405
2020-01-01 01:00:00,0.0,0.0,19.838544520710016,194.18915908507597,0.0,164.805275197114
2020-01-01 02:00:00,0.0,0.0,38.97132993663402,237.75249999999997,0.0,159.15057519711405
2020-01-01 03:00:00,0.0,0.0,28.728845357399983,225.51609999999997,0.0,155.23446532433599
2020-01-01 04:00:00,0.0,0.0,45.41674535740002,236.53099173217566,0.0,153.256865324336
2020-01-01 05:00:00,0.0,0.0,41.79754535739998,229.17081908405152,0.0,136.46976532433598
2020-01-01 06:00:00,0.0,0.0,54.98754535739999,232.99131908405158,0.0,128.06408172843
2020-01-01 07:00:00,0.0,0.0,45.077545357399984,243.5338190840515,0.0,117.44929339646998
2020-01-01 08:00:00,0.0,0.0,38.58509257267991,268.6013190840515,0.0,99.45790357247003
2020-01-01 09:00:00,0.0,0.0,20.30689814212008,272.5,0.0,105.03543080547004
2020-01-01 10:00:00,0.0,0.0,13.379945357399993,272.5,0.0,95.17051100843004
2020-01-01 11:00:00,0.0,0.0,7.434545357399976,272.5,0.0,105.53028463045001
2020-01-01 12:00:00,0.0,0.0,15.214145357399996,272.5,0.0,112.81074954371239
2020-01-01 13:00:00,0.0,0.0,15.376745357400008,272.5,0.0,115.92645464116761
2020-01-01 14:00:00,0.0,0.0,18.74464535739998,272.5,0.0,123.13408332846998
2020-01-01 15:00:00,0.0,0.0,25.490945357399998,272.5,0.0,120.34416049947
2020-01-01 16:00:00,0.0,0.0,13.12754535740001,272.5,0.0,130.68506825744998
2020-01-01 17:00:00,0.0,0.0,17.881845357400003,265.19105809443005,0.0,133.66340219745
2020-01-01 18:00:00,0.0,0.0,3.221145357400008,261.6915871790859,0.0,70.85443041139402
2020-01-01 19:00:00,0.0,0.0,0.0,144.28819881948598,46.15325464259999,105.60727515839403
2020-01-01 20:00:00,0.0,0.0,0.0,149.76407132028203,45.063254642599915,107.84727515839404
2020-01-01 21:00:00,0.0,0.0,0.0,179.28638949179594,37.91951547929,103.23727515839403
2020-01-01 22:00:00,0.0,0.0,8.77968452071002,246.7606,0.0,103.400775158394
2020-01-01 23:00:00,0.0,0.0,40.7667453574,272.5,0.0,123.97555033187996
2020-01-02 00:00:00,0.0,0.0,46.502445357400006,245.4971,0.0,142.79446531852798
2020-01-02 01:00:00,0.0,0.0,51.64054535740001,232.18047371674155,0.0,132.83436531852797
2020-01-02 02:00:00,0.0,0.0,56.537545357400006,242.97018538848303,0.0,137.14376531852795
2020-01-02 03:00:00,0.0,0.0,60.82754535739997,249.8797766637414,0.0,132.44376531852802
2020-01-02 04:00:00,0.0,0.0,66.98854535739999,258.13882081900005,0.0,128.14246531852797
2020-01-02 05:00:00,0.0,0.0,46.45754535739999,237.33698559974147,0.0,124.18376531852797
2020-01-02 06:00:00,0.0,0.0,23.793245357400007,215.2242869610875,0.0,127.69065912778201
2020-01-02 07:00:00,0.0,0.0,3.3258453574000058,264.616,0.0,114.62770982176201
2020-01-02 08:00:00,0.0,0.0,0.0,251.98328174168998,17.670254642599968,106.23839903067004
2020-01-02 09:00:00,0.0,0.0,0.0,264.86688174169,20.173254642600014,106.32743710869002
2020-01-02 10:00:00,0.0,0.0,0.0,272.0675814875465,19.45259314578344,107.56415931065007
2020-01-02 11:00:00,0.0,0.0,0.0,272.3258569162399,22.910315479289995,109.97177127465002
2020-01-02 12:00:00,0.0,0.0,0.0,272.5,20.349515479289977,110.06506191369004
2020-01-02 13:00:00,0.0,0.0,0.0,272.5,26.929515479290007,84.63756880349001
2020-01-02 14:00:00,0.0,0.0,0.0,272.5,32.157960147285976,68.49782403351401
2020-01-02 15:00:00,0.0,0.0,0.0,259.43959306437296,26.27171603649047,72.44203436755404
2020-01-02 16:00:00,0.0,0.0,0.0,233.9895930643731,27.259515479289977,81.92141351755404
2020-01-02 17:00:00,0.0,0.0,0.0,186.348245024136,28.819515479289993,113.494069324554
2020-01-02 18:00:00,0.0,0.0,0.0,124.72384075917593,48.50951547929007,112.29429861051402
2020-01-02 19:00:00,0.0,0.0,0.0,41.571664125646066,88.25325464259996,114.26212285253399
2020-01-02 20:00:00,0.0,0.0,0.0,53.76092406064603,84.17325464259997,113.942122852534
2020-01-02 21:00:00,0.0,0.0,0.0,92.72019999999993,63.53203175091002,123.24068817687001
2020-01-02 22:00:00,0.0,0.0,0.0,154.32965911862004,26.245715479290002,108.07908817686999
2020-01-02 23:00:00,0.0,0.0,21.257884520709993,231.31260602762,0.0,105.65988817687
2020-01-03 00:00:00,0.0,0.0,46.57978452070999,272.5,0.0,109.37485187060996
2020-01-03 01:00:00,0.0,0.0,63.2667453574,263.1191999999999,0.0,146.64377709430005
2020-01-03 02:00:00,0.0,0.0,57.27607359602996,247.35546599740192,0.0,153.031765318528
2020-01-03 03:00:00,0.0,0.0,55.55042862112916,242.05490000000003,0.0,153.711765318528
2020-01-03 04:00:00,0.0,0.0,51.40042862112915,235.99490000000003,0.0,156.051765318528
2020-01-03 05:00:00,0.0,0.0,40.930428621129124,203.4549,0.0,148.591765318528
2020-01-03 06:00:00,0.0,0.0,15.019784520709972,216.01553400259795,0.0,143.537139283812
2020-01-03 07:00:00,0.0,0.0,0.0,229.56071099667014,9.339054642599983,95.83786913162994
2020-01-03 08:00:00,0.0,0.0,0.0,218.55000000000007,20.609012912819885,92.68979362162993
2020-01-03 09:00:00,0.0,0.0,0.0,231.28470394506047,26.576612912819897,90.29986193262992
2020-01-03 10:00:00,0.0,0.0,0.0,250.40359999999998,24.686712912819935,82.72864360758992
2020-01-03 11:00:00,0.0,0.0,0.0,255.47360000000003,35.49591291281991,81.23674514960993
2020-01-03 12:00:00,0.0,0.0,0.0,272.5,26.039515479289964,87.14650194060992
2020-01-03 13:00:00,0.0,0.0,0.0,272.5,27.372454642599948,68.7816020941
2020-01-03 14:00:00,0.0,0.0,0.0,260.3612709867596,35.79598953506026,56.747268428880034
2020-01-03 15:00:00,0.0,0.0,0.0,258.2537605282199,35.017011272160005,66.21411498892003
2020-01-03 16:00:00,0.0,0.0,0.0,237.62376052822006,23.537463120579872,79.7163252489
2020-01-03 17:00:00,0.0,0.0,0.0,192.06376052822,27.252454642600043,103.98381517587998
2020-01-03 18:00:00,0.0,0.0,0.0,109.18481275517998,45.23245464259999,129.98253548492002
2020-01-03 19:00:00,0.0,0.0,0.0,19.18705387973597,92.37525464259997,125.26040542056401
2020-01-03 20:00:00,0.0,0.0,0.0,27.909999999999982,86.26525464259996,129.34474929630002
2020-01-03 21:00:00,0.0,0.0,0.0,80.48958559639989,57.66325464260006,121.29437074490004
2020-01-03 22:00:00,0.0,0.0,0.0,115.4041000000001,26.812454642600002,122.56657074490002
2020-01-03 23:00:00,0.0,0.0,19.024645357399997,218.4445000000001,0.0,117.30439913969971
2020-01-04 00:00:00,0.0,0.0,51.58994535740001,272.5,0.0,113.53154456530002
2020-01-04 01:00:00,0.0,0.0,65.15423293412002,272.5,0.0,136.88700991302002
2020-01-04 02:00:00,0.0,0.0,60.56242369320461,253.04305480757657,0.0,154.116465318528
2020-01-04 03:00:00,0.0,0.0,59.35446782862795,254.56289999999998,0.0,151.14176531852797
2020-01-04 04:00:00,0.0,0.0,48.823095666250005,241.36078545362201,0.0,153.67176531852797
2020-01-04 05:00:00,0.0,0.0,39.95198324296999,200.60290000000003,0.0,140.85176531852795
2020-01-04 06:00:00,0.0,0.0,23.970870821660025,214.13289999999998,0.0,143.94176531852796
2020-01-04 07:00:00,0.0,0.0,0.00975839837996606,215.07533100533195,0.0,141.324582916548
2020-01-04 08:00:00,0.0,0.0,0.0,252.96726243179995,14.772154024899965,95.36970731140002
2020-01-04 09:00:00,0.0,0.0,0.0,251.82068548448999,29.533266446209957,91.60881377540002
2020-01-04 10:00:00,0.0,0.0,0.0,266.1803524608299,35.87437886948997,77.89917148838003
2020-01-04 11:00:00,0.0,0.0,0.0,266.2436495581099,45.547591292769965,79.31167913042005
2020-01-04 12:00:00,0.0,0.0,0.0,272.5,35.575803714079974,74.98338543341998
2020-01-04 13:00:00,0.0,0.0,0.0,272.5,31.46691613735997,73.34457551134003
2020-01-04 14:00:00,0.0,0.0,0.0,272.5,34.858028560639966,61.08290192786002
2020-01-04 15:00:00,0.0,0.0,0.0,255.94190980106998,32.61914098194997,76.61969939488002
2020-01-04 16:00:00,0.0,0.0,0.0,228.64146936480984,30.41025340523005,90.59768026386003
2020-01-04 17:00:00,0.0,0.0,0.0,183.26207133218003,39.58136582850996,94.34949159741001
2020-01-04 18:00:00,0.0,0.0,0.0,75.95726139224998,72.76247824981995,121.24566208543001
2020-01-04 19:00:00,0.0,0.0,0.0,30.500376353725983,88.65439067309995,127.32697054907399
2020-01-04 20:00:00,0.0,0.0,0.0,47.82999999999991,83.29550309637995,129.42675897352012
2020-01-04 21:00:00,0.0,0.0,0.0,73.96000000000001,59.41661551768999,139.126970549074
2020-01-04 22:00:00,0.0,0.0,0.0,103.59199381885583,49.550927940970006,134.49937054907403
2020-01-04 23:00:00,0.0,0.0,0.0,171.00068217257603,8.351740364249988,126.39187054907401
2020-01-05 00:00:00,0.0,0.0,22.588647214440016,247.093736155636,0.0,112.65875311470398
2020-01-05 01:00:00,0.0,0.0,32.83100224433999,270.589246407417,0.0,104.38183311882293
2020-01-05 02:00:00,0.0,0.0,41.21075727620999,251.22524640741707,0.0,151.93244833869284
