,[66] - VALLE DE ZONGO - TIQUIMANI,[25] - CORANI,[30] - ANGOSTURA,[28] - MISICUNI,[118] - SAN JACINTO,[65] - SISTEMA ZONGO,[69] - VALLE DE ZONGO - SANTA ROSA,[75] - CHOJLLA,[29] - MIGUILLA
2020-01-01 00:00:00,0.238566733,0.18586955920277792,0.173106125,0.465037362208643,0.40460841225942784,0.25096817481260614,0.38147110799999995,0.3315604235394276,0.1913074261532567
2020-01-01 01:00:00,0.238566733,0.18702930298978335,0.173106125,0.465211115417286,0.4044599175188556,0.25115706362521223,0.38147110799999995,0.33156879307885523,0.19402951630651338
2020-01-01 02:00:00,0.238566733,0.18818904677678874,0.173106125,0.46538486862592904,0.40431142277828336,0.2513459524378184,0.38147110799999995,0.3315771626182828,0.1967516064597701
2020-01-01 03:00:00,0.238566733,0.18934879056379414,0.173106125,0.46555862183457203,0.40416292803771114,0.2515348412504245,0.38147110799999995,0.33158553215771036,0.1994736966130268
2020-01-01 04:00:00,0.238566733,0.19050853435079956,0.173106125,0.465732375043215,0.4040144332971389,0.2517237300630306,0.38147110799999995,0.331593901697138,0.2021957867662835
2020-01-01 05:00:00,0.238566733,0.19166827813780496,0.173106125,0.46590612825185806,0.4038656706567466,0.25191261887563676,0.36442212,0.33160227123656555,0.2049178769195402
2020-01-01 06:00:00,0.238566733,0.19282802192481036,0.173106125,0.46607988146050106,0.40321894188621077,0.2521015076882429,0.36442212,0.3316106407759931,0.2076399670727969
2020-01-01 07:00:00,0.238566733,0.19398776571181575,0.173106125,0.46625363466914405,0.4040693003453337,0.252290396500849,0.36442212,0.33161901031542074,0.21036205722605358
2020-01-01 08:00:00,0.238566733,0.19514750949882118,0.173106125,0.4664273878777871,0.40491965880445663,0.25247928531345515,0.36442212,0.3316273798548483,0.2130841473793103
2020-01-01 09:00:00,0.238566733,0.19630725328582657,0.173106125,0.4666011410864301,0.4057700172635796,0.2526681741260613,0.36442212,0.33163574939427587,0.215806237532567
2020-01-01 10:00:00,0.238566733,0.19746699707283197,0.173106125,0.4667748942950731,0.40662037572270254,0.2528570629386674,0.36442212,0.33164411893370344,0.2185283276858237
2020-01-01 11:00:00,0.238566733,0.19862674085983736,0.173106125,0.46694864750371606,0.40747073418182544,0.25304595175127353,0.36442212,0.33165248847313106,0.2212504178390804
2020-01-01 12:00:00,0.238566733,0.1997864846468428,0.173106125,0.4671224007123591,0.4083210926409484,0.2532348405638797,0.36442212,0.3316608580125586,0.2239725079923371
2020-01-01 13:00:00,0.238566733,0.20094622843384818,0.173106125,0.4672961539210021,0.40917145110007136,0.2534237293764858,0.36442212,0.3316692275519862,0.22669459814559378
2020-01-01 14:00:00,0.238566733,0.20210597222085358,0.173106125,0.4674699071296451,0.41002180955919426,0.2536126181890919,0.36442212,0.3316775970914138,0.2294166882988505
2020-01-01 15:00:00,0.238566733,0.203265716007859,0.173106125,0.46764366033828814,0.4108721680183172,0.25380150700169807,0.36442212,0.3316859666308414,0.2321387784521072
2020-01-01 16:00:00,0.238566733,0.2044254597948644,0.173106125,0.4678174135469311,0.4117225264774402,0.25399039581430416,0.36442212,0.33169433617026894,0.2348608686053639
2020-01-01 17:00:00,0.238566733,0.2055852035818698,0.173106125,0.4679911667555741,0.4110757977069043,0.2541792846269103,0.36442212,0.33170270570969657,0.2375829587586206
2020-01-01 18:00:00,0.238566733,0.2067449473688752,0.173106125,0.46816491996421716,0.41057187382440624,0.25436817343951645,0.36442212,0.33171107524912413,0.2403050489118773
2020-01-01 19:00:00,0.238566733,0.20749036157165315,0.173106125,0.46833867317286015,0.41042337908383403,0.25455706225212255,0.36442212,0.3317194447885517,0.243027139065134
2020-01-01 20:00:00,0.238566733,0.20823577577443111,0.173106125,0.46851242638150314,0.41027488434326176,0.2547459510647287,0.36442212,0.33172781432797926,0.2457492292183907
2020-01-01 21:00:00,0.238566733,0.20898118997720905,0.173106125,0.4686861795901462,0.41012638960268955,0.25493483987733484,0.36442212,0.3317361838674069,0.2484713193716474
2020-01-01 22:00:00,0.238566733,0.21014093376421447,0.173106125,0.4688599327987892,0.4099778948621173,0.25512372868994093,0.36442212,0.33174455340683445,0.2511934095249041
2020-01-01 23:00:00,0.238566733,0.21130067755121987,0.173106125,0.46903368600743217,0.40982940012154506,0.2553126175025471,0.36442212,0.331752922946262,0.2539154996781608
2020-01-02 00:00:00,0.238566733,0.21248853809596413,0.173106125,0.4691974466613227,0.4105427078929926,0.25549039520757705,0.36442212,0.3320630403866286,0.25678509225330104
2020-01-02 01:00:00,0.238566733,0.2136763986407084,0.173106125,0.46936120731521325,0.41125601566444014,0.255668172912607,0.36442212,0.3323731578269951,0.25965468482844123
2020-01-02 02:00:00,0.238566733,0.21486425918545263,0.173106125,0.46952496796910376,0.41196932343588766,0.255845950617637,0.36442212,0.3326832752673617,0.2625242774035815
2020-01-02 03:00:00,0.238566733,0.2160521197301969,0.173106125,0.46968872862299427,0.4126826312073352,0.2560237283226669,0.36442212,0.3329933927077282,0.26539386997872166
2020-01-02 04:00:00,0.238566733,0.21723998027494115,0.173106125,0.4698524892768848,0.41339593897878274,0.25620150602769687,0.36442212,0.33330351014809473,0.26826346255386185
2020-01-02 05:00:00,0.238566733,0.21842784081968541,0.173106125,0.47001624993077534,0.4141092467502303,0.25637928373272684,0.36442212,0.3336136275884613,0.2711330551290021
2020-01-02 06:00:00,0.238566733,0.21961570136442968,0.173106125,0.47018001058466585,0.41434334238917775,0.2565570614377568,0.36442212,0.3339237450288278,0.2740026477041423
