,SU -> CE,CE -> NO,OR -> CE,CE -> SU,CE -> OR,NO -> CE
2020-01-03 13:00:00,0.0,0.0,0.0,180.0538,272.5,36.16142431512006
2020-01-03 14:00:00,0.0,0.0,0.0,148.38452160438405,272.5,25.26512431511994
2020-01-03 15:00:00,0.0,0.0,0.0,163.48596816442404,272.5,25.72142431511997
2020-01-03 16:00:00,0.0,0.0,0.0,163.269778424404,272.5,31.031424315119935
2020-01-03 17:00:00,0.0,0.0,0.0,192.579765324336,272.5,36.281424315119935
2020-01-03 18:00:00,0.0,0.0,0.0,206.419788660424,272.5,23.992142720809927
2020-01-03 19:00:00,0.0,25.95231484819004,0.0,197.93729153355997,261.9959,0.0
2020-01-03 20:00:00,0.0,19.842314848190025,0.0,200.24048152956001,272.5,0.0
2020-01-03 21:00:00,0.0,5.608575684880048,0.0,197.43538923893203,272.5,0.0
2020-01-03 22:00:00,0.0,0.0,0.0,185.145389238932,272.5,36.72142431511996
2020-01-03 23:00:00,0.0,0.0,0.0,156.81888923893203,272.5,83.45692431511998
2020-01-04 00:00:00,0.0,0.0,0.0,156.32717310354798,272.5,126.11062431512
2020-01-04 01:00:00,0.0,0.0,0.0,151.236973103548,272.5,127.81142431512001
2020-01-04 02:00:00,0.0,0.0,0.0,152.19717310354798,272.5,134.78142431512
2020-01-04 03:00:00,0.0,0.0,0.0,148.63717310354798,272.5,143.03832431512
2020-01-04 04:00:00,0.0,0.0,0.0,143.08337310354798,272.5,146.47062431512
2020-01-04 05:00:00,0.0,0.0,0.0,130.26337310354796,272.5,144.42062431512
2020-01-04 06:00:00,0.0,0.0,0.0,147.33376531852795,272.5,122.53402431512
2020-01-04 07:00:00,0.0,0.0,0.0,151.40376531852797,272.5,86.21142431511998
2020-01-04 08:00:00,0.0,0.0,0.0,161.50376531852797,272.5,59.961424315119984
2020-01-04 09:00:00,0.0,0.0,0.0,140.30285945854797,272.5,56.69062431511999
2020-01-04 10:00:00,0.0,0.0,0.0,126.10941717152797,272.5,38.881424315119986
2020-01-04 11:00:00,0.0,0.0,0.0,129.73582624147798,272.5,42.61762431511998
2020-01-04 12:00:00,0.0,0.0,0.0,115.59363111656792,272.5,50.681424315119976
2020-01-04 13:00:00,0.0,0.0,0.0,170.19376531852797,272.5,66.28062431512
2020-01-04 14:00:00,0.0,0.0,0.0,133.13745032852793,272.5,55.017524315119985
2020-01-04 15:00:00,0.0,0.0,0.0,132.99044779554796,272.5,53.67142431511998
2020-01-04 16:00:00,0.0,0.0,0.0,146.96842866452798,272.5,61.236623550619846
2020-01-04 17:00:00,0.0,0.0,0.0,162.11192882754798,272.5,46.73142431512001
2020-01-04 18:00:00,0.0,0.0,0.0,190.57376531852796,272.5,13.561424315120005
2020-01-04 19:00:00,0.0,22.312474920379906,0.0,207.5,272.5,0.0
2020-01-04 20:00:00,0.0,26.01857568488002,0.0,207.5,272.5,0.0
2020-01-04 21:00:00,0.0,2.1285756848800155,0.0,207.5,272.5,0.0
2020-01-04 22:00:00,0.0,0.0,0.0,207.5,272.5,33.75142431511996
2020-01-04 23:00:00,0.0,0.0,0.0,196.29805522081404,272.5,84.35622431511999
2020-01-05 00:00:00,0.0,0.0,0.0,182.821490092304,272.5,114.12987803802002
2020-01-05 01:00:00,0.0,0.0,0.0,166.39249009230403,272.5,141.52227803801998
2020-01-05 02:00:00,0.0,0.0,0.0,168.001490092304,272.5,138.82987803802
2020-01-05 03:00:00,0.0,0.0,0.0,164.18569009230401,272.5,158.79237233462
2020-01-05 04:00:00,0.0,0.0,0.0,155.52769009230403,272.5,158.01497817882
2020-01-05 05:00:00,0.0,0.0,0.0,146.08819009230402,272.5,158.05817817882
2020-01-05 06:00:00,0.0,0.0,0.0,149.8638,272.5,163.71237817882
2020-01-05 07:00:00,0.0,0.0,0.0,166.47976532433597,272.5,138.50757817882
2020-01-05 08:00:00,0.0,0.0,0.0,140.62280648428398,272.5,137.28140013431994
2020-01-05 09:00:00,0.0,0.0,0.0,165.695965324336,272.5,112.82220013431996
2020-01-05 10:00:00,0.0,0.0,0.0,123.589704211324,272.5,105.43220013431996
2020-01-05 11:00:00,0.0,0.0,0.0,131.664059855284,272.5,116.96986673670995
2020-01-05 12:00:00,0.0,0.0,0.0,169.77806532433598,272.5,110.51066673670996
2020-01-05 13:00:00,0.0,0.0,0.0,133.239779464324,272.5,125.21986673670997
2020-01-05 14:00:00,0.0,0.0,0.0,145.322928696304,272.5,114.84456673670996
2020-01-05 15:00:00,0.0,0.0,0.0,143.669110267304,272.5,108.97066673670997
2020-01-05 16:00:00,0.0,0.0,0.0,161.69976532433597,272.5,105.20066673670995
2020-01-05 17:00:00,0.0,0.0,0.0,174.25001620732402,272.5,94.91066673670997
2020-01-05 18:00:00,0.0,0.0,0.0,180.93477507228405,272.5,80.25066673670996
2020-01-05 19:00:00,0.0,0.0,0.0,206.417690092304,272.5,23.6339667367099
2020-01-05 20:00:00,0.0,0.0,0.0,194.92503796539202,272.5,32.98986673671001
2020-01-05 21:00:00,0.0,0.0,0.0,196.77523796539202,272.5,46.23626673670999
2020-01-05 22:00:00,0.0,0.0,0.0,187.648837965392,272.5,94.42996673670996
2020-01-05 23:00:00,0.0,0.0,0.0,173.358837965392,272.5,179.11656673670996
2020-01-06 00:00:00,0.0,0.0,0.0,150.71873796539202,272.5,181.43227149272997
2020-01-06 01:00:00,0.0,0.0,0.0,158.348837965392,272.5,187.98247149272996
2020-01-06 02:00:00,0.0,0.0,0.0,144.32473796539202,272.5,205.60167149272996
2020-01-06 03:00:00,0.0,0.0,0.0,152.97883796539202,272.5,193.91247149272996
2020-01-06 04:00:00,0.0,0.0,0.0,145.24513796539202,272.5,189.80247149272995
2020-01-06 05:00:00,0.0,0.0,0.0,144.23493796539202,272.5,174.92247149272995
2020-01-06 06:00:00,0.0,0.0,0.0,151.518793635942,272.5,139.26150904047995
2020-01-06 07:00:00,0.0,0.0,0.0,144.793437284982,272.5,116.45150904047999
2020-01-06 08:00:00,0.0,0.0,0.0,176.793765318528,272.5,86.02230904047991
2020-01-06 09:00:00,0.0,0.0,0.0,177.38408122951,272.5,75.3223090404799
2020-01-06 10:00:00,0.0,0.0,0.0,179.80376531852798,272.5,73.88230904047995
2020-01-06 11:00:00,0.0,0.0,0.0,116.348734359962,272.5,85.17150904047996
