,OR,CE,SU,NO
2020-01-01 00:00:00,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,0.0,5.18088,0.0,0.0
2020-01-01 02:00:00,11.945400000000001,-5.18088,0.0,0.0
2020-01-01 03:00:00,-3.4847809159484147,6.073740000000001,3.435299999999999,5.700899999999999
2020-01-01 04:00:00,-8.460619084051586,6.109740000000001,3.492899999999999,5.8595999999999995
2020-01-01 05:00:00,13.8405,-4.934129999999999,-3.5612999999999957,-5.3838
2020-01-01 06:00:00,-0.25458091594843424,-4.5912,4.276799999999998,-4.9881
2020-01-01 07:00:00,13.668000000000001,2.2005899999999956,-3.8559,4.4292000000000025
2020-01-01 08:00:00,8.400480915948435,-4.85874,-3.7878,-5.6178
2020-01-01 09:00:00,-7.534800000000001,0.0,0.0,1.4166000000000016
2020-01-01 10:00:00,11.9652,6.594690000000001,4.127999999999998,5.123999999999999
2020-01-01 11:00:00,1.3226000000000226,3.2969399999999967,-3.5120999999999976,-6.5406
2020-01-01 12:00:00,-7.5353999999999814,-5.437799999999999,3.962399999999999,5.1221999999999985
2020-01-01 13:00:00,-6.373099999999937,6.331200000000001,3.9284999999999988,5.145599999999999
2020-01-01 14:00:00,-11.813099999999999,-5.413499999999999,-4.226699999999999,5.235899999999998
2020-01-01 15:00:00,-5.725800000000049,-5.371529999999999,-4.280099999999999,-6.1887
2020-01-01 16:00:00,-2.6124999999999545,0.0,3.9086999999999987,5.235299999999999
2020-01-01 17:00:00,11.0556,6.155220000000002,3.9167999999999985,5.045099999999999
2020-01-01 18:00:00,10.1166,4.993500000000001,3.6098999999999988,-7.3227
2020-01-01 19:00:00,-10.879900000000049,-0.684600000000005,-3.577002144500028,2.380499999999998
2020-01-01 20:00:00,-13.1253,3.780780000000001,-2.2960978554999683,0.9372000000000114
2020-01-01 21:00:00,-4.514500000000055,-7.48119,-5.5623,-8.3235
2020-01-01 22:00:00,9.7497,-6.76371,0.0,-7.2669
2020-01-01 23:00:00,-9.7497,5.562000000000001,3.2438999999999982,5.515799999999999
2020-01-02 00:00:00,0.0,-5.562000000000001,-3.2438999999999982,-1.9526999999999912
2020-01-02 01:00:00,0.0,6.374100000000001,3.7493999999999987,6.380699999999999
2020-01-02 02:00:00,1.1754595420257488,6.702000000000001,3.732599999999999,-4.9416
2020-01-02 03:00:00,10.06435954202578,-4.9263,-4.2102,-4.8129
2020-01-02 04:00:00,-1.2918190840515322,-5.004029999999999,-3.271799999999997,6.520199999999998
2020-01-02 05:00:00,13.6131,6.642450000000001,0.0,6.235199999999999
2020-01-02 06:00:00,12.876900000000001,-3.920220000000005,0.0,-5.9979
2020-01-02 07:00:00,-1.3491025645863743,-5.867999999999999,3.8480999999999987,4.8687
2020-01-02 08:00:00,8.602500000000001,4.925400000000001,3.6350999999999987,-7.3998
2020-01-02 09:00:00,7.5564,4.689600000000001,-4.350267868665982,3.687599999999998
2020-01-02 10:00:00,-15.428099999999999,0.3225456877021067,3.1313999999999984,-8.1033
2020-01-02 11:00:00,-5.244978685206817,4.281554312297893,2.9723999999999986,0.0
2020-01-02 12:00:00,-1.815078685206835,-6.8868,3.2288999999999985,3.6827999999999994
2020-01-02 13:00:00,5.323500000000003,-7.3323,-5.045999999999999,0.5703000000000022
2020-01-02 14:00:00,-17.465700000000002,4.272900000000001,-5.1849,3.3248999999999995
2020-01-02 15:00:00,-11.903699999999873,2.6927999999999974,2.864099999999998,3.2807999999999993
2020-01-02 16:00:00,5.446200000000001,4.397400000000001,3.126599999999998,3.4754999999999985
2020-01-02 17:00:00,6.7326000000000015,4.346100000000001,2.4650999999999987,3.428699999999999
2020-01-02 18:00:00,0.5114000000000374,3.5025000000000013,2.4521999999999986,2.837999999999999
2020-01-02 19:00:00,-16.434299999999997,-9.7221,-6.3975,-10.361699999999999
2020-01-02 20:00:00,-0.9696400650001351,-9.4896,-6.3879,-10.2393
2020-01-02 21:00:00,5.9862,3.0807,-0.35733213133400454,2.105699999999999
2020-01-02 22:00:00,-5.9862,3.773100000000002,2.3207999999999984,3.3717000000000033
2020-01-02 23:00:00,0.0,4.557600000000001,2.690999999999999,4.787399999999999
2020-01-03 00:00:00,9.075000000000001,-6.6042,2.978399999999998,5.537699999999998
2020-01-03 01:00:00,-9.075000000000001,1.587899999999994,-5.054399999999999,-5.4384
2020-01-03 02:00:00,2.573400000000049,5.628000000000001,2.014200000000004,-5.2398
2020-01-03 03:00:00,4.773899999999969,-6.017099999999999,-4.95,-5.1243
2020-01-03 04:00:00,11.015699999999981,-6.005999999999999,0.0,0.0
2020-01-03 05:00:00,12.0546,5.789400000000001,0.0,5.916299999999999
2020-01-03 06:00:00,11.5056,-3.337200000000003,3.2075999999999985,5.070899999999998
2020-01-03 07:00:00,6.446399999999997,4.933800000000001,3.065699999999998,4.187399999999999
2020-01-03 08:00:00,-14.315999999999999,-7.385999999999999,2.758799999999998,-6.9095999999999975
2020-01-03 09:00:00,-15.2466,4.283400000000001,-2.1350999999999916,-8.265
2020-01-03 10:00:00,5.223980915948694,-4.283400000000001,2.6969999999999983,0.0
2020-01-03 11:00:00,0.9430999999999017,0.0,2.522099999999999,3.0359999999999996
2020-01-03 12:00:00,6.051900000000002,4.735290000000001,2.8538999999999985,3.3621
2020-01-03 13:00:00,4.886400000000002,4.29588,2.696699999999999,3.138299999999999
2020-01-03 14:00:00,-17.9334,4.008660000000001,-5.604,0.1914000000000069
2020-01-03 15:00:00,-12.834900000000061,4.314990000000001,2.524799999999998,2.825099999999999
2020-01-03 16:00:00,-0.31108091594853704,-5.551530000000003,-5.4894,2.984399999999999
2020-01-03 17:00:00,6.187200000000001,4.382310000000001,2.4179999999999984,3.141899999999998
2020-01-03 18:00:00,5.797799999999999,3.5815800000000007,1.907099999999999,2.602499999999999
2020-01-03 19:00:00,-16.818,-9.97758,-6.725999999999999,-10.7325
2020-01-03 20:00:00,0.0,-9.7896,-6.6972,-10.549199999999999
2020-01-03 21:00:00,5.761199999999999,2.4510000000000023,1.7528999999999986,1.8851999999999993
2020-01-03 22:00:00,6.4848,3.161670000000001,2.121599999999998,3.1550999999999974
2020-01-03 23:00:00,-12.245999999999999,4.5043500000000005,-3.8744999999999967,0.946500000000003
2020-01-04 00:00:00,0.0,5.123070000000002,2.980199999999998,-5.9868
2020-01-04 01:00:00,9.2127,-2.548890000000007,0.21780000000000577,5.8877999999999995
2020-01-04 02:00:00,9.8307,5.512800000000001,3.104099999999998,6.096899999999999
2020-01-04 03:00:00,-5.345600000000079,-6.176699999999999,3.210899999999998,-1.171199999999999
2020-01-04 04:00:00,-0.9891999999999257,-6.0714,-4.9488,-5.3759999999999994
2020-01-04 05:00:00,11.907,-5.9559,-4.5642,-5.4375
2020-01-04 06:00:00,11.501100000000001,0.0,3.426899999999999,0.0
2020-01-04 07:00:00,9.9936,5.483100000000001,3.3047999999999984,4.639799999999999
2020-01-04 08:00:00,7.8797999999999995,4.773390000000001,3.0017999999999985,3.8522999999999996
2020-01-04 09:00:00,6.7911,-2.9509200000000035,2.780999999999999,-8.0694
2020-01-04 10:00:00,-12.55309999999995,-7.3055699999999995,-5.4027,3.219899999999999
2020-01-04 11:00:00,-15.550400000000081,4.644150000000001,1.121301427909997,0.5652000000000017
2020-01-04 12:00:00,-2.0779999999999745,-4.644150000000001,3.0302999999999987,3.573899999999999
2020-01-04 13:00:00,-7.75329999999996,4.730430000000001,2.7410999999999985,-7.781699999999999
2020-01-04 14:00:00,-14.561599999999991,4.7056200000000015,2.5607999999999986,0.0
2020-01-04 15:00:00,-6.434900000000077,-2.7549900000000056,-5.5608,3.6635999999999997
2020-01-04 16:00:00,6.880500000000001,4.817430000000001,-5.6448,-1.6149992354999023
2020-01-04 17:00:00,7.5183,4.2438600000000015,2.6024999999999983,3.455399999999999
2020-01-04 18:00:00,6.8718,3.1336200000000005,2.129699999999999,2.4602999999999984
2020-01-04 19:00:00,-16.3446,-9.63762,-3.5784731035479638,-7.964300764500095
2020-01-04 20:00:00,-6.7758999999999645,-9.238349999999999,-5.700273103547971,1.2729
2020-01-04 21:00:00,0.0,3.0569700000000033,1.4534999999999991,1.9895999999999994
2020-01-04 22:00:00,0.0,-0.6829800000000077,-2.2666552208140445,3.065999999999999
2020-01-04 23:00:00,6.45659999999998,4.307100000000001,2.2388999999999983,-6.328499999999998
2020-01-05 00:00:00,5.910300000000019,4.868970000000002,2.640299999999999,5.167799999999999
2020-01-05 01:00:00,-12.3669,-6.12366,-4.879199999999997,-5.167799999999999
