Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
17-Dec,25.32,23.89,29.36,26.84,27.47,28.43,19.98,24.89,
18-Dec,24.81,23.43,28.65,26.32,27.71,30.35,19.70,25.76,5.04
19-Dec,25.37,23.03,28.01,25.82,27.03,33.63,19.47,27.36,
20-Dec,26.47,22.75,27.44,26.85,26.40,34.17,19.72,28.19,
21-Dec,26.47,22.96,27.04,28.13,26.02,33.21,20.65,28.18,
22-Dec,25.92,23.23,26.88,27.84,26.23,32.30,21.12,27.75,
23-Dec,25.46,23.20,27.05,27.28,27.15,33.20,21.44,27.31,
24-Dec,25.03,23.89,27.72,26.69,27.95,34.03,22.64,27.35,
25-Dec,25.13,24.42,28.15,26.24,28.62,33.47,24.07,27.47,
26-Dec,25.55,24.22,27.76,25.90,28.80,32.98,24.71,27.20,
27-Dec,26.02,24.03,27.21,25.80,29.14,32.41,26.53,27.06,
28-Dec,26.16,23.71,26.98,26.19,29.44,31.83,29.89,26.79,
29-Dec,26.20,23.54,26.67,26.72,29.01,31.21,30.98,26.39,
30-Dec,26.17,23.38,26.22,27.02,28.58,30.64,30.30,26.10,
31-Dec,25.59,23.04,25.89,26.80,28.18,30.10,30.26,26.10,
