Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
21-Mar,43.20,26.38,25.68,42.51,51.70,28.91,32.37,33.80,
22-Mar,42.33,26.08,25.29,41.27,49.63,29.95,31.93,33.05,
23-Mar,40.99,25.63,24.86,40.40,48.09,29.44,32.09,32.18,
24-Mar,39.73,25.30,24.46,40.51,47.23,28.78,32.09,31.34,
25-Mar,38.65,24.96,24.05,40.79,45.99,28.15,31.51,30.69,
26-Mar,37.67,24.52,24.76,40.86,44.32,27.53,30.72,32.44,
27-Mar,38.20,24.18,25.60,41.05,42.79,26.99,29.99,34.06,10.57
28-Mar,38.61,23.86,25.32,40.49,41.88,26.50,29.38,33.21,
29-Mar,37.48,23.70,25.17,40.96,41.82,26.38,28.82,32.34,
30-Mar,36.61,23.65,25.06,41.84,41.24,26.50,28.39,31.59,
31-Mar,35.94,23.39,25.10,43.54,40.01,26.24,27.97,34.03,
01-Apr,35.23,23.05,25.05,44.37,38.83,25.94,27.40,36.21,
02-Apr,35.32,22.84,24.59,42.75,37.72,28.74,26.91,35.25,
03-Apr,37.78,25.53,24.21,41.23,36.65,31.15,26.51,34.46,7.93
04-Apr,41.90,29.69,23.88,39.84,35.58,30.36,26.06,33.93,
05-Apr,44.59,30.53,23.60,38.89,34.58,29.59,25.70,33.74,
06-Apr,47.78,29.81,23.41,39.33,33.68,28.87,25.36,33.22,
07-Apr,49.03,29.19,23.17,40.28,32.83,28.54,24.91,32.31,
08-Apr,47.01,28.60,22.88,41.12,32.01,28.25,24.49,31.59,
09-Apr,45.13,27.99,22.62,43.35,31.23,27.72,24.09,31.05,
10-Apr,43.44,27.71,22.33,45.19,31.40,27.41,23.71,30.55,9.81
11-Apr,42.25,27.53,22.04,44.57,31.70,27.22,23.35,30.18,
12-Apr,41.30,27.08,21.75,42.93,31.09,27.20,23.00,29.74,
13-Apr,40.74,26.60,21.48,41.42,30.35,26.98,22.73,29.12,
14-Apr,40.25,26.14,21.24,40.05,29.93,26.54,22.47,28.52,
15-Apr,39.33,25.99,21.01,38.78,30.50,26.14,22.17,28.06,
16-Apr,38.34,25.81,21.04,37.57,30.89,25.65,21.88,27.90,
17-Apr,37.26,25.81,21.27,37.39,33.11,25.18,21.60,27.67,5.42
18-Apr,36.18,26.06,21.34,38.42,37.17,24.74,21.33,27.38,
19-Apr,35.17,25.83,21.20,39.44,38.89,24.35,21.07,27.11,
20-Apr,34.21,25.44,20.96,39.67,38.90,24.61,20.82,26.82,
21-Apr,33.32,25.29,20.78,38.86,38.13,24.81,20.57,26.70,
22-Apr,32.49,25.05,20.64,37.67,36.92,24.51,20.34,26.41,
23-Apr,31.73,25.50,20.43,36.56,35.81,26.08,20.20,25.92,
24-Apr,31.03,26.20,20.21,35.51,34.78,28.49,20.10,25.89,3.88
25-Apr,30.32,26.23,20.33,34.53,33.81,28.85,19.93,25.86,
26-Apr,29.63,26.00,21.07,33.60,32.92,28.23,19.85,25.71,
27-Apr,28.97,25.63,21.48,32.72,32.81,27.65,19.76,26.35,
28-Apr,28.48,26.17,21.54,31.90,32.69,27.23,19.60,26.70,
29-Apr,28.79,26.72,21.94,31.65,32.52,26.83,19.46,26.23,
30-Apr,29.69,26.40,22.20,31.45,33.90,26.32,19.30,26.21,
01-May,31.86,25.95,22.12,30.80,34.61,25.82,19.15,26.93,3.08
02-May,33.14,25.55,21.88,30.49,33.70,25.35,19.02,30.51,
03-May,32.35,25.23,21.95,30.14,32.79,24.91,18.97,39.51,
04-May,31.60,24.85,22.07,29.66,32.43,24.48,18.90,44.67,
05-May,30.85,24.54,22.48,29.22,32.41,24.61,18.73,43.26,
06-May,30.14,24.26,23.24,29.28,32.09,25.57,19.43,42.30,
07-May,29.46,23.89,23.53,29.30,31.51,26.10,20.50,41.78,
08-May,28.86,24.23,23.52,28.69,30.85,25.75,20.65,40.72,3.19
09-May,28.29,24.73,23.61,28.10,30.15,25.29,20.63,39.55,
10-May,27.72,24.53,26.85,27.55,29.49,24.85,20.56,38.54,
11-May,27.19,24.24,29.71,27.02,28.91,24.42,20.33,37.42,
12-May,26.76,23.95,29.21,26.51,28.37,24.46,20.11,36.33,
13-May,26.99,23.57,28.54,26.06,27.80,26.06,19.91,35.98,
14-May,27.10,23.23,28.30,25.77,27.26,27.78,19.72,37.44,
15-May,26.59,22.90,30.19,25.47,26.74,27.78,19.54,38.77,2.04
16-May,26.83,22.58,32.09,25.04,26.26,27.19,19.77,38.22,
17-May,29.80,22.28,31.83,24.63,25.79,26.79,20.01,37.21,
18-May,32.03,21.98,31.09,24.25,25.39,27.11,19.85,36.24,
19-May,31.42,21.87,30.36,23.88,25.01,27.40,19.68,35.41,
20-May,31.22,21.85,29.64,23.54,24.61,27.37,19.50,35.88,
21-May,31.74,21.78,28.98,23.20,24.24,27.30,19.32,36.13,
22-May,32.07,21.65,28.36,22.89,23.88,26.96,19.14,36.86,2.30
23-May,31.72,21.43,27.78,22.58,23.54,26.62,19.31,38.50,
24-May,30.96,21.18,27.23,22.29,23.20,26.26,19.72,40.00,
25-May,30.22,20.95,26.71,22.01,22.88,25.92,19.77,40.69,
26-May,29.54,20.71,26.21,21.74,22.57,25.56,19.58,46.97,
27-May,28.90,20.48,25.94,21.49,22.27,25.14,19.39,54.08,
28-May,28.30,20.30,25.78,21.24,22.04,24.77,19.21,53.67,
29-May,27.73,20.14,25.72,21.01,22.18,24.50,19.55,51.74,1.30
