,1980,1985,1990,1995,2000,2005,2010,2015,2020,Observed
1,0.467083018,0.466036618,0.465712756,0.465942585,0.465938486,0.465831642,0.466241593,0.465807301,0.465144938,0.466320922
2,0.469302426,0.467209626,0.466561904,0.467021561,0.467013362,0.466799675,0.467619577,0.466750994,0.465426267,0.464863609
3,0.471521835,0.468382635,0.467411051,0.468100538,0.468088239,0.467767709,0.468997561,0.467694686,0.465707596,0.463479225
4,0.473741243,0.469555644,0.468260199,0.469179514,0.469163116,0.468735742,0.470375546,0.468638378,0.465988924,0.462180365
5,0.475960652,0.470728652,0.469109346,0.47025849,0.470237992,0.469703775,0.47175353,0.469582071,0.466270253,0.460978152
6,0.47818006,0.471901661,0.469958494,0.471337466,0.471312869,0.470671808,0.473131514,0.470525763,0.466551582,0.459882291
7,0.480399469,0.47307467,0.470807641,0.472416442,0.472387746,0.471639841,0.474509498,0.471469456,0.466832911,0.458901116
8,0.482618877,0.474247678,0.471656788,0.473495418,0.473462622,0.472607875,0.475887482,0.472413148,0.46711424,0.45804165
9,0.484838286,0.475420687,0.472505936,0.474574395,0.474537499,0.473575908,0.477265466,0.47335684,0.467395569,0.457309648
10,0.487057694,0.476593696,0.473355083,0.475653371,0.475612376,0.474543941,0.478643451,0.474300533,0.467676897,0.456709651
11,0.489277103,0.477766705,0.474204231,0.476732347,0.476687252,0.475511974,0.480021435,0.475244225,0.467958226,0.45624504
12,0.491496511,0.478939713,0.475053378,0.477811323,0.477762129,0.476480007,0.481399419,0.476187917,0.468239555,0.455918085
13,0.49371592,0.480112722,0.475902525,0.478890299,0.478837006,0.477448041,0.482777403,0.47713161,0.468520884,0.455729997
14,0.495935328,0.481285731,0.476751673,0.479969276,0.479911882,0.478416074,0.484155387,0.478075302,0.468802213,0.455680978
15,0.498154737,0.482458739,0.47760082,0.481048252,0.480986759,0.479384107,0.485533371,0.479018994,0.469083542,0.455770277
16,0.500374145,0.483631748,0.478449968,0.482127228,0.482061636,0.48035214,0.486911356,0.479962687,0.469364871,0.455996235
17,0.502593554,0.484804757,0.479299115,0.483206204,0.483136512,0.481320173,0.48828934,0.480906379,0.469646199,0.456356342
18,0.504812962,0.485977765,0.480148263,0.48428518,0.484211389,0.482288207,0.489667324,0.481850072,0.469927528,0.456847285
19,0.507032371,0.487150774,0.48099741,0.485364156,0.485286266,0.48325624,0.491045308,0.482793764,0.470208857,0.457465003
20,0.509251779,0.488323783,0.481846557,0.486443133,0.486361142,0.484224273,0.492423292,0.483737456,0.470490186,0.458204732
21,0.511471188,0.489496791,0.482695705,0.487522109,0.487436019,0.485192306,0.493801276,0.484681149,0.470771515,0.459061064
22,0.513690596,0.4906698,0.483544852,0.488601085,0.488510896,0.486160339,0.495179261,0.485624841,0.471052844,0.460027993
23,0.515910005,0.491842809,0.484394,0.489680061,0.489585772,0.487128373,0.496557245,0.486568533,0.471334173,0.461098971
24,0.518129413,0.493015817,0.485243147,0.490759037,0.490660649,0.488096406,0.497935229,0.487512226,0.471615501,0.462266954
25,0.520348822,0.494248781,0.486070772,0.491933071,0.491701705,0.489060596,0.499266581,0.488470266,0.47189683,0.463524458
26,0.522568231,0.495481745,0.486898397,0.493107104,0.492742761,0.490024786,0.500597933,0.489428307,0.472178159,0.464863609
27,0.524787639,0.496714709,0.487726022,0.494281138,0.493783816,0.490988976,0.501929286,0.490386348,0.472459488,0.466276193
28,0.527007048,0.497947673,0.488553647,0.495455172,0.494824872,0.491953165,0.503260638,0.491344388,0.472740817,0.467753709
29,0.529226456,0.499180637,0.489381272,0.496629205,0.495865928,0.492917355,0.50459199,0.492302429,0.473022146,0.469287421
30,0.531445865,0.500413601,0.490208897,0.497803239,0.496906983,0.493881545,0.505923342,0.49326047,0.473303474,0.470868407
31,0.533665273,0.501646566,0.491036522,0.498977272,0.497948039,0.494845735,0.507254695,0.49421851,0.473584803,0.472487615
32,0.535884682,0.50287953,0.491864147,0.500151306,0.498989095,0.495809925,0.508586047,0.495176551,0.473866132,0.474135909
33,0.53810409,0.504112494,0.492691772,0.501325339,0.500030151,0.496774115,0.509917399,0.496134592,0.474147461,0.475804122
34,0.540323499,0.505345458,0.493519397,0.502499373,0.501071206,0.497738305,0.511248751,0.497092632,0.47442879,0.477483112
