,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Jan,0.300493061,0.206814582,0.20195484,0.207805302,0.205010429,0.207690587,0.21415699,0.212925759,0.21611692,0.253464705
Jan,0.302861502,0.207231727,0.20225727,0.208240697,0.205378038,0.208139018,0.214489241,0.213520191,0.216742638,0.256350817
Jan,0.305229943,0.207648872,0.202559701,0.208676092,0.205745647,0.208587449,0.214821491,0.214114623,0.217368356,0.259055309
Jan,0.307598384,0.208066017,0.202862131,0.209111488,0.206113256,0.20903588,0.215512388,0.214709055,0.217994073,0.261568546
Jan,0.309966824,0.208483163,0.203164561,0.209546883,0.206480866,0.209484311,0.216203285,0.215303487,0.218619791,0.263882608
Jan,0.312311801,0.208968094,0.203474813,0.210000528,0.206843261,0.209906671,0.216993254,0.215853597,0.21924633,0.265991413
Jan,0.314656777,0.209453025,0.203785065,0.210454174,0.207205655,0.21032903,0.217783223,0.216403707,0.219872869,0.267890833
Jan,0.317001754,0.209937957,0.204095316,0.210907819,0.20756805,0.21075139,0.218573191,0.216953818,0.220499408,0.269578812
Jan,0.31934673,0.210422888,0.204405568,0.211361465,0.207930445,0.211173749,0.21936316,0.217503928,0.221125947,0.271055424
Jan,0.321691706,0.210907819,0.20471582,0.21181511,0.20829284,0.211596109,0.220153129,0.218054038,0.221752486,0.272322779
Jan,0.324036683,0.21139275,0.205026072,0.212268755,0.208655235,0.212018468,0.220943097,0.218604148,0.222379025,0.273384875
Jan,0.326381659,0.211877682,0.205336323,0.212722401,0.20901763,0.212440828,0.221733066,0.219154259,0.223005564,0.274247446
Jan,0.328726636,0.212362613,0.205646575,0.213176046,0.209380025,0.212863187,0.222523035,0.219704369,0.223632103,0.274917806
Jan,0.331071612,0.212847544,0.205956827,0.213629692,0.20974242,0.213285547,0.223313004,0.220254479,0.224258642,0.275404695
Jan,0.333416588,0.213332476,0.206267079,0.214083337,0.210104815,0.213707906,0.224102972,0.220804589,0.22488518,0.275718132
Jan,0.335761565,0.213817407,0.20657733,0.214536983,0.21046721,0.214130266,0.224892941,0.2213547,0.225511719,0.275869257
Jan,0.338106541,0.214302338,0.206887582,0.214990628,0.210829604,0.214552625,0.22568291,0.22190481,0.226138258,0.27587018
Jan,0.340451518,0.21478727,0.207197834,0.215444273,0.211191999,0.214974985,0.226472879,0.22245492,0.226764797,0.275733827
Jan,0.342796494,0.215272201,0.207508086,0.215897919,0.211554394,0.215397345,0.227262847,0.22300503,0.227391336,0.275473788
Jan,0.34514147,0.215757132,0.207818337,0.216351564,0.211916789,0.215819704,0.228052816,0.223555141,0.228017875,0.275104164
Jan,0.347486447,0.216242064,0.208128589,0.21680521,0.212279184,0.216242064,0.228842785,0.224105251,0.228644414,0.274639415
Jan,0.349831423,0.216726995,0.208438841,0.217258855,0.212641579,0.216664423,0.229632754,0.224655361,0.229270953,0.274094205
Jan,0.3521764,0.217211926,0.208749093,0.2177125,0.213003974,0.217086783,0.230422722,0.225205471,0.229897492,0.27348325
Jan,0.354521376,0.217696858,0.209059344,0.218166146,0.213366369,0.217509142,0.231212691,0.225755582,0.230524031,0.272821165
Jan,0.356866352,0.218181789,0.209369596,0.218619791,0.213728764,0.217931502,0.231644014,0.226305692,0.23115057,0.272122313
Jan,0.359211329,0.21866672,0.209679848,0.219073437,0.214091159,0.218353861,0.232075337,0.226855802,0.231777108,0.271400648
Jan,0.361556305,0.219151651,0.2099901,0.219527082,0.214453553,0.218776221,0.232506659,0.227405912,0.232403647,0.270669566
Jan,0.363901282,0.219636583,0.210300351,0.219980728,0.214815948,0.21919858,0.233296628,0.227956023,0.233030186,0.26994175
Jan,0.366246258,0.220121514,0.210610603,0.220434373,0.215178343,0.21962094,0.234086597,0.228506133,0.233656725,0.269229018
Jan,0.368241875,0.220642946,0.210978212,0.220898447,0.215545953,0.220019835,0.234853101,0.229064065,0.234283264,0.268542169
Jan,0.370237493,0.221164377,0.211345822,0.221362521,0.215913562,0.22041873,0.235619606,0.229621996,0.234909803,0.267890833
Jan,0.37223311,0.221685809,0.211713431,0.221826595,0.216281171,0.220817625,0.23638611,0.230179928,0.235536342,0.267283315
Jan,0.374228727,0.22220724,0.21208104,0.222290669,0.21664878,0.22121652,0.237152614,0.23073786,0.236162881,0.266726498
Jan,0.376224344,0.222728672,0.212448649,0.222754743,0.217016389,0.221615415,0.237919119,0.231295791,0.23678942,0.266225873
Jan,0.378219962,0.223250103,0.212816259,0.223218817,0.217383999,0.22201431,0.238685623,0.231853723,0.237415959,0.265785615
Jan,0.380215579,0.223771535,0.213183868,0.223682891,0.217751608,0.222413206,0.239452127,0.232411655,0.238042498,0.265408665
Jan,0.382211196,0.224292966,0.213551477,0.224146965,0.218119217,0.222812101,0.240218632,0.232969587,0.238669036,0.265096811
Jan,0.384206814,0.224814398,0.213919086,0.224611039,0.218486826,0.223210996,0.240985136,0.233527518,0.239295575,0.26485077
Jan,0.386202431,0.225335829,0.214286695,0.225075113,0.218854435,0.223609891,0.24175164,0.23408545,0.239922114,0.26467027
Jan,0.388198048,0.225857261,0.214654305,0.225539188,0.219222045,0.224008786,0.242518145,0.234643382,0.240548653,0.264554126
Jan,0.390193665,0.226378692,0.215021914,0.226003262,0.219589654,0.224407681,0.243284649,0.235201313,0.241175192,0.264500329
Jan,0.392189283,0.226900124,0.215389523,0.226467336,0.219957263,0.224806576,0.244051153,0.235759245,0.241801731,0.264506119
Jan,0.3941849,0.227421555,0.215757132,0.22693141,0.220324872,0.225205471,0.244817657,0.236317177,0.24242827,0.264568073
Jan,0.396180517,0.227942987,0.216124741,0.227395484,0.220692482,0.225604366,0.245584162,0.236875109,0.243054809,0.264682182
Jan,0.398176135,0.228464418,0.216492351,0.227859558,0.221060091,0.226003262,0.246350666,0.23743304,0.243681348,0.264843931
Jan,0.400171752,0.22898585,0.21685996,0.228323632,0.2214277,0.226402157,0.24711717,0.237990972,0.244307887,0.265048385
Jan,0.402167369,0.229507281,0.217227569,0.228787706,0.221795309,0.226801052,0.247883675,0.238548904,0.244934426,0.265290266
Jan,0.404162986,0.230028713,0.217595178,0.22925178,0.222162918,0.227199947,0.248650179,0.239106836,0.245560964,0.265564036
Jan,0.406158604,0.230550144,0.217962788,0.229715854,0.222530528,0.227598842,0.249058037,0.239664767,0.246187503,0.265863977
Jan,0.408154221,0.231071576,0.218330397,0.230179928,0.222898137,0.227997737,0.249465896,0.240222699,0.246814042,0.266184273
Jan,0.410149838,0.231593007,0.218698006,0.230644002,0.223265746,0.228396632,0.250223875,0.240780631,0.247440581,0.26651909
Jan,0.412145456,0.232114439,0.219065615,0.231108076,0.223633355,0.228795527,0.25099038,0.241338562,0.24806712,0.266862659
Jan,0.414141073,0.23263587,0.219433224,0.23157215,0.224000965,0.229194422,0.251756884,0.241896494,0.248693659,0.267209354
Jan,0.416029797,0.233261588,0.219866013,0.232033617,0.224373788,0.22957246,0.252463424,0.24245964,0.249320198,0.267553776
Jan,0.417918521,0.233887306,0.220298801,0.232495084,0.224746612,0.229950498,0.253169963,0.243022786,0.249946737,0.267890833
Jan,0.419807244,0.234513024,0.220731589,0.232956551,0.225119435,0.230328536,0.253876503,0.243585932,0.250573276,0.268215821
Jan,0.421695968,0.235138742,0.221164377,0.233418018,0.225492259,0.230706574,0.254583043,0.244149078,0.251199815,0.268524484
Jan,0.423584692,0.23576446,0.221597165,0.233879485,0.225865082,0.231084612,0.255289583,0.244712224,0.251826354,0.268813023
Jan,0.425473416,0.236390177,0.222029953,0.234340951,0.226237906,0.23146265,0.255996122,0.24527537,0.252452893,0.269078093
Jan,0.42736214,0.237015895,0.222462742,0.234802418,0.226610729,0.231840687,0.256702662,0.245838516,0.253079431,0.269316787
Jan,0.429250863,0.237641613,0.22289553,0.235263885,0.226983553,0.232218725,0.257409202,0.246401662,0.25370597,0.269526634
Jan,0.431139587,0.238267331,0.223328318,0.235725352,0.227356376,0.232596763,0.258115741,0.246964808,0.254332509,0.26970558
Jan,0.433028311,0.238893049,0.223761106,0.236186819,0.2277292,0.232974801,0.258822281,0.247527955,0.254959048,0.26985199
Jan,0.434917035,0.239518766,0.224193894,0.236648286,0.228102023,0.233352839,0.259528821,0.248091101,0.255585587,0.26996463
Jan,0.436805759,0.240144484,0.224626682,0.237109753,0.228474847,0.233730877,0.26023536,0.248654247,0.256212126,0.27004266
Jan,0.438694483,0.240770202,0.225059471,0.23757122,0.22884767,0.234108914,0.2609419,0.249217393,0.256838665,0.270085627
Jan,0.440583206,0.24139592,0.225492259,0.238032687,0.229220494,0.234486952,0.26164844,0.249780539,0.257465204,0.270093455
Jan,0.44247193,0.242021638,0.225925047,0.238494154,0.229593318,0.23486499,0.26235498,0.250343685,0.258091743,0.270066431
Jan,0.444360654,0.242647356,0.226357835,0.23895562,0.229966141,0.235243028,0.263061519,0.250906831,0.258718282,0.270005203
Jan,0.446249378,0.243273073,0.226790623,0.239417087,0.230338965,0.235621066,0.263768059,0.251469977,0.259344821,0.269910766
Jan,0.448138102,0.243898791,0.227223411,0.239878554,0.230711788,0.235999104,0.264474599,0.252033123,0.259971359,0.269784452
Jan,0.450026826,0.244524509,0.227656199,0.240340021,0.231084612,0.236377142,0.265181138,0.252596269,0.260597898,0.269627926
Jan,0.451915549,0.245150227,0.228088988,0.240801488,0.231457435,0.236755179,0.265887678,0.253159415,0.261224437,0.269443169
Jan,0.453804273,0.245775945,0.228521776,0.241262955,0.231830259,0.237133217,0.266594218,0.253722561,0.261850976,0.269232476
Jan,0.455692997,0.246401662,0.228954564,0.241724422,0.232203082,0.237511255,0.267300757,0.254285707,0.262477515,0.268998442
Jan,0.457581721,0.24702738,0.229387352,0.242185889,0.232575906,0.237889293,0.268007297,0.254848853,0.263104054,0.268743955
Jan,0.459470445,0.247653098,0.22982014,0.242647356,0.232948729,0.238267331,0.268713837,0.255411999,0.263730593,0.268472184
Jan,0.461145382,0.248364852,0.230276393,0.243103608,0.233326767,0.238663619,0.269381269,0.255980359,0.264357132,0.268186574
Jan,0.462820318,0.249076606,0.230732645,0.243559861,0.233704805,0.239059907,0.270048702,0.25654872,0.264983671,0.267890833
Jan,0.464495255,0.24978836,0.231188898,0.244016113,0.234082843,0.239456195,0.270716134,0.25711708,0.26561021,0.267588923
Jan,0.466170192,0.250500114,0.231645151,0.244472366,0.234460881,0.239852483,0.271383566,0.25768544,0.266236749,0.26728504
Jan,0.467845129,0.251211868,0.232101403,0.244928618,0.234838919,0.240248771,0.272050999,0.258253801,0.266863287,0.266983569
Jan,0.469520066,0.251923622,0.232557656,0.245384871,0.235216956,0.240645059,0.272718431,0.258822161,0.267489826,0.266689023
Jan,0.471195003,0.252635376,0.233013908,0.245841124,0.235594994,0.241041346,0.273385863,0.259390522,0.268116365,0.266405988
Jan,0.47286994,0.25334713,0.233470161,0.246297376,0.235973032,0.241437634,0.274053296,0.259958882,0.268742904,0.266139062
Jan,0.474544877,0.254058884,0.233926413,0.246753629,0.23635107,0.241833922,0.274720728,0.260527242,0.269369443,0.265892803
Jan,0.476219814,0.254770638,0.234382666,0.247209881,0.236729108,0.24223021,0.27538816,0.261095603,0.269995982,0.265671662
Jan,0.477894751,0.255482392,0.234838919,0.247666134,0.237107146,0.242626498,0.276055593,0.261663963,0.270622521,0.265479934
Jan,0.479569687,0.256194146,0.235295171,0.248122386,0.237485184,0.243022786,0.276723025,0.262232323,0.27124906,0.265321694
Jan,0.481244624,0.2569059,0.235751424,0.248578639,0.237863221,0.243419074,0.277390457,0.262800684,0.271875599,0.265200744
Jan,0.482919561,0.257617654,0.236207676,0.249034892,0.238241259,0.243815362,0.27805789,0.263369044,0.272502138,0.265120549
Jan,0.484594498,0.258329408,0.236663929,0.249491144,0.238619297,0.24421165,0.278725322,0.263937404,0.273128677,0.265084185
Jan,0.486269435,0.259041162,0.237120181,0.249947397,0.238997335,0.244607938,0.279392754,0.264505765,0.273755216,0.265094278
Jan,0.487944372,0.259752916,0.237576434,0.250403649,0.239375373,0.245004226,0.280060187,0.265074125,0.274381754,0.265152947
Jan,0.489619309,0.26046467,0.238032687,0.250859902,0.239753411,0.245400514,0.280727619,0.265642485,0.275008293,0.265261745
Jan,0.491294246,0.261176424,0.238488939,0.251316154,0.240131448,0.245796802,0.281395051,0.266210846,0.275634832,0.265421602
Jan,0.492969183,0.261888178,0.238945192,0.251772407,0.240509486,0.24619309,0.282062484,0.266779206,0.276261371,0.265632769
Jan,0.49464412,0.262599932,0.239401444,0.25222866,0.240887524,0.246589378,0.282729916,0.267347566,0.27688791,0.265894756
Jan,0.496319057,0.263311687,0.239857697,0.252684912,0.241265562,0.246985666,0.283397348,0.267915927,0.277514449,0.266206276
Jan,0.497993993,0.264023441,0.24031395,0.253141165,0.2416436,0.247381954,0.284064781,0.268484287,0.278140988,0.266565188
Jan,0.49966893,0.264735195,0.240770202,0.253597417,0.242021638,0.247778242,0.284732213,0.269052647,0.278767527,0.266968439
Jan,0.501336046,0.265551235,0.241208205,0.254027598,0.242399676,0.248166708,0.285365752,0.269660115,0.279394066,0.267412005
Jan,0.503003161,0.266367275,0.241646207,0.254457779,0.242777713,0.248555175,0.285999292,0.270267583,0.280020605,0.267890833
Jan,0.504670277,0.267183316,0.24208421,0.25488796,0.243155751,0.248943641,0.286632831,0.270875051,0.280647144,0.268398786
Jan,0.506337392,0.267999356,0.242522212,0.255318141,0.243533789,0.249332108,0.28726637,0.271482518,0.281273682,0.268928635
Jan,0.508004507,0.268815396,0.242960214,0.255748322,0.243911827,0.249720574,0.28789991,0.272089986,0.281900221,0.269472172
Jan,0.509671623,0.269631436,0.243398217,0.256178503,0.244289865,0.250109041,0.288533449,0.272697454,0.28252676,0.270020379
Jan,0.511338738,0.270447477,0.243836219,0.256608684,0.244667903,0.250497507,0.289166988,0.273304921,0.283153299,0.270563586
Jan,0.513005854,0.271263517,0.244274222,0.257038865,0.245045941,0.250885973,0.289800527,0.273912389,0.283779838,0.271091641
Jan,0.514672969,0.272079557,0.244712224,0.257469046,0.245423978,0.25127444,0.290434067,0.274519857,0.284406377,0.271594073
Jan,0.516340085,0.272895598,0.245150227,0.257899227,0.245802016,0.251662906,0.291067606,0.275127325,0.285032916,0.27206026
Jan,0.5180072,0.273711638,0.245588229,0.258329408,0.246180054,0.252051373,0.291701145,0.275734792,0.285659455,0.272479592
Jan,0.519674315,0.274527678,0.246026232,0.258759589,0.246558092,0.252439839,0.292334685,0.27634226,0.286285994,0.272841634
Jan,0.521341431,0.275343719,0.246464234,0.25918977,0.24693613,0.252828306,0.292968224,0.276949728,0.286912533,0.273136296
Jan,0.523008546,0.276159759,0.246902237,0.259619951,0.247314168,0.253216772,0.293601763,0.277557196,0.287539072,0.273353998
Jan,0.524675662,0.276975799,0.247340239,0.260050132,0.247692205,0.253605239,0.294235302,0.278164663,0.28816561,0.273485829
Jan,0.526342777,0.27779184,0.247778242,0.260480313,0.248070243,0.253993705,0.294868842,0.278772131,0.288792149,0.273523719
Jan,0.528009893,0.27860788,0.248216244,0.260910494,0.248448281,0.254382172,0.295502381,0.279379599,0.289418688,0.273460603
Jan,0.529677008,0.27942392,0.248654247,0.261340675,0.248826319,0.254770638,0.29613592,0.279987066,0.290045227,0.273290583
Jan,0.531344123,0.280239961,0.249092249,0.261770856,0.249204357,0.255159105,0.29676946,0.280594534,0.290671766,0.273009095
Jan,0.533011239,0.281056001,0.249530252,0.262201037,0.249582395,0.255547571,0.297402999,0.281202002,0.291298305,0.272613076
Jan,0.534678354,0.281872041,0.249968254,0.262631218,0.249960433,0.255936038,0.298036538,0.28180947,0.291924844,0.272101128
Jan,0.53634547,0.282688082,0.250406256,0.263061399,0.25033847,0.256324504,0.298670077,0.282416937,0.292551383,0.271473681
Jan,0.538012585,0.283504122,0.250844259,0.26349158,0.250716508,0.256712971,0.299303617,0.283024405,0.293177922,0.270733162
Jan,0.539679701,0.284320162,0.251282261,0.263921761,0.251094546,0.257101437,0.299937156,0.283631873,0.293804461,0.269884157
Jan,0.541208637,0.285086667,0.251720264,0.264331085,0.251493441,0.257487296,0.300552445,0.284286269,0.294431,0.26893358
Jan,0.542737573,0.285853171,0.252158266,0.264740409,0.251892336,0.257873156,0.301167734,0.284940666,0.295057539,0.267890833
Jan,0.544266509,0.286619675,0.252596269,0.265149733,0.252291231,0.258259015,0.301783024,0.285595062,0.295684077,0.266767973
Jan,0.545795445,0.28738618,0.253034271,0.265559056,0.252690127,0.258644874,0.302398313,0.286249459,0.296310616,0.265579764
Jan,0.547324381,0.288152684,0.253472274,0.26596838,0.253089022,0.259030734,0.303013602,0.286903855,0.296937155,0.264343477
Jan,0.548853317,0.288919188,0.253910276,0.266377704,0.253487917,0.259416593,0.303628891,0.287558252,0.297563694,0.263078577
Jan,0.550382253,0.289685693,0.254348279,0.266787028,0.253886812,0.259802452,0.30424418,0.288212649,0.298190233,0.261806413
Jan,0.551911189,0.290452197,0.254786281,0.267196351,0.254285707,0.260188312,0.30485947,0.288867045,0.298816772,0.260549902
Jan,0.553440125,0.291218701,0.255224284,0.267605675,0.254684602,0.260574171,0.305474759,0.289521442,0.299443311,0.25933322
Jan,0.554969061,0.291985206,0.255662286,0.268014999,0.255083497,0.26096003,0.306090048,0.290175838,0.30006985,0.258181485
Jan,0.556497998,0.29275171,0.256100289,0.268424323,0.255482392,0.26134589,0.306705337,0.290830235,0.300696389,0.257120447
Jan,0.558026934,0.293518214,0.256538291,0.268833646,0.255881287,0.261731749,0.307320626,0.291484631,0.301322928,0.256176174
Jan,0.55955587,0.294284719,0.256976294,0.26924297,0.256280183,0.262117608,0.307935915,0.292139028,0.301949467,0.255374739
Jan,0.561084806,0.295051223,0.257414296,0.269652294,0.256679078,0.262503468,0.308551205,0.292793424,0.302576005,0.254741908
Jan,0.562613742,0.295817727,0.257852299,0.270061617,0.257077973,0.262889327,0.309166494,0.293447821,0.303202544,0.254302825
Jan,0.564142678,0.296584232,0.258290301,0.270470941,0.257476868,0.263275186,0.309781783,0.294102217,0.303829083,0.254081702
Jan,0.565671614,0.297350736,0.258728303,0.270880265,0.257875763,0.263661046,0.310397072,0.294756614,0.304455622,0.254101504
Jan,0.56720055,0.29811724,0.259166306,0.271289589,0.258274658,0.264046905,0.311012361,0.295411011,0.305082161,0.254383636
Jan,0.568729486,0.298883744,0.259604308,0.271698912,0.258673553,0.264432764,0.311627651,0.296065407,0.3057087,0.254947631
Jan,0.570258422,0.299650249,0.260042311,0.272108236,0.259072448,0.264818624,0.31224294,0.296719804,0.306335239,0.255810838
Jan,0.571787358,0.300416753,0.260480313,0.27251756,0.259471343,0.265204483,0.312858229,0.2973742,0.306961778,0.256988106
Jan,0.573316294,0.301183257,0.260918316,0.272926884,0.259870239,0.265590342,0.313473518,0.298028597,0.307588317,0.258491475
Jan,0.57484523,0.301949762,0.261356318,0.273336207,0.260269134,0.265976202,0.314088807,0.298682993,0.308214856,0.26032986
Jan,0.576374167,0.302716266,0.261794321,0.273745531,0.260668029,0.266362061,0.314704097,0.29933739,0.308841395,0.26250874
Jan,0.57776753,0.303454092,0.262232323,0.274186141,0.261072138,0.266755742,0.315290707,0.300007429,0.309467933,0.265029842
Jan,0.579160894,0.304191917,0.262670326,0.27462675,0.261476248,0.267149422,0.315877317,0.300677469,0.310094472,0.267890833
Jan,0.580554258,0.304929743,0.263108328,0.27506736,0.261880357,0.267543103,0.316463928,0.301347508,0.310721011,0.271085009
Jan,0.581947622,0.305667569,0.263546331,0.27550797,0.262284466,0.267936784,0.317050538,0.302017548,0.31134755,0.274601143
Jan,0.583340986,0.306405394,0.263984333,0.275948579,0.262688576,0.268330465,0.317637149,0.302687587,0.311813358,0.278423713
Jan,0.58473435,0.30714322,0.264422336,0.276389189,0.263092685,0.268724146,0.318223759,0.303357627,0.312279167,0.282533292
Jan,0.586127714,0.307881045,0.264860338,0.276829799,0.263496795,0.269117826,0.31881037,0.304027666,0.312744975,0.286906931
Jan,0.587521078,0.308618871,0.265298341,0.277270408,0.263900904,0.269511507,0.31939698,0.30433906,0.313210783,0.291518558
Jan,0.588914441,0.309356696,0.265736343,0.277711018,0.264305014,0.269905188,0.319983591,0.304650453,0.313676591,0.296339359
Jan,0.590307805,0.310094522,0.266174346,0.278151627,0.264709123,0.270298869,0.320570201,0.304961847,0.3141424,0.301338174
Jan,0.591701169,0.310832348,0.266612348,0.278592237,0.265113232,0.27069255,0.321156812,0.30527324,0.314608208,0.306481887
Jan,0.593094533,0.311570173,0.26705035,0.279032847,0.265517342,0.27108623,0.321743422,0.305584634,0.315074016,0.311735811
Jan,0.594487897,0.312307999,0.267488353,0.279473456,0.265921451,0.271479911,0.322330032,0.305896027,0.315539824,0.317064087
Jan,0.595881261,0.313045824,0.267926355,0.279914066,0.266325561,0.271873592,0.322916643,0.306207421,0.316005633,0.322430064
Jan,0.597274625,0.31378365,0.268364358,0.280354676,0.26672967,0.272267273,0.323503253,0.306518814,0.316471441,0.327796697
Jan,0.598667989,0.314521476,0.26880236,0.280795285,0.26713378,0.272660954,0.324089864,0.306830208,0.316937249,0.333126933
Jan,0.600061353,0.315259301,0.269240363,0.281235895,0.267537889,0.273054634,0.324676474,0.307141601,0.317403057,0.338384103
Jan,0.601454716,0.315997127,0.269678365,0.281676504,0.267941998,0.273448315,0.325263085,0.307452995,0.317868866,0.343532312
