Scenario,region,id,r,fuel_class,fraction
Historical,CE,1999,18,GAS,0.4022
Historical,CE,1999,18,OIL,0
Historical,CE,1999,18,SUN,0.0518
Historical,CE,1999,18,WIN,0.005
Historical,CE,1999,18,WAT,0.5409
Historical,CE,2000,9,BIO,0
Historical,CE,2000,9,GAS,0.4642
Historical,CE,2000,9,OIL,0
Historical,CE,2000,9,SUN,0.0529
Historical,CE,2000,9,WIN,0.0051
Historical,CE,2000,9,WAT,0.4778
Historical,CE,2001,31,BIO,0
Historical,CE,2001,31,GAS,0.3234
Historical,CE,2001,31,OIL,0
Historical,CE,2001,31,SUN,0.051
Historical,CE,2001,31,WIN,0.005
Historical,CE,2001,31,WAT,0.6206
Historical,CE,2002,20,BIO,0
Historical,CE,2002,20,GAS,0.3886
Historical,CE,2002,20,OIL,0
Historical,CE,2002,20,SUN,0.0509
Historical,CE,2002,20,WIN,0.0049
Historical,CE,2002,20,WAT,0.5556
Historical,CE,2003,17,BIO,0
Historical,CE,2003,17,GAS,0.4037
Historical,CE,2003,17,OIL,0
Historical,CE,2003,17,SUN,0.0567
Historical,CE,2003,17,WIN,0.0055
Historical,CE,2003,17,WAT,0.5341
Historical,CE,2004,22,BIO,0
Historical,CE,2004,22,GAS,0.3698
Historical,CE,2004,22,OIL,0
Historical,CE,2004,22,SUN,0.0522
Historical,CE,2004,22,WIN,0.005
Historical,CE,2004,22,WAT,0.573
Historical,CE,2005,13,BIO,0
Historical,CE,2005,13,GAS,0.4312
Historical,CE,2005,13,OIL,0
Historical,CE,2005,13,SUN,0.0515
Historical,CE,2005,13,WIN,0.005
Historical,CE,2005,13,WAT,0.5123
Historical,CE,2006,28,BIO,0
Historical,CE,2006,28,GAS,0.3377
Historical,CE,2006,28,OIL,0
Historical,CE,2006,28,SUN,0.0526
Historical,CE,2006,28,WIN,0.0051
Historical,CE,2006,28,WAT,0.6046
Historical,CE,2007,24,BIO,0
Historical,CE,2007,24,GAS,0.36
Historical,CE,2007,24,OIL,0
Historical,CE,2007,24,SUN,0.0568
Historical,CE,2007,24,WIN,0.0055
Historical,CE,2007,24,WAT,0.5777
Historical,CE,2008,25,BIO,0
Historical,CE,2008,25,GAS,0.3542
Historical,CE,2008,25,OIL,0
Historical,CE,2008,25,SUN,0.0533
Historical,CE,2008,25,WIN,0.0052
Historical,CE,2008,25,WAT,0.5873
Historical,CE,2009,16,BIO,0
Historical,CE,2009,16,GAS,0.4083
Historical,CE,2009,16,OIL,0
Historical,CE,2009,16,SUN,0.0518
Historical,CE,2009,16,WIN,0.005
Historical,CE,2009,16,WAT,0.5349
Historical,CE,2010,12,BIO,0
Historical,CE,2010,12,GAS,0.443
Historical,CE,2010,12,OIL,0
Historical,CE,2010,12,SUN,0.0557
Historical,CE,2010,12,WIN,0.0054
Historical,CE,2010,12,WAT,0.4959
Historical,CE,2011,26,BIO,0
Historical,CE,2011,26,GAS,0.3534
Historical,CE,2011,26,OIL,0
Historical,CE,2011,26,SUN,0.0497
Historical,CE,2011,26,WIN,0.0049
Historical,CE,2011,26,WAT,0.592
Historical,CE,2012,19,BIO,0
Historical,CE,2012,19,GAS,0.3989
Historical,CE,2012,19,OIL,0
Historical,CE,2012,19,SUN,0.0515
Historical,CE,2012,19,WIN,0.005
Historical,CE,2012,19,WAT,0.5447
Historical,CE,2013,21,BIO,0
Historical,CE,2013,21,GAS,0.3867
Historical,CE,2013,21,OIL,0
Historical,CE,2013,21,SUN,0.054
Historical,CE,2013,21,WIN,0.0052
Historical,CE,2013,21,WAT,0.5541
Historical,CE,2014,23,BIO,0
Historical,CE,2014,23,GAS,0.3639
Historical,CE,2014,23,OIL,0
Historical,CE,2014,23,SUN,0.0542
Historical,CE,2014,23,WIN,0.0053
Historical,CE,2014,23,WAT,0.5766
Historical,CE,2015,30,BIO,0
Historical,CE,2015,30,GAS,0.3256
Historical,CE,2015,30,OIL,0
Historical,CE,2015,30,SUN,0.0552
Historical,CE,2015,30,WIN,0.0054
Historical,CE,2015,30,WAT,0.6138
Historical,NO,1980,27,BIO,0
Historical,NO,1980,27,GAS,0.0181
Historical,NO,1980,27,OIL,0.0001
Historical,NO,1980,27,SUN,0
Historical,NO,1980,27,WIN,0
Historical,NO,1980,27,WAT,0.9818
Historical,NO,1981,36,BIO,0
Historical,NO,1981,36,GAS,0.0111
Historical,NO,1981,36,OIL,0
Historical,NO,1981,36,SUN,0
Historical,NO,1981,36,WIN,0
Historical,NO,1981,36,WAT,0.9889
Historical,NO,1982,22,BIO,0
