,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - TIQUIMANI,YANACACHI
2002-04-20 23:00:00+00:00,0.8151975310572687,0.875433319111349,0.7234488627412369,0.6511884320766218,0.8111577432882011,0.7401970373134329,0.6482801720571428,0.24934145039795336,0.5170355050000001,1.4456515875416425
2002-04-21 00:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 01:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 02:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 03:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 04:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 05:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 06:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 07:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 08:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 09:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 10:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 11:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 12:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 13:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 14:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 15:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 16:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 17:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 18:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 19:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
2002-04-21 20:00:00+00:00,0.7927093233039648,0.8561148138115632,0.7072081739858213,0.6395600672181107,0.7924797689361702,0.723619276119403,0.6344280316285714,0.24401364162876635,0.50648376,1.4030184308044893
