,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - TIQUIMANI,YANACACHI
2019-12-31 23:00:00+00:00,1.152520647,1.240451393,1.026116244,0.924455006,1.150029564,1.048543396,0.917011696,0.352700941,0.733346277,1.59196083
2020-01-01 00:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 01:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 02:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 03:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 04:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 05:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 06:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 07:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 08:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 09:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 10:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 11:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 12:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 13:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 14:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 15:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 16:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 17:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 18:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 19:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 20:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 21:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
2020-01-01 22:00:00+00:00,1.602284802,1.722397262,1.423274905,1.284934317,1.595632666,1.456356321,1.274396919,0.490158407,1.018243393,1.844852964
