,2000,2002,2004,2005,2006,2008,Baseline
Jan ,403.3400075,403.34659,487.4800534,430.2951327,460.175473,486.4383203,365.7603813
Feb,428.2040357,410.9682949,454.0839591,440.2031354,461.8267757,457.5527494,347.7666684
Mar,497.4565927,494.5039063,476.1316076,473.139766,488.6264054,508.1960952,417.1722367
Apr,446.2688746,466.1842357,444.3583796,442.0028351,466.6612458,468.4797127,318.8438695
May,398.4515352,458.0078677,416.5012202,409.1767773,412.7598627,430.6456071,229.3705656
Jun,414.347382,425.3377925,391.0981392,372.8092369,373.9282086,389.3135253,244.9662044
Jul,399.2481075,449.4088474,416.2219094,365.8300964,365.6692626,377.2188697,253.573277
Aug,371.5195578,410.2817009,413.8197019,349.080518,353.3627429,363.2378666,237.371289
Sep,365.3595043,422.1819165,383.1771642,365.5144808,362.3581026,351.6884141,237.0778529
Oct,394.4555419,437.9683359,378.7063606,432.1349438,404.1444992,388.7984577,263.3770368
Nov,371.4015179,431.8257066,367.888146,434.6791669,442.1172023,375.6795798,182.9922288
Dec,456.4782066,465.6265713,422.5268637,459.9990488,482.5808168,436.8275562,264.816348
