,1980,1982,1984,1985,1986,1988,Baseline
Jan ,522.7250769,477.7179056,466.189708,444.3855665,438.6616297,424.7067206,365.7603813
Feb,476.0592923,429.1445866,484.9727478,424.7448875,435.1184094,420.3030333,347.7666684
Mar,502.3398885,504.7254643,516.2579423,478.182783,499.4482144,480.6603287,417.1722367
Apr,467.3950732,472.0426842,475.482295,463.6125234,459.1228365,475.633147,318.8438695
May,415.6884827,425.785936,467.9467904,453.0516099,425.0529665,473.1594019,229.3705656
Jun,387.5969569,385.591556,418.43536,413.5536094,384.2005865,416.0619552,244.9662044
Jul,392.182453,380.4105845,396.4978608,390.2807228,384.8699243,387.2124572,253.573277
Aug,391.375712,357.6378947,390.3564933,378.6878237,372.3865194,354.8763457,237.371289
Sep,429.6553592,351.6403172,355.1470866,402.8922869,385.7963864,356.730464,237.0778529
Oct,440.3254956,386.6565292,389.1405495,412.4700376,410.5259196,395.2220035,263.3770368
Nov,389.0758581,434.1165024,464.0733883,456.6912318,379.7405406,357.1146451,182.9922288
Dec,420.7479187,471.7445391,487.531931,502.247045,466.7793347,406.8367958,264.816348
