,Total
Jan ,885.8839317
Feb,785.7186978
Mar,842.5884067
Apr,617.4788816
May,643.0119033
Jun,689.0120785
Jul,722.0760119
Aug,736.9274573
Sep,788.2342238
Oct,903.4839395
Nov,870.0989634
Dec,873.457349
