,1980,1982,1984,1985,1986,1988,1990,1992,1994,1995,1996,1998,2000,2002,2004,2005,2006,2008,2010,2012,2014,2015,2020,2020_Agregado,CNDC,Total,,CNDC,TOTAL CNDC,,,,,,,,,,
Apr,76%,76%,77%,75%,74%,77%,62%,65%,72%,72%,71%,70%,72%,75%,72%,72%,76%,76%,70%,75%,73%,75%,52%,18%,23%,,,,,,,,,,,,,,
May,65%,66%,73%,70%,66%,74%,62%,59%,66%,62%,61%,63%,62%,71%,65%,64%,64%,67%,65%,71%,69%,73%,36%,12%,14%,,,,,,,,,,,,,,
Jun,56%,56%,61%,60%,56%,60%,65%,57%,56%,54%,55%,57%,60%,62%,57%,54%,54%,57%,59%,59%,61%,63%,36%,18%,9%,,,,,,,,,,,,,,
Jul,54%,53%,55%,54%,53%,54%,59%,59%,53%,52%,52%,55%,55%,62%,58%,51%,51%,52%,55%,55%,57%,60%,35%,18%,8%,,,,,,,,,,,,,,
Aug,53%,49%,53%,51%,51%,48%,53%,56%,49%,49%,50%,50%,50%,56%,56%,47%,48%,49%,50%,50%,53%,55%,32%,16%,6%,,,,,,,,,,,,,,
Sep,55%,45%,45%,51%,49%,45%,47%,53%,44%,44%,49%,45%,46%,54%,49%,46%,46%,45%,46%,43%,49%,49%,30%,14%,6%,,,,,,,,,,,,,,
Oct,49%,43%,43%,46%,45%,44%,45%,47%,43%,39%,46%,42%,44%,48%,42%,48%,45%,43%,44%,38%,42%,44%,29%,11%,8%,,,,,,,,,,,,,,
Nov,45%,50%,53%,52%,44%,41%,54%,46%,47%,39%,51%,50%,43%,50%,42%,50%,51%,43%,40%,38%,38%,52%,21%,12%,6%,,,,,,,,,,,,,,
Dec,48%,54%,56%,58%,53%,47%,57%,52%,51%,48%,55%,52%,52%,53%,48%,53%,55%,50%,46%,49%,47%,56%,30%,14%,16%,,,,,,,,,,,,,,
,45%,43%,43%,46%,44%,41%,45%,46%,43%,39%,45%,42%,43%,46%,42%,46%,45%,43%,40%,38%,38%,44%,21%,11%,6%,,,,,,,,,,,,,,
,76%,76%,77%,75%,74%,77%,65%,65%,72%,72%,71%,70%,72%,75%,72%,72%,76%,76%,70%,75%,73%,75%,52%,24%,23%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max:,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
