,Flexible Demand,Demand,PeakLoad,NetImports,LoadShedding,MaxLoadShedding,ShiftedLoad,Curtailment,MaxCurtailment
CE,0.060675751789829924,2.083200811450832,403.4819,-2.934269918215979,0.00021341559529592017,19.5865,0.036731233273839,0.0005991064520190209,45.37169123660145
NO,0.06360287740428014,2.1836987908802774,394.1192,0.6793559929765478,0.00023978967011532143,19.132,0.035975763488751554,0.00023021021418025156,1.97
OR,0.10482489014144424,3.5989878948562497,754.8664,1.6520084473520966,0.0002319357304935375,24.192424822361914,0.0610632388768727,,
SU,0.043481341250036845,1.4928593829179324,277.5438,0.6029054778873347,0.0001200190579739104,13.472999999999999,0.02450541206315455,0.00014085674957618023,37.422626412115974
