,Flexible Demand,Demand,PeakLoad,NetImports,LoadShedding,MaxLoadShedding,ShiftedLoad,Curtailment,MaxCurtailment
CE,0.060675751789829924,2.083200811450832,403.4819,-2.989131834250081,0.0002479444355157896,19.5865,0.03688306006790429,0.0061552280055105265,84.98416528630995
NO,0.06360287740428014,2.1836987908802774,394.1192,0.6197628685660331,0.0002270312552963167,19.132,0.036564514628392095,0.0003134446755113565,1.97
OR,0.10482489014144424,3.5989878948562497,754.8664,1.714830808893848,0.00013058851448518485,13.840909360612912,0.06149613767568499,,
SU,0.043481341250036845,1.4928593829179324,277.5438,0.6545381567901997,0.00019050889705997756,13.472999999999999,0.024801594880459264,0.002654674409048562,44.2625129298
