,[68] - VALLE DE ZONGO - BOTIJILACA,[31] - ANGOSTURA,[73] - VALLE DE ZONGO - HARCA,[71] - VALLE DE ZONGO - SAINANI,[34] - KANATA,[76] - CHOJLLA,[77] - YANACACHI,[119] - PUNUTUMA,[32] - CHOQUETANGA,[30] - MIGUILLA,[66] - SISTEMA ZONGO,[26] - SANTA ISABEL,[67] - VALLE DE ZONGO - TIQUIMANI,[74] - VALLE DE ZONGO - CAHUA,[117] - KILPANI,[69] - VALLE DE ZONGO - CUTICUCHO,[27] - SAN JOSE 1,[25] - CORANI,[78] - SISTEMA QUEHATA,[33] - CARABUCO,[72] - VALLE DE ZONGO - CHURURAQUI,[29] - MISICUNI,[75] - VALLE DE ZONGO - HUAJI,[118] - LANDARA,[28] - SAN JOSE 2,[120] - SAN JACINTO,[70] - VALLE DE ZONGO - SANTA ROSA,[8] - QOLLPANA I,[106] - ARJ13,[104] - ARJ11,[13] - BUL01,[20] - CCERI30-31-32,[98] - CCWAR40-41-42,[89] - UNA01,[83] - GCH09,[97] - CCWAR30-31-32,[94] - WAR03,[107] - ARJ14,[80] - GCH02,[95] - WAR04,[85] - GCH11,[105] - ARJ12,[86] - GCH12,[115] - UYUNI_COLCHAK,[114] - CCSUR40-41-42,[112] - SUR04,[22] - CCERI50-51-52,[84] - GCH10,[4] - VHE05,[9] - QOLLPANA II,[12] - CAR03,[23] - ORURO I,[5] - VHE06,[93] - WAR02,[7] - VHE08,[24] - ORURO II,[15] - BUL03,[14] - BUL02,[116] - YUNCHARA,[35] - ALT01,[113] - CCSUR30-31-32,[37] - SBU01,[92] - WAR01,[103] - ARJ09,[79] - GCH01,[99] - ARJ08,[96] - WAR05,[90] - GBE01,[108] - ARJ15,[6] - VHE07,[21] - CCERI40-41-42
01/01/2020 10:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,0,0,0.81330066,0,0,0,83.77333338,18.6075,0,0,18.6075,0,0,0,0,0,0,79.38690547,35.52898651,11.61600001,0,0,0,0,4.48555152,0,23.34244656,0,0,0,23.34244656,0,0,3.379543,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 11:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,0.980710842,0,0,0,83.77333338,18.6075,0,0,18.6075,0,0,0,0,0,0,79.38690547,31.22608589,11.61600001,0,0,0,0,5.465167056,0,23.97621628,0,0,0,23.97621628,0,0,3.20687,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 12:00,0,0,25.85,10.5,4.245566793,21.74633654,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,1.068177102,0,0,0,83.77333338,18.6075,0,0,18.6075,0,0,0,0,0,0,79.81,25.64505045,11.61600001,0,0,0,0,5.94738948,0,23.10290766,0,0,0,23.10290766,0,0,2.753136,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 13:00,0,0,25.85,10.5,4.245566793,21.74633654,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,1.06326729,0,0,0,83.77333338,18.6075,0,0,19.5869,0,0,0,0,0,0,79.81,23.25964341,11.61600001,0,0,0,0,5.920821816,0,21.79639641,0,0,0,21.79639641,0,0,2.248447,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 14:00,0,0,25.85,10.5,4.245566793,34.87989368,50.79,0.082370254,6.2,1.239825502,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,1.023832719,0,0,0,83.77333338,18.6075,0,0,22.8525,0,0,0,0,0,0,79.81,22.52171219,11.61600001,0,0,0,0,5.705306112,0,19.79583938,0,0,0,19.79583938,0,0,1.821245,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 15:00,0,0,25.85,10.5,4.245566793,37.59230454,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,0.996582534,0,0,0,83.77333338,18.6075,0,0,22.8525,0,0,0,0,0,0,79.81,19.58761002,11.61600001,0,0,0,0,5.554109424,0,16.09683372,0,0,0,16.09683372,0,0,1.40647,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 16:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,1.00587606,0,0,0,83.77333338,18.6075,0,0,22.8525,0,0,0,0,0,0,79.81,14.04529526,17.35809732,0,0,0,0,5.605886808,0,11.09102076,0,0,0,11.09102076,0,0,1.026677,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 17:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,0,0.924577062,0,0,0,83.77333338,18.6075,0,0,22.8525,0,0,0,0,0,0,79.81,7.327644324,46.51248651,0,0,0,0,5.1452604,0,5.694398652,0,0,0,5.694398652,0,0,0.546794,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 18:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,11.46293916,0.575955159,0,0,0,83.77333338,18.6075,0,57.14,45.39087148,0,0,0,0,0,0,79.81,1.694439747,46.51248651,0,0,0,0,2.973178584,0,1.276059161,0,0,0,1.276059161,0,0,0.109905,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 19:00,6.81,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,30.15,0.079971121,0,7.6,17.59,0.427244196,0,0,0,83.77333338,37.38230015,0,57.14,124.05,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,2.004584256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
