,[68] - VALLE DE ZONGO - BOTIJILACA,[31] - ANGOSTURA,[73] - VALLE DE ZONGO - HARCA,[34] - KANATA,[76] - CHOJLLA,[77] - YANACACHI,[30] - MIGUILLA,[119] - PUNUTUMA,[32] - CHOQUETANGA,[66] - SISTEMA ZONGO,[26] - SANTA ISABEL,[70] - VALLE DE ZONGO - SANTA ROSA,[67] - VALLE DE ZONGO - TIQUIMANI,[74] - VALLE DE ZONGO - CAHUA,[117] - KILPANI,[69] - VALLE DE ZONGO - CUTICUCHO,[27] - SAN JOSE 1,[25] - CORANI,[78] - SISTEMA QUEHATA,[33] - CARABUCO,[72] - VALLE DE ZONGO - CHURURAQUI,[29] - MISICUNI,[75] - VALLE DE ZONGO - HUAJI,[118] - LANDARA,[28] - SAN JOSE 2,[120] - SAN JACINTO,[71] - VALLE DE ZONGO - SAINANI
2020-01-03 14:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 15:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 16:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 17:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 18:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 19:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,4.912939163309993,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 20:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,4.912939163309993,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 21:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 22:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-03 23:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.7516285631999999,6.2,0.0,91.11,17.59,9.72,28.02,2.04326211549,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.7297364703,69.0,7.6,10.5
2020-01-04 00:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.6692583096,6.2,0.0,91.11,17.59,9.72,28.02,1.8193429847400002,22.97,55.0,65.24,0.6667453574,6.13,25.39,120.0,30.15,0.6497653493500001,69.0,7.6,10.5
2020-01-04 01:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.6692583096,6.2,0.0,91.11,17.59,9.72,28.02,1.8193429847400002,22.97,55.0,65.24,0.65563293412,6.13,25.39,120.0,30.15,0.6497653493500001,69.0,7.6,10.5
2020-01-04 02:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.6692583096,6.2,0.0,91.11,17.59,9.72,28.02,1.8193429847400002,22.97,55.0,65.24,0.64452051084,6.13,25.39,120.0,30.15,0.6497653493500001,69.0,7.6,10.5
2020-01-04 03:00:00,6.81,6.23,25.85,3.8101240496799997,38.4,50.79,2.55,0.6692583096,6.2,0.0,91.11,17.59,9.72,28.02,1.8193429847400002,22.97,55.0,65.24,0.63340808953,6.13,25.39,120.0,30.15,0.6497653493500001,69.0,7.6,10.5
