,Month,TOTAL,[31] - SISTEMA TAQUESI,[8] - SISTEMA MIGUILLA,[94] - KIL01_KIL02_KIL03,[27] - SISTEMA MISICUNI,[30] - SISTEMA ZONGO,[97] - SJA01_SJA02,[29] - SAN JOSE I_SAN JOSE II,[9] - KANATA,[25] - SISTEMA CORANI,[32] - SISTEMA QUEHATA,[95] - LAN01_LAND02_LAND03,[23] - CCERI40-41-42,[15] - BUL01,[79] - WAR03,[71] - GCH12,[35] - SBU01,[72] - SCZ01,[88] - ARJ09,[68] - GCH09,[102] - CCSUR30-31-32,[82] - CCWAR30-31-32,[6] - VHE07,[28] - ORURO II,[81] - WAR05,[75] - GBE01,[78] - WAR02,[24] - CCERI50-51-52,[33] - ALT01,[100] - SUR03,[101] - SUR04,[83] - CCWAR40-41-42,[69] - GCH10,[14] - CAR03,[10] - QOLLPANA I,[74] - UNA01,[77] - WAR01,[16] - BUL02,[90] - ARJ12,[96] - PUN01,[5] - VHE06,[26] - ORURO I,[65] - GCH02,[17] - BUL03,[7] - VHE08,[91] - ARJ13,[93] - ARJ15,[99] - SUR02,[4] - VHE05,[105] - YUNCHARA,[66] - GCH04,[92] - ARJ14,[89] - ARJ11,[11] - QOLLPANA II,[103] - CCSUR40-41-42,[84] - ARJ08,[22] - CCERI30-31-32,[104] - UYUNI_COLCHAK,[70] - GCH11
01/01/1900 00:00,1,42.8903393,0,0,4.842062394,0,8.594696087,0,26.55362077,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0,57.14,0,124.05,0,23.34244656,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.81330066,0,0,0,0,0.5662734,0,23.34244656,0,0,0,0,0,0,0,3.379543,0,0,0,4.48555152,77.44000004,0,83.77333338,35.52898651,0
01/01/1900 00:00,1,55.54797179,21.23169808,0,4.842062394,0,0,0,26.57425127,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0,57.14,0,124.05,0,23.97621628,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.980710842,0,0,0,0,0.5662734,0,23.97621628,0,0,0,0,0,0,0,3.20687,0,0,0,5.465167056,77.44000004,10.88373595,83.77333338,31.22608589,0
01/01/1900 00:00,1,67.0695698,32.73266559,0,4.842062394,0,0,0,26.59488177,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0,57.14,0,124.05,0,23.10290766,27.49491908,0,0,0,0,0,0,124.05,55.97,0,1.068177102,0,0,0,0.32,0.5662734,0,23.10290766,0,0,0,0,0.32,0,0,2.753136,0,0,0,5.94738948,77.44000004,10.88373595,83.77333338,25.64505045,0
01/01/1900 00:00,1,87.83896582,0,0,4.842062394,0,53.48143111,0,26.61551227,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,21.79639641,27.49491908,0,0,0,0,0,0,124.05,55.97,0,1.06326729,0,0,0,0.32,0.5662734,0,21.79639641,0,0,0,0.31,0.32,0,0,2.248447,0,0.302,0.298,5.920821816,77.44000004,10.88373595,83.77333338,23.25964341,0
01/01/1900 00:00,1,96.07726337,61.69909816,0,4.842062394,0,0,0,26.63614277,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,19.79583938,27.49491908,0,0,0,0,0,0,124.05,55.97,0,1.023832719,0,0,0,0.32,0.5662734,0,19.79583938,0,0,0,0.31,0.32,0,0,1.821245,0,0.302,0.298,5.705306112,77.44000004,10.88373595,83.77333338,22.52171219,0
01/01/1900 00:00,1,98.92549872,64.52670289,0,4.842062394,0,0,0,26.6567734,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,16.09683372,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.996582534,0,0,0,0.32,0.5662734,0,16.09683372,0,0,0,0.31,0.32,0,0,1.40647,0,0.302,0.298,5.554109424,77.44000004,10.88373595,83.77333338,19.58761002,0
01/01/1900 00:00,1,116.1468615,0,0,4.842062394,0,81.72743516,0,26.6774039,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,11.09102076,27.49491908,0,0,0,0,0,0,124.05,55.97,0,1.00587606,0,0,0,0.32,0.5662734,0,11.09102076,0,0,0,0.31,0.32,0,0,1.026677,0,0.302,0.298,5.605886808,77.44000004,10.88373595,83.77333338,14.04529526,0
01/01/1900 00:00,1,152.0887651,89.19,0,4.842062394,0,28.45870822,0,26.6980344,2.149914688,0,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,5.694398652,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.924577062,0,0,0,0.32,0.5662734,0,5.694398652,0,0,0,0.31,0.32,0,0,0.546794,0,0.302,0.298,5.1452604,77.44000004,10.88373595,83.77333338,7.327644324,0
01/01/1900 00:00,1,284.3882413,89.19,0,4.842062394,0,0,0,26.7186649,2.149914688,160.737554,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,1.276059161,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.575955159,0,0,0,0.32,0.5662734,0,1.276059161,0,0,0,0.31,0.32,0,0,0.109905,0,0.302,0.298,2.973178584,77.44000004,10.88373595,83.77333338,1.694439747,0
01/01/1900 00:00,1,447.3669097,0,0,4.842062394,0,132.5355919,0,26.7392954,2.149914688,280.35,0.666745357,0.083299999,125.66,0,0,79.81,0,0,0.298,57.14,0,124.05,0,0,27.49491908,0,0,0,0,0,0,124.05,55.97,0,0.427244196,0,0,0,0.32,0.5662734,0,0,0,0,0,0.31,0.32,0,0,0,0,0.302,0.298,2.004584256,77.44000004,10.88373595,83.77333338,0,0
