,OR,SU,NO,CE
2020-01-01 00:00:00,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,10.040999999999999,1.931952363819974,0.0,0.0
2020-01-01 02:00:00,-10.040999999999999,-1.931952363819974,0.0,0.0
2020-01-01 03:00:00,0.0,0.0,3.4200245771799267,5.64216
2020-01-01 04:00:00,0.0,0.0,-3.4200245771799267,-5.64216
2020-01-01 05:00:00,0.0,2.2617445081800724,6.095399999999999,0.0
2020-01-01 06:00:00,14.141100000000002,4.276799999999998,6.4910999999999985,7.160700000000001
2020-01-01 07:00:00,13.668000000000001,4.227899999999998,1.065003842359971,5.381099999999997
2020-01-01 08:00:00,7.845300000000002,4.2959999999999985,5.861399999999999,6.893160000000001
2020-01-01 09:00:00,2.4599999999999937,1.000755491819934,4.746296157640032,0.5851199999999999
2020-01-01 10:00:00,1.970400000000005,-0.2400000000000002,1.1616,0.6087600000000002
2020-01-01 11:00:00,2.974799999999995,-0.025145764780068802,0.7416000000000018,0.22380000000000067
2020-01-01 12:00:00,1.0320000000000036,-2.0727591075999356,-0.7344000000000008,0.8985599999999963
2020-01-01 13:00:00,1.9932000000000016,2.895904872380001,-0.09360000000000213,-0.06839999999999691
2020-01-01 14:00:00,1.167599999999993,-4.226699999999999,-4.24705928577235,-0.028800000000003934
2020-01-01 15:00:00,-0.7091999999999956,0.3971999999999998,-1.3470407142276493,-1.284046559668056
2020-01-01 16:00:00,-1.2276000000000025,3.9086999999999987,5.235299999999999,0.3245265596680582
2020-01-01 17:00:00,-1.5923999999999978,-0.032399999999999096,0.7607999999999997,1.6922399999999982
2020-01-01 18:00:00,3.7560000000000002,1.227599999999999,3.554400000000001,1.2412500000000009
2020-01-01 19:00:00,-13.059899999999999,-5.6334,-9.098700000000001,-8.175659999999999
2020-01-01 20:00:00,-9.308100000000003,-5.7006,-8.380255710999847,-7.97112
2020-01-01 21:00:00,-12.8745,-3.837944634349981,-4.544944289000153,-7.48119
2020-01-01 22:00:00,-12.236699999999999,-2.7236553656500178,-7.2669,0.0
2020-01-01 23:00:00,0.0,0.0,0.0,0.0
2020-01-02 00:00:00,0.0,0.0,0.0,0.0
2020-01-02 01:00:00,0.0,0.0,0.0,0.0
2020-01-02 02:00:00,12.4251,0.5913000000000039,1.5543000000000022,0.8121671950000291
2020-01-02 03:00:00,12.684000000000001,3.873599999999998,6.666299999999999,6.8256000000000006
2020-01-02 04:00:00,-5.228999999999999,3.9083999999999985,6.520199999999998,6.1575828049999695
2020-01-02 05:00:00,13.6131,4.121399999999998,6.235199999999999,6.642450000000001
2020-01-02 06:00:00,2.9447999999999936,3.968099999999999,3.015599999999999,0.5838000000000001
2020-01-02 07:00:00,7.016400000000004,0.4800000000000004,2.4503999999999984,2.4503999999999984
2020-01-02 08:00:00,8.602500000000001,0.8520000000000003,3.157200000000003,3.834000000000003
2020-01-02 09:00:00,5.6631,1.4556000000000004,1.5672000000000033,-7.0623
2020-01-02 10:00:00,-5.521497762200056,-2.564999999999994,-8.1033,-7.1895
2020-01-02 11:00:00,-15.7941,-5.1114,-8.217600000000001,-7.188899999999999
2020-01-02 12:00:00,6.292200000000001,3.2288999999999985,3.6827999999999994,2.3052592449999567
2020-01-02 13:00:00,5.323500000000003,3.037799999999999,0.16380000000000194,4.419600000000001
2020-01-02 14:00:00,4.520699999999998,2.8988999999999985,3.3248999999999995,4.272900000000001
2020-01-02 15:00:00,-3.704402237799961,-4.0373999999999945,3.2807999999999993,4.01664075500004
2020-01-02 16:00:00,5.446200000000001,3.126599999999998,3.4754999999999985,4.397400000000001
2020-01-02 17:00:00,6.7326000000000015,2.4650999999999987,3.428699999999999,4.346100000000001
2020-01-02 18:00:00,-12.241799999999998,-3.3039000000000023,-2.227499999999999,-1.7403000000000013
2020-01-02 19:00:00,-16.434299999999997,-6.3975,-10.361699999999999,-9.7221
2020-01-02 20:00:00,-16.3389,-6.3879,-10.2393,-9.4896
2020-01-02 21:00:00,-16.0002,-6.204599999999999,-9.3735,-8.6712
2020-01-02 22:00:00,0.0,0.0,0.0,0.0
2020-01-02 23:00:00,0.0,0.0,0.0,0.0
2020-01-03 00:00:00,0.0,0.6288000000000089,0.0,0.0
2020-01-03 01:00:00,0.0,3.029399999999999,0.0,4.2178370085000125
2020-01-03 02:00:00,10.4868,3.1541999999999986,3.7500000000000018,-2.206337008500019
2020-01-03 03:00:00,5.914875772999949,3.133799999999998,6.354899999999999,5.734800000000002
2020-01-03 04:00:00,5.794056959000017,3.0635999999999983,6.230399999999999,5.745900000000002
2020-01-03 05:00:00,12.0546,3.287399999999999,5.916299999999999,5.789400000000001
2020-01-03 06:00:00,7.672867268000033,3.2075999999999985,3.3816000000000024,5.545200000000001
2020-01-03 07:00:00,6.446399999999997,0.5676000000000023,3.5339999999999954,2.4456000000000024
2020-01-03 08:00:00,7.670400000000001,1.227599999999999,2.8884000000000007,2.271599999999996
2020-01-03 09:00:00,4.946400000000004,-2.4497999999999998,-5.226587591466426,0.33000000000000185
2020-01-03 10:00:00,-14.11193225389286,2.6969999999999983,-3.0018124085335742,-1.6746900000000018
2020-01-03 11:00:00,2.8484817953529245,-5.549400000000002,3.0359999999999996,-7.4064
2020-01-03 12:00:00,6.051900000000002,2.8538999999999985,3.3621,4.735290000000001
2020-01-03 13:00:00,4.886400000000002,2.696699999999999,3.138299999999999,4.29588
2020-01-03 14:00:00,2.92196535100004,0.867600000000003,-1.5722999999999985,-7.74324
2020-01-03 15:00:00,-11.39401489246012,-2.061628477979909,2.825099999999999,4.314990000000001
2020-01-03 16:00:00,4.820399999999999,-0.10917152202009106,-4.409099999999995,-1.2997800000000055
2020-01-03 17:00:00,6.187200000000001,2.4179999999999984,3.141899999999998,4.382310000000001
2020-01-03 18:00:00,1.5576000000000079,-2.9091000000000022,-0.8150656988800904,-0.4102800000000002
2020-01-03 19:00:00,-16.818,-6.725999999999999,-10.7325,-9.97758
2020-01-03 20:00:00,-16.6341,-6.6972,-10.549199999999999,-9.7896
2020-01-03 21:00:00,-16.2252,-6.3309,-9.594,-9.300899999999999
2020-01-03 22:00:00,-15.077100000000005,0.0,-1.6584343011199127,0.0
2020-01-03 23:00:00,0.0,0.0,0.0,0.0
2020-01-04 00:00:00,0.0,0.0,0.0,0.0
2020-01-04 01:00:00,0.0,0.0,0.0,0.0
2020-01-04 02:00:00,5.157612484869929,3.104099999999998,0.0,5.512800000000001
2020-01-04 03:00:00,2.763287515130063,3.210899999999998,5.958900000000002,5.5752000000000015
2020-01-04 04:00:00,10.612200000000001,3.134999999999998,6.103199999999999,5.680500000000001
2020-01-04 05:00:00,11.907,3.5195999999999987,6.041699999999999,5.796000000000001
2020-01-04 06:00:00,11.501100000000001,3.426899999999999,5.562599999999999,0.5102999999999973
2020-01-04 07:00:00,6.030000000000001,2.719500000000007,3.6911999999999985,2.000399999999999
