,OR,SU,NO,CE
2020-01-01 00:00:00,0.0,2.651399999999998,0.0,4.500000000000002
2020-01-01 01:00:00,7.1439,0.8346888643484638,0.3450300000000013,5.180880000000001
2020-01-01 02:00:00,11.945400000000001,3.3104999999999984,5.4332699999999985,5.769900000000001
2020-01-01 03:00:00,-9.6846,3.435299999999999,-5.7783,-5.678159999999999
2020-01-01 04:00:00,-9.4047,-4.5908999999999995,0.0,-4.838490000000004
2020-01-01 05:00:00,1.4223956282967691,-3.9825,0.29850000000000243,-4.93413
2020-01-01 06:00:00,14.141100000000002,4.276799999999998,6.4910999999999985,7.160700000000001
2020-01-01 07:00:00,12.564864385851621,4.227899999999998,6.193799999999999,5.381099999999997
2020-01-01 08:00:00,7.526039985851611,4.2959999999999985,5.861399999999999,6.893160000000001
2020-01-01 09:00:00,-7.534800000000001,1.6040111356515467,5.414399999999999,-5.00502
2020-01-01 10:00:00,11.9652,-0.2400000000000002,1.1616,1.7139299999999889
2020-01-01 11:00:00,2.974799999999995,1.1519999999999992,-6.5406,-5.213159999999999
2020-01-01 12:00:00,1.0320000000000036,-0.4896000000000029,-3.8462999999999887,-5.437799999999999
2020-01-01 13:00:00,-9.3138,0.13560000000000016,-6.3336,6.331200000000001
2020-01-01 14:00:00,-11.813099999999999,-3.498599999999998,5.235899999999998,-5.413499999999999
2020-01-01 15:00:00,-11.6358,-4.280099999999999,5.290499999999999,-5.371529999999999
2020-01-01 16:00:00,-11.328899999999999,3.9086999999999987,5.235299999999999,6.578280000000001
2020-01-01 17:00:00,11.0556,3.9167999999999985,-6.4341,6.155220000000001
2020-01-01 18:00:00,6.017699999999996,1.227599999999999,4.1564999999999985,4.993500000000001
2020-01-01 19:00:00,-13.059899999999999,2.4503999999999984,2.380499999999998,-8.175659999999999
2020-01-01 20:00:00,8.8611,-5.7006,-9.065999999999999,3.780780000000001
2020-01-01 21:00:00,-12.8745,2.5214999999999987,3.1556999999999995,4.270710000000001
2020-01-01 22:00:00,9.7497,-5.2128,-7.2669,-6.76371
2020-01-01 23:00:00,9.9285,-4.8399,-5.9634,-6.1899
