,OR -> CE,SU -> CE,NO -> CE,CE -> OR,CE -> NO,CE -> SU
2020-01-01 00:00:00,47.94691908405153,0.0,0.0,0.0,177.12857708960254,106.23216416825002
2020-01-01 01:00:00,57.025519084051496,0.0,18.398230144366963,0.0,0.0,87.44105303259846
2020-01-01 02:00:00,72.9785190840516,0.0,0.0,0.0,24.30345464260001,84.26216416825004
2020-01-01 03:00:00,106.84491908405161,0.0,0.0,0.0,102.75325464260001,80.10216416825001
2020-01-01 04:00:00,116.17491908405157,0.0,0.0,0.0,96.41699156098156,70.09836416825001
2020-01-01 05:00:00,148.56662345575484,0.0,0.0,0.0,173.1625174626848,49.81700416825
2020-01-01 06:00:00,146.16851908405158,0.0,0.0,0.0,171.62213916330998,50.6342354187216
2020-01-01 07:00:00,131.50165469819999,0.0,0.0,0.0,181.53213916331,36.01441704326999
2020-01-01 08:00:00,116.10527909819997,0.0,0.0,0.0,192.61213916330996,22.929827219269995
2020-01-01 09:00:00,110.05111908405158,0.0,0.0,0.0,207.51213916330997,21.13656558792158
2020-01-01 10:00:00,112.48851908405152,0.0,0.0,0.0,210.0953585556015,13.735634655230037
2020-01-01 11:00:00,95.94521908405156,0.0,0.0,0.0,196.12155656311006,18.607472322921538
2020-01-01 12:00:00,89.03001908405159,0.0,0.0,0.0,181.01128905353005,18.15824176290153
2020-01-01 13:00:00,82.26751908405149,0.0,0.0,0.0,156.97182353350993,21.629437806921537
2020-01-01 14:00:00,74.74491908405153,0.0,0.0,0.0,157.22335648169002,21.611771020941518
2020-01-01 15:00:00,80.65491908405156,0.0,0.0,0.0,152.57575175529,26.012548191941534
2020-01-01 16:00:00,90.88491908405162,0.0,0.0,0.0,137.2150194825101,36.5184559499215
2020-01-01 17:00:00,82.16851908405161,0.0,0.0,0.0,96.15454641931007,43.44598988992154
2020-01-01 18:00:00,54.96741908405157,0.0,0.0,0.0,165.7124546426,57.36378346692152
2020-01-01 19:00:00,33.18491908405159,0.0,0.0,0.0,181.56686278131002,100.20042821392154
2020-01-01 20:00:00,9.018519084051576,0.0,0.0,0.0,113.49325464259996,94.35662821392157
2020-01-01 21:00:00,39.3649190840516,0.0,0.0,0.0,199.0724546426,97.83042821392154
2020-01-01 22:00:00,38.638519084051566,0.0,23.679875489689955,0.0,0.0,78.09662821392152
2020-01-01 23:00:00,44.59851908405151,0.0,0.0,0.0,108.9232546426,65.66662821392156
2020-01-02 00:00:00,117.39341908405157,0.0,0.0,0.0,174.68293916330998,60.331328213921566
2020-01-02 01:00:00,137.89491908405154,0.0,0.0,0.0,144.54090528031003,48.81662821392151
2020-01-02 02:00:00,132.45828646105167,0.0,0.0,0.0,163.53453916330997,53.72782821392154
2020-01-02 03:00:00,154.9169890200516,0.0,0.0,0.0,165.78213916331,52.76042821392156
2020-01-02 04:00:00,154.7898817710515,0.0,0.0,0.0,169.74073916331,51.60042821392154
2020-01-02 05:00:00,167.41851908405158,0.0,0.0,0.0,180.15213916330998,44.500428213921566
2020-01-02 06:00:00,182.02851908405162,0.0,0.0,0.0,202.04413916330998,35.38485388452165
2020-01-02 07:00:00,131.455074430227,0.0,0.0,0.0,213.5380698003538,19.05528578023002
2020-01-02 08:00:00,39.54851908405157,0.0,0.0,0.0,132.2793980209584,8.95718276024998
2020-01-02 09:00:00,4.678519084051544,0.0,0.0,0.0,171.27951547929004,18.94562083826998
2020-01-02 10:00:00,0.0,0.0,0.0,23.022836262123775,69.52517824240306,15.27374304023002
2020-01-02 11:00:00,0.0,0.0,0.0,40.79148091594838,185.47951547929,22.589955004229992
2020-01-02 12:00:00,0.0,0.0,0.0,15.47508091594841,101.05993543453846,6.910145643270001
2020-01-02 13:00:00,0.0,0.0,0.0,69.75148091594835,178.01951547929,24.784715624249976
2020-01-02 14:00:00,0.0,0.0,0.0,74.5250809159484,183.36951547928996,27.833065349230022
2020-01-02 15:00:00,0.0,0.0,0.0,91.11148091594839,221.30877449573853,45.822075683270015
2020-01-02 16:00:00,0.0,0.0,0.0,65.66148091594843,178.34951547929,47.217654833270025
2020-01-02 17:00:00,0.0,0.0,8.130484520709965,22.781480915948393,0.0,71.38068459120154
2020-01-02 18:00:00,0.0,0.0,0.0,6.835080915948339,188.2557712315785,85.19053992623002
2020-01-02 19:00:00,0.0,0.0,0.0,62.13148091594835,64.52776426135847,112.20216416825004
2020-01-02 20:00:00,0.0,0.0,0.0,36.96508091594837,94.15595469635844,103.79836416825003
2020-01-02 21:00:00,0.0,0.0,0.0,47.66148091594838,113.68031547928997,104.88649021731848
2020-01-02 22:00:00,0.0,0.0,7.300484520709979,0.6550809159484317,0.0,91.05216416825002
2020-01-02 23:00:00,14.408519084051612,0.0,12.57404567564155,0.0,0.0,70.62836416825002
2020-01-03 00:00:00,77.28491908405152,0.0,0.0,0.0,93.13031547929,69.13216416825003
2020-01-03 01:00:00,84.98851908405162,0.0,0.0,0.0,91.80228402535846,67.43216416825
2020-01-03 02:00:00,124.34491908405155,0.0,0.0,0.0,128.23424050835837,63.27216416825002
2020-01-03 03:00:00,126.91511908405155,0.0,0.0,0.0,148.3239334593584,60.89996416825001
2020-01-03 04:00:00,122.07851908405155,0.0,0.0,0.0,133.4566451453584,59.32676416825
2020-01-03 05:00:00,165.23011908405155,0.0,0.0,0.0,181.17951547929002,58.827880168250026
2020-01-03 06:00:00,136.31851908405156,0.0,0.0,0.0,167.9837251721584,45.13593267425002
2020-01-03 07:00:00,82.59851908405156,0.0,0.0,0.0,97.26956117133835,40.53427318027003
