,Flexible Demand,Demand,PeakLoad,NetImports,LoadShedding,MaxLoadShedding,ShiftedLoad,Curtailment,MaxCurtailment
CE,0.060675751789829924,2.083200811450832,403.4819,-1.2504921850036763,5.0323530380421716e-05,18.073152169889227,0.03940460928335309,,
NO,0.06360287740428014,2.1836987908802774,394.1192,1.5904028490001556,4.385287299730504e-05,19.132,0.037683257712535626,,
OR,0.10482489014144424,3.5989878948562497,754.8664,0.11017868277708791,0.0001445587322176191,31.93477772741292,0.06745272579123938,,
SU,0.04348134125003685,1.4928593829179324,277.5438,-0.45008934677356716,6.302104614576487e-05,13.472999999999999,0.02641482099287113,,
