,[67] - VALLE DE ZONGO - TIQUIMANI,[32] - CHOQUETANGA,[33] - CARABUCO,[28] - SAN JOSE 2,[29] - MISICUNI,[31] - ANGOSTURA,[76] - CHOJLLA,[71] - VALLE DE ZONGO - SAINANI,[25] - CORANI,[26] - SANTA ISABEL,[66] - SISTEMA ZONGO,[70] - VALLE DE ZONGO - SANTA ROSA,[30] - MIGUILLA,[69] - VALLE DE ZONGO - CUTICUCHO,[68] - VALLE DE ZONGO - BOTIJILACA,[77] - YANACACHI,[72] - VALLE DE ZONGO - CHURURAQUI,[27] - SAN JOSE 1,[75] - VALLE DE ZONGO - HUAJI,[120] - SAN JACINTO,[74] - VALLE DE ZONGO - CAHUA,[73] - VALLE DE ZONGO - HARCA
2020-01-01 00:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 01:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 02:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 03:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 04:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 05:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 06:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 07:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 08:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 09:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 10:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 11:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 12:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
2020-01-01 13:00:00,10.427206973125108,0.0,6.493622731396402,400.0,0.0,400.0,7.756556532481411,0.0,0.0,0.0,400.0,7.756556532481411,7.75655653248141,0.0,7.75655653248141,0.0,0.0,7.75655653248141,5.84023080092718,8.669092595126282,0.0,0.0
