,[27] - SISTEMA MISICUNI,[25] - SISTEMA CORANI,[31] - SISTEMA TAQUESI,[97] - SJA01_SJA02,[30] - SISTEMA ZONGO,[8] - SISTEMA MIGUILLA
2020-01-01 00:00:00,0.503221807974774,0.24828396487115126,0.39642592236663005,0.4006337518088205,0.46761347329662756,0.22284830964187405
2020-01-01 01:00:00,0.5032870802637267,0.24890137246179606,0.39444520065530697,0.40100515143244364,0.46645959612114896,0.2232486401707539
2020-01-01 02:00:00,0.5033525248672106,0.2495063491880199,0.398679147528743,0.40137565187086943,0.46489483794547015,0.2236478725866396
2020-01-01 03:00:00,0.5034181417848732,0.2500651954487947,0.39668722966742276,0.40174525312409787,0.4660962089771339,0.22404600688953114
2020-01-01 04:00:00,0.5034839310170672,0.25068260303943946,0.40090998039086173,0.40211395519339893,0.46588849273764327,0.22444304307942842
2020-01-01 05:00:00,0.50354989256344,0.2513000106300843,0.40512713303634745,0.40248175807750264,0.4669247873420552,0.22483898115583145
2020-01-01 06:00:00,0.503616026424344,0.25191741822072905,0.4093386876097893,0.402848661776409,0.4680478085102047,0.22523382111924026
2020-01-01 07:00:00,0.5036823325994267,0.2525348258113739,0.41354464410527797,0.40321466629011804,0.46917148108568146,0.2256275629696549
2020-01-01 08:00:00,0.5037488110890409,0.25315223340201864,0.4173641905673089,0.4035797716186297,0.4703761091618631,0.22602020670707534
2020-01-01 09:00:00,0.5038154618928335,0.25376964099266347,0.4211781389572959,0.4039439777632139,0.4715813886479992,0.2264117523315016
2020-01-01 10:00:00,0.5038822850111577,0.25438704858330824,0.4253673012248343,0.40430728472260086,0.47266091855917225,0.22680219984243358
2020-01-01 11:00:00,0.5039492804436604,0.25500445617395306,0.4280701296469106,0.4046696924967904,0.4738675008625901,0.22719154924037135
2020-01-01 12:00:00,0.5040164481906946,0.25562186376459783,0.42996526239353616,0.40503120108578267,0.4750747345759625,0.22757980052531496
2020-01-01 13:00:00,0.5040837882522602,0.25623927135524266,0.4341376304390336,0.40539181048957756,0.4754960758240248,0.22796695369726436
2020-01-01 14:00:00,0.5041513006280044,0.25685667894588743,0.4340013973451905,0.40575152070944503,0.47670461235467887,0.22835300875621958
2020-01-01 15:00:00,0.5042189853182801,0.25747408653653225,0.4336623640722816,0.4061103317441152,0.47791380029528746,0.22873796570218058
2020-01-01 16:00:00,0.5042868423227344,0.258091494127177,0.4378179378898287,0.40646824359358796,0.4779216857670336,0.22912182453464733
2020-01-01 17:00:00,0.50435487164172,0.2587089017178218,0.43574764697261953,0.4068252562578634,0.478713638313693,0.2295045852541199
2020-01-01 18:00:00,0.5044230732748842,0.25895369017282854,0.43367175798336643,0.4071813697369415,0.47992478048153775,0.22988624786059825
2020-01-01 19:00:00,0.50449144722258,0.2589211950364788,0.43781053757296323,0.40753658403209225,0.4791873917754818,0.23026681235408242
2020-01-01 20:00:00,0.5045599934844542,0.2589949948303047,0.44194371909051616,0.4078908991420456,0.47763435896584727,0.2306462787345724
2020-01-01 21:00:00,0.50462871206086,0.25897114239331576,0.4398510358733128,0.4082443150668016,0.4788474553609282,0.23102464700156808
2020-01-01 22:00:00,0.5046976029514444,0.2595885499839605,0.43775275458406554,0.4085968318063603,0.47747201457554905,0.2314019171555696
2020-01-01 23:00:00,0.5047666661565602,0.25998381418438343,0.43564887521686513,0.4089484493607216,0.4786864137905389,0.2317780891965769
2020-01-02 00:00:00,0.5048359016762074,0.2604458741498915,0.43937885247300995,0.40929916773115554,0.4799014644154832,0.23215316312459
2020-01-02 01:00:00,0.5049053095100332,0.26106328174053633,0.4414028905652006,0.4096489869163921,0.48111716644775476,0.23252713893960894
2020-01-02 02:00:00,0.5049748896583903,0.2616382332922631,0.4451216716713484,0.40999790691643134,0.48233351988998074,0.2329000166416337
2020-01-02 03:00:00,0.5050446421209261,0.26225564088290787,0.44883485470545226,0.41034592773127326,0.48355052474216126,0.23327179623016414
2020-01-02 04:00:00,0.5051145668979934,0.2628730484735527,0.45254243966160296,0.41069304936091783,0.4847681810042962,0.23364247770570043
2020-01-02 05:00:00,0.5051846639892393,0.26349045606419746,0.45624442654570974,0.411039271806635,0.4859864886737584,0.2340120610682425
2020-01-02 06:00:00,0.5052549333950166,0.2641078636548423,0.4603216273073679,0.41138459506715486,0.48720544775317504,0.23438054631779037
2020-01-02 07:00:00,0.5053253751149726,0.26472527124548706,0.46410013012800483,0.4117290191424773,0.4884250582425461,0.23474793345434408
2020-01-02 08:00:00,0.5053959891494598,0.2653426788361319,0.4681661347396659,0.4120725440326024,0.48812094069386097,0.23511422247740346
2020-01-02 09:00:00,0.5054667754981258,0.26578921231267466,0.4660062746165707,0.4124151697375302,0.4893418540005138,0.2354794133874687
2020-01-02 10:00:00,0.5055377341613231,0.26640661990331943,0.46384081642143155,0.41275689625853057,0.4890829507209519,0.23584350618453973
2020-01-02 11:00:00,0.5056088651386991,0.2667113162465201,0.4616697601483392,0.4130977235943336,0.49030516684751363,0.23620650086861655
2020-01-02 12:00:00,0.5056801684306065,0.2673287238371649,0.4657133724600061,0.41343765174493935,0.4891812670406649,0.2365683974396992
2020-01-02 13:00:00,0.5057516440370453,0.2675840647590773,0.4635311200369167,0.41377668071034773,0.4904047859845084,0.23692919589728756
2020-01-02 14:00:00,0.5058232919576627,0.2677499754471442,0.4613432695358741,0.41411481049055876,0.49162895633830633,0.2372888962418817
2020-01-02 15:00:00,0.5058951121928116,0.26771748031079445,0.46537008761959076,0.4144520410868424,0.49224724456443847,0.2376474984734817
