TIMESTAMP,ANGOSTURA,CARABUCO,CHOJLLA,CHOQUETANGA,MIGUILLA,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - SANTA ROSA_1,VALLE DE ZONGO - SANTA ROSA_2,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - ZONGO,YANACACHI
2019-12-31 23:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 00:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 01:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 02:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 03:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 04:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 05:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 06:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 07:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 08:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 09:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 10:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 11:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 12:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 13:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 14:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 15:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 16:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 17:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 18:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
2020-01-01 19:00:00+00:00,2.83591135,11.88462613,5.865835835,4.310443368,41.30348406,13.12990545,10.82304876,11.44517782,10.24574343,12.54116868,8.833730401,10.96535436,10.29791155,29.61579269,4.763362279,0.309978966,5.300001953
