,AGUAS CALIENTES II ARENALES,MOLINEROS,CACHUELA ESPERANZA,CHEPETE,EL BALA,MIGUILLAS - PALILLADA,MUNECAS,PH_MADERA,OQUITAS
1980-02-10 00:00:00,1.799721021,1.498941615,2.098240507,1.741783431,2.031266448,37.09995008,1.013830427,1.259498215,1.355907422
1980-02-11 00:00:00,1.783548184,1.542214506,2.085209518,1.692458562,2.663508714,35.90004775,0.96675319,1.254955036,1.349330453
1980-02-12 00:00:00,1.574740397,1.506773405,2.078983067,1.662186056,2.545904126,34.81793096,0.954617952,1.263480705,1.226103612
1980-02-13 00:00:00,1.436815484,1.411486626,2.077547651,1.672218928,2.01056804,34.20431365,1.012041441,1.271316843,1.149954279
1980-02-14 00:00:00,2.055134195,1.463446502,2.074386381,1.745862358,2.78769916,36.8020886,1.120197878,1.266373875,1.170763878
1980-02-15 00:00:00,2.608389629,1.50683642,2.065513714,1.807618739,2.115000915,38.84755512,1.206547914,1.25713538,1.211656661
1980-02-16 00:00:00,2.438274619,1.459926698,2.060187885,1.830942806,2.260830604,39.53561892,1.266262615,1.260173557,1.216454595
1980-02-17 00:00:00,2.16105133,1.450465535,2.103019816,1.821991048,2.305049929,41.11054735,1.268431083,1.290928273,1.193000384
1980-02-18 00:00:00,1.983857514,1.4686857,2.146399378,1.794445425,2.706787203,41.23203255,1.242491295,1.312808684,1.212410038
1980-02-19 00:00:00,3.001637772,2.00904321,2.129136344,1.767467062,2.632461103,39.81301894,1.213012403,1.295292361,1.503067124
1980-02-20 00:00:00,4.758552917,2.236156121,2.107308558,1.705495109,2.432062885,37.85974225,1.169458927,1.277364773,1.822706414
1980-02-21 00:00:00,5.297485435,1.856710391,2.102963738,1.637737891,3.259058349,36.43408432,1.114746022,1.288584098,1.8783218
1980-02-22 00:00:00,4.71815121,1.566799126,2.136274448,1.600185447,3.772755191,35.68448514,1.094943408,1.332395107,1.647187177
1980-02-23 00:00:00,3.944368577,1.451428755,2.150116141,1.590260035,2.575070064,35.10507094,1.111810407,1.330712953,1.380993125
1980-02-24 00:00:00,4.807511424,1.473699846,2.128718705,1.628879917,2.32198499,35.77033267,1.157368694,1.306865701,1.455261052
1980-02-25 00:00:00,5.694744578,2.259282407,2.140665362,1.74292837,2.270238971,39.64351348,1.261905221,1.334021966,1.649165435
1980-02-26 00:00:00,5.498327133,2.769140947,2.165693407,1.865622481,2.80745673,42.27232039,1.400053004,1.346771623,1.785721185
1980-02-27 00:00:00,7.383326872,2.358899177,2.162574508,1.906990738,2.732189794,41.19616837,1.435045123,1.327533138,1.889299686
1980-02-28 00:00:00,7.914213081,2.01346322,2.143355666,1.803572376,2.534614086,38.09916399,1.318121734,1.319103803,1.747641623
1980-02-29 00:00:00,7.914213081,2.01346322,2.143355666,1.803572376,2.534614086,38.09916399,1.318121734,1.319103803,1.747641623
1980-03-01 00:00:00,6.410428486,1.94276106,2.12204956,1.764423008,2.105592548,38.88002164,1.232733189,1.29719561,1.648778722
1980-03-02 00:00:00,5.709451577,2.139510031,2.104902974,1.780598694,2.072663263,40.31466449,1.214976299,1.277794592,1.701918049
1980-03-03 00:00:00,6.259298876,2.49405607,2.107683258,1.925470631,3.074654355,44.79746093,1.25916395,1.274941784,2.077627898
1980-03-04 00:00:00,6.383737106,2.852391975,2.127934493,2.199798203,2.712432223,52.67399067,1.331848546,1.302109283,2.202439156
1980-03-05 00:00:00,5.444701282,2.925569702,2.130585997,2.177039442,2.795225853,53.74780208,1.359926116,1.31871827,2.094544612
1980-03-06 00:00:00,5.161062824,2.980239198,2.134889759,2.252040777,2.742538998,54.56301385,1.393015711,1.334622168,2.143698247
1980-03-07 00:00:00,5.749877593,2.855380658,2.139306131,2.346142669,3.569534462,53.88823867,1.398989227,1.333924782,2.164536125
1980-03-08 00:00:00,6.455327375,2.495010288,2.137814776,2.298470734,4.199895055,51.4943988,1.427281598,1.313033734,2.099439182
1980-03-09 00:00:00,5.799079191,2.824692644,2.122604662,2.388364746,4.106752221,57.04964758,1.529015483,1.295317321,2.010198169
1980-03-10 00:00:00,4.849833549,2.939756944,2.108637623,2.318012854,4.437926742,56.13333657,1.468595007,1.282197023,1.841663998
1980-03-11 00:00:00,4.321548412,2.48744856,2.108274105,2.203291635,5.10968415,51.15946508,1.41211255,1.280645909,1.581755007
