,Zongo Tiquimani,Zongo Botijilaca,Zongo Central,Zongo Cuticucho,Zongo Santa Rosa,Zongo Sainami,Zongo Chururaqui,Zongo Harca,Zongo Cahua,Chepete,Bala,Cachuela Esperanza,Binacional Madera
01/01/1980,0.10,9.01,3.29,11.02,11.97,2.62,1.67,37.97,16.22,2055.91,17878.86,711.14,5808.29
02/01/1980,0.10,6.43,2.35,7.87,8.55,1.87,1.19,27.11,11.58,1592.54,13849.19,695.35,5584.32
03/01/1980,0.10,5.34,1.95,6.53,7.09,1.55,0.99,22.51,9.61,1370.99,11922.53,690.63,6073.01
04/01/1980,0.10,4.80,1.75,5.86,6.37,1.40,0.89,20.21,8.63,1225.32,10655.80,684.25,5978.89
05/01/1980,0.10,4.41,1.61,5.39,5.85,1.28,0.82,18.57,7.93,1113.40,9682.43,677.35,5901.32
06/01/1980,0.10,4.10,1.50,5.01,5.45,1.19,0.76,17.28,7.38,1029.97,8956.91,669.78,5842.58
07/01/1980,0.10,3.92,1.43,4.80,5.21,1.14,0.73,16.54,7.07,1001.38,8708.35,670.87,5970.76
08/01/1980,0.10,3.80,1.39,4.65,5.05,1.11,0.70,16.01,6.84,1031.95,8974.17,683.40,6010.60
09/01/1980,0.10,3.65,1.33,4.47,4.85,1.06,0.68,15.40,6.58,980.88,8530.02,690.06,6043.06
10/01/1980,0.10,3.54,1.29,4.33,4.70,1.03,0.66,14.93,6.38,948.11,8245.04,685.69,6000.32
11/01/1980,0.10,3.52,1.29,4.31,4.68,1.02,0.65,14.84,6.34,926.29,8055.32,688.86,6125.15
12/01/1980,0.10,3.47,1.26,4.24,4.60,1.01,0.64,14.61,6.24,926.16,8054.20,743.65,6409.87
13/01/1980,0.10,3.40,1.24,4.16,4.52,0.99,0.63,14.35,6.13,889.51,7735.49,743.14,6166.17
14/01/1980,0.10,3.35,1.22,4.09,4.44,0.97,0.62,14.10,6.02,834.45,7256.66,736.97,6019.29
15/01/1980,0.10,3.19,1.16,3.90,4.24,0.93,0.59,13.45,5.74,786.06,6835.79,730.31,5922.87
16/01/1980,0.10,3.15,1.15,3.86,4.19,0.92,0.58,13.29,5.68,757.44,6586.90,723.63,5866.74
17/01/1980,0.10,3.15,1.15,3.86,4.19,0.92,0.59,13.29,5.68,732.54,6370.40,717.49,5825.38
18/01/1980,0.10,3.02,1.10,3.70,4.02,0.88,0.56,12.74,5.44,695.20,6045.68,709.83,5798.14
19/01/1980,0.10,2.90,1.06,3.54,3.85,0.84,0.54,12.21,5.21,664.04,5774.67,702.98,5777.63
20/01/1980,0.10,2.85,1.04,3.48,3.78,0.83,0.53,12.00,5.13,654.87,5694.94,698.34,5768.10
21/01/1980,0.10,2.81,1.03,3.43,3.73,0.82,0.52,11.84,5.06,637.03,5539.79,691.46,5740.70
22/01/1980,0.10,2.75,1.00,3.37,3.66,0.80,0.51,11.60,4.96,611.99,5322.04,682.13,5704.78
23/01/1980,0.10,2.81,1.03,3.44,3.74,0.82,0.52,11.86,5.07,622.42,5412.76,674.57,5679.04
24/01/1980,0.10,2.95,1.08,3.60,3.92,0.86,0.55,12.43,5.31,645.50,5613.46,668.37,5654.65
25/01/1980,0.10,3.03,1.11,3.71,4.03,0.88,0.56,12.79,5.46,671.62,5840.61,667.31,5699.13
26/01/1980,0.10,3.02,1.10,3.69,4.01,0.88,0.56,12.72,5.43,655.51,5700.49,665.35,5742.54
27/01/1980,0.10,3.29,1.20,4.02,4.37,0.96,0.61,13.86,5.92,706.72,6145.90,657.96,5723.02
28/01/1980,0.10,3.49,1.27,4.26,4.63,1.01,0.65,14.69,6.28,747.28,6498.57,648.67,5679.46
29/01/1980,0.10,3.31,1.21,4.04,4.39,0.96,0.61,13.94,5.95,711.17,6184.55,639.94,5671.68
30/01/1980,0.10,3.15,1.15,3.85,4.18,0.92,0.58,13.26,5.67,667.59,5805.60,630.16,5662.75
31/01/1980,0.10,3.11,1.13,3.80,4.13,0.90,0.58,13.09,5.59,658.71,5728.31,628.90,5704.40
01/02/1980,0.10,3.08,1.13,3.77,4.10,0.90,0.57,13.00,5.55,675.03,5870.26,644.81,5762.12
02/02/1980,0.10,2.93,1.07,3.59,3.90,0.85,0.54,12.36,5.28,641.22,5576.21,650.49,5728.10
03/02/1980,0.10,2.77,1.01,3.39,3.68,0.81,0.51,11.68,4.99,593.35,5159.97,643.46,5679.78
04/02/1980,0.10,2.63,0.96,3.22,3.50,0.77,0.49,11.09,4.74,559.17,4862.75,634.56,5634.45
05/02/1980,0.10,2.66,0.97,3.25,3.54,0.77,0.49,11.22,4.79,556.59,4840.27,624.97,5593.48
06/02/1980,0.10,2.65,0.97,3.24,3.52,0.77,0.49,11.17,4.77,542.73,4719.71,615.08,5565.49
07/02/1980,0.10,2.55,0.93,3.12,3.39,0.74,0.47,10.75,4.59,532.68,4632.32,616.83,5643.70
08/02/1980,0.10,2.45,0.89,2.99,3.25,0.71,0.45,10.31,4.41,520.17,4523.58,620.95,5689.16
09/02/1980,0.10,2.33,0.85,2.85,3.10,0.68,0.43,9.83,4.20,496.90,4321.21,614.84,5641.71
10/02/1980,0.10,2.23,0.81,2.72,2.96,0.65,0.41,9.38,4.01,481.91,4190.85,605.26,5591.84
11/02/1980,0.10,2.12,0.78,2.60,2.82,0.62,0.39,8.95,3.82,471.01,4096.03,596.27,5590.64
12/02/1980,0.10,2.10,0.77,2.57,2.79,0.61,0.39,8.85,3.78,463.45,4030.27,588.43,5625.82
13/02/1980,0.10,2.23,0.81,2.72,2.96,0.65,0.41,9.39,4.01,460.12,4001.38,582.68,5637.57
14/02/1980,0.10,2.46,0.90,3.01,3.27,0.72,0.46,10.38,4.44,469.31,4081.27,577.81,5596.02
15/02/1980,0.10,2.65,0.97,3.24,3.52,0.77,0.49,11.17,4.77,476.17,4140.89,572.38,5542.15
16/02/1980,0.10,2.78,1.02,3.40,3.69,0.81,0.52,11.72,5.01,476.99,4148.02,569.20,5552.57
17/02/1980,0.10,2.79,1.02,3.41,3.70,0.81,0.52,11.74,5.02,484.24,4211.08,582.20,5698.02
18/02/1980,0.10,2.73,1.00,3.34,3.63,0.80,0.51,11.52,4.92,485.95,4225.95,594.88,5786.61
19/02/1980,0.10,2.67,0.98,3.27,3.55,0.78,0.50,11.26,4.81,475.83,4137.97,589.39,5710.33
20/02/1980,0.10,2.58,0.94,3.15,3.43,0.75,0.48,10.87,4.64,458.60,3988.16,581.81,5624.05
21/02/1980,0.10,2.46,0.90,3.01,3.27,0.72,0.46,10.37,4.43,453.08,3940.08,580.63,5685.54
22/02/1980,0.10,2.42,0.88,2.96,3.21,0.70,0.45,10.20,4.36,458.05,3983.37,592.10,5906.12
23/02/1980,0.10,2.46,0.90,3.00,3.26,0.72,0.46,10.36,4.42,451.14,3923.22,594.71,5859.54
24/02/1980,0.10,2.56,0.93,3.13,3.40,0.74,0.47,10.78,4.60,452.98,3939.28,588.64,5765.41
25/02/1980,0.10,2.78,1.02,3.40,3.70,0.81,0.52,11.73,5.01,481.04,4183.25,594.11,5903.46
26/02/1980,0.10,3.08,1.12,3.77,4.09,0.90,0.57,12.98,5.55,512.65,4458.13,601.73,5918.29
27/02/1980,0.10,3.15,1.15,3.86,4.19,0.92,0.58,13.29,5.68,516.88,4494.98,602.34,5827.61
28/02/1980,0.10,2.90,1.06,3.55,3.86,0.84,0.54,12.23,5.23,486.39,4229.80,599.16,5827.87
01/03/1980,0.10,2.72,0.99,3.33,3.62,0.79,0.50,11.47,4.90,472.16,4106.03,591.89,5741.44
02/03/1980,0.10,2.68,0.98,3.28,3.57,0.78,0.50,11.32,4.83,470.34,4090.21,584.21,5643.99
03/03/1980,0.10,2.78,1.02,3.40,3.69,0.81,0.52,11.72,5.01,499.26,4341.69,583.79,5628.95
04/03/1980,0.10,2.94,1.07,3.59,3.90,0.85,0.54,12.37,5.29,555.42,4830.15,590.34,5763.37
05/03/1980,0.10,3.00,1.09,3.66,3.98,0.87,0.56,12.62,5.39,547.76,4763.51,590.52,5833.27
06/03/1980,0.10,3.07,1.12,3.75,4.07,0.89,0.57,12.92,5.52,562.19,4888.95,592.36,5906.80
07/03/1980,0.10,3.08,1.12,3.76,4.09,0.90,0.57,12.97,5.54,580.88,5051.47,592.94,5892.03
08/03/1980,0.10,3.14,1.15,3.84,4.17,0.91,0.58,13.23,5.65,581.77,5059.26,591.80,5789.92
09/03/1980,0.10,3.36,1.23,4.10,4.46,0.98,0.62,14.15,6.04,603.96,5252.24,585.77,5706.61
10/03/1980,0.10,3.22,1.18,3.94,4.28,0.94,0.60,13.59,5.80,584.38,5081.96,581.14,5644.89
11/03/1980,0.10,3.11,1.13,3.80,4.13,0.90,0.58,13.09,5.59,558.51,4856.94,581.05,5641.68
12/03/1980,0.10,3.04,1.11,3.71,4.03,0.88,0.56,12.80,5.47,541.34,4707.70,577.57,5595.28
13/03/1980,0.10,2.85,1.04,3.48,3.78,0.83,0.53,12.01,5.13,511.22,4445.75,574.42,5573.65
14/03/1980,0.10,2.66,0.97,3.26,3.54,0.77,0.49,11.22,4.79,477.22,4150.07,572.52,5552.43
15/03/1980,0.10,2.54,0.93,3.11,3.38,0.74,0.47,10.72,4.58,458.05,3983.36,569.42,5517.53
16/03/1980,0.10,2.52,0.92,3.08,3.35,0.73,0.47,10.63,4.54,451.38,3925.34,565.88,5503.14
17/03/1980,0.10,2.54,0.93,3.10,3.37,0.74,0.47,10.70,4.57,460.24,4002.35,563.03,5465.84
18/03/1980,0.10,2.54,0.93,3.11,3.38,0.74,0.47,10.71,4.58,480.64,4179.81,569.91,5486.76
19/03/1980,0.10,2.52,0.92,3.08,3.35,0.73,0.47,10.62,4.54,487.55,4239.88,583.50,5574.37
20/03/1980,0.10,2.54,0.93,3.10,3.37,0.74,0.47,10.69,4.56,489.01,4252.59,588.88,5605.08
21/03/1980,0.10,2.50,0.91,3.06,3.32,0.73,0.46,10.53,4.50,477.99,4156.76,587.08,5585.50
22/03/1980,0.10,2.58,0.94,3.15,3.42,0.75,0.48,10.86,4.64,477.78,4154.93,584.05,5533.54
23/03/1980,0.10,2.83,1.03,3.46,3.76,0.82,0.52,11.93,5.09,501.50,4361.24,583.79,5510.10
24/03/1980,0.10,2.93,1.07,3.58,3.89,0.85,0.54,12.33,5.27,507.16,4410.38,582.55,5514.73
25/03/1980,0.10,2.92,1.07,3.58,3.88,0.85,0.54,12.32,5.26,517.53,4500.63,577.27,5474.17
26/03/1980,0.10,2.92,1.07,3.57,3.88,0.85,0.54,12.32,5.26,557.18,4845.39,572.71,5423.81
27/03/1980,0.10,3.25,1.18,3.97,4.31,0.94,0.60,13.68,5.84,570.45,4960.78,570.16,5395.15
28/03/1980,0.10,3.43,1.25,4.20,4.56,1.00,0.64,14.47,6.18,562.03,4887.58,568.26,5378.35
29/03/1980,0.10,3.25,1.19,3.97,4.32,0.95,0.60,13.70,5.85,536.73,4667.61,565.42,5346.55
30/03/1980,0.10,2.99,1.09,3.66,3.98,0.87,0.56,12.61,5.39,503.80,4381.19,564.84,5353.15
31/03/1980,0.10,2.81,1.02,3.43,3.73,0.82,0.52,11.82,5.05,474.16,4123.41,564.80,5369.97
01/04/1980,0.10,2.75,1.01,3.37,3.66,0.80,0.51,11.61,4.96,460.90,4008.17,562.53,5338.89
02/04/1980,0.10,2.66,0.97,3.25,3.54,0.77,0.49,11.22,4.79,451.70,3928.10,561.21,5303.06
03/04/1980,0.10,2.49,0.91,3.05,3.31,0.73,0.46,10.51,4.49,435.72,3789.18,560.14,5254.38
04/04/1980,0.10,2.40,0.88,2.93,3.19,0.70,0.44,10.11,4.32,420.40,3655.93,558.23,5219.23
05/04/1980,0.10,2.34,0.85,2.86,3.10,0.68,0.43,9.85,4.21,419.13,3644.92,558.78,5256.93
06/04/1980,0.10,2.25,0.82,2.76,2.99,0.66,0.42,9.50,4.06,411.21,3576.01,560.49,5295.40
07/04/1980,0.10,2.15,0.79,2.63,2.86,0.63,0.40,9.08,3.88,391.20,3402.03,561.54,5309.63
08/04/1980,0.10,2.05,0.75,2.50,2.72,0.60,0.38,8.63,3.68,370.44,3221.49,561.79,5286.76
09/04/1980,0.10,1.95,0.71,2.38,2.59,0.57,0.36,8.22,3.51,355.01,3087.28,563.62,5276.01
10/04/1980,0.10,1.86,0.68,2.28,2.47,0.54,0.35,7.85,3.35,340.97,2965.16,563.75,5264.02
11/04/1980,0.10,1.78,0.65,2.18,2.37,0.52,0.33,7.52,3.21,326.74,2841.47,560.54,5228.87
12/04/1980,0.10,1.71,0.62,2.09,2.27,0.50,0.32,7.22,3.08,314.02,2730.81,557.91,5192.29
13/04/1980,0.10,1.65,0.60,2.02,2.19,0.48,0.31,6.95,2.97,302.16,2627.67,555.75,5163.06
14/04/1980,0.10,1.60,0.58,1.95,2.12,0.47,0.30,6.74,2.88,297.95,2591.03,556.87,5159.87
15/04/1980,0.10,1.55,0.56,1.89,2.06,0.45,0.29,6.52,2.79,292.24,2541.39,558.52,5161.09
16/04/1980,0.10,1.49,0.55,1.83,1.99,0.43,0.28,6.30,2.69,280.24,2437.08,559.27,5136.06
17/04/1980,0.10,1.44,0.53,1.77,1.92,0.42,0.27,6.09,2.60,269.26,2341.59,558.87,5088.33
18/04/1980,0.10,1.41,0.51,1.72,1.87,0.41,0.26,5.93,2.53,260.66,2266.79,556.44,5025.65
19/04/1980,0.10,1.37,0.50,1.68,1.82,0.40,0.25,5.77,2.47,252.83,2198.71,554.70,4957.47
20/04/1980,0.10,1.32,0.48,1.62,1.76,0.39,0.25,5.58,2.38,243.98,2121.69,553.16,4893.95
21/04/1980,0.10,1.28,0.47,1.57,1.70,0.37,0.24,5.40,2.31,235.51,2048.08,551.59,4833.30
22/04/1980,0.10,1.24,0.45,1.52,1.65,0.36,0.23,5.23,2.23,228.46,1986.76,550.24,4780.78
23/04/1980,0.10,1.20,0.44,1.47,1.60,0.35,0.22,5.07,2.17,221.94,1930.08,457.50,4317.13
24/04/1980,0.10,1.17,0.43,1.43,1.55,0.34,0.22,4.91,2.10,214.87,1868.60,380.31,3926.52
25/04/1980,0.10,1.14,0.42,1.39,1.51,0.33,0.21,4.81,2.05,209.09,1818.28,374.26,3844.61
26/04/1980,0.10,1.13,0.41,1.38,1.50,0.33,0.21,4.74,2.03,211.30,1837.55,449.21,4152.03
27/04/1980,0.10,1.10,0.40,1.35,1.46,0.32,0.20,4.64,1.98,211.33,1837.83,505.40,4364.61
28/04/1980,0.10,1.12,0.41,1.37,1.49,0.33,0.21,4.72,2.01,214.44,1864.87,487.86,4256.26
29/04/1980,0.10,1.22,0.45,1.49,1.62,0.35,0.23,5.14,2.19,231.61,2014.19,473.71,5793.93
30/04/1980,0.10,1.26,0.46,1.54,1.67,0.37,0.23,5.31,2.27,253.48,2204.36,512.00,4466.18
01/05/1980,0.10,1.26,0.46,1.54,1.67,0.37,0.23,5.31,2.27,273.35,2377.10,583.71,4890.17
02/05/1980,0.10,1.24,0.45,1.51,1.64,0.36,0.23,5.21,2.23,270.96,2356.37,589.98,5033.91
03/05/1980,0.10,1.18,0.43,1.44,1.57,0.34,0.22,4.97,2.12,253.18,2201.73,581.44,5136.97
04/05/1980,0.10,1.13,0.41,1.38,1.50,0.33,0.21,4.75,2.03,237.00,2061.00,573.89,5130.70
05/05/1980,0.10,1.08,0.39,1.32,1.44,0.31,0.20,4.56,1.95,224.17,1949.46,568.22,5028.50
06/05/1980,0.10,1.04,0.38,1.27,1.38,0.30,0.19,4.39,1.88,213.55,1857.14,550.19,4863.51
07/05/1980,0.10,1.01,0.37,1.24,1.34,0.29,0.19,4.26,1.82,205.55,1787.50,477.28,4453.30
08/05/1980,0.10,0.98,0.36,1.20,1.31,0.29,0.18,4.15,1.77,198.88,1729.50,458.36,4295.83
09/05/1980,0.10,0.96,0.35,1.17,1.27,0.28,0.18,4.03,1.72,191.97,1669.46,399.80,3919.37
10/05/1980,0.10,0.93,0.34,1.13,1.23,0.27,0.17,3.91,1.67,185.30,1611.41,378.02,3728.79
11/05/1980,0.10,0.90,0.33,1.10,1.19,0.26,0.17,3.79,1.62,179.28,1559.03,365.20,3579.30
12/05/1980,0.10,0.88,0.32,1.07,1.16,0.25,0.16,3.69,1.58,174.44,1516.97,353.74,3464.60
13/05/1980,0.10,0.85,0.31,1.04,1.13,0.25,0.16,3.60,1.54,169.75,1476.24,342.20,3371.00
14/05/1980,0.10,0.83,0.30,1.02,1.11,0.24,0.15,3.51,1.50,166.18,1445.11,331.92,3301.55
15/05/1980,0.10,0.83,0.30,1.02,1.10,0.24,0.15,3.50,1.49,166.23,1445.63,323.20,3249.17
16/05/1980,0.10,0.85,0.31,1.04,1.13,0.25,0.16,3.57,1.53,175.28,1524.29,318.99,3266.87
17/05/1980,0.10,0.85,0.31,1.04,1.13,0.25,0.16,3.60,1.54,182.11,1583.68,324.82,3437.81
18/05/1980,0.10,0.83,0.30,1.02,1.11,0.24,0.15,3.51,1.50,176.94,1538.69,325.80,3513.25
19/05/1980,0.10,0.80,0.29,0.98,1.07,0.23,0.15,3.39,1.45,169.30,1472.32,318.57,3540.56
20/05/1980,0.10,0.78,0.28,0.95,1.04,0.23,0.14,3.29,1.40,164.05,1426.60,311.03,3521.79
21/05/1980,0.10,0.76,0.28,0.93,1.01,0.22,0.14,3.19,1.36,159.43,1386.41,302.38,3461.87
22/05/1980,0.10,0.74,0.27,0.90,0.98,0.21,0.14,3.10,1.32,154.16,1340.60,294.61,3408.86
23/05/1980,0.10,0.72,0.26,0.88,0.95,0.21,0.13,3.02,1.29,148.88,1294.68,287.19,3369.57
24/05/1980,0.10,0.70,0.25,0.85,0.93,0.20,0.13,2.94,1.26,144.09,1253.08,280.19,3313.44
25/05/1980,0.10,0.68,0.25,0.83,0.90,0.20,0.13,2.87,1.22,139.74,1215.24,273.70,3220.53
26/05/1980,0.10,0.66,0.24,0.81,0.88,0.19,0.12,2.79,1.19,135.83,1181.18,267.67,3098.45
27/05/1980,0.10,0.65,0.24,0.79,0.86,0.19,0.12,2.73,1.17,132.17,1149.43,262.11,2984.58
28/05/1980,0.10,0.63,0.23,0.77,0.84,0.18,0.12,2.67,1.14,128.71,1119.34,256.85,2884.19
29/05/1980,0.10,0.62,0.23,0.76,0.82,0.18,0.11,2.61,1.12,125.62,1092.45,251.83,2807.90
30/05/1980,0.10,0.61,0.22,0.74,0.81,0.18,0.11,2.56,1.09,123.08,1070.38,247.13,2745.50
31/05/1980,0.10,0.60,0.22,0.73,0.79,0.17,0.11,2.51,1.07,120.54,1048.27,242.75,2700.26
01/06/1980,0.10,0.59,0.21,0.72,0.78,0.17,0.11,2.47,1.05,117.90,1025.27,238.53,2680.02
02/06/1980,0.10,0.65,0.24,0.79,0.86,0.19,0.12,2.73,1.17,130.66,1136.29,234.63,2668.90
03/06/1980,0.10,0.82,0.30,1.00,1.08,0.24,0.15,3.44,1.47,155.22,1349.88,235.36,2670.94
04/06/1980,0.10,0.85,0.31,1.03,1.12,0.25,0.16,3.56,1.52,154.27,1341.54,239.43,2658.36
05/06/1980,0.10,0.78,0.28,0.95,1.04,0.23,0.14,3.29,1.40,144.06,1252.81,236.22,2584.18
06/06/1980,0.10,0.74,0.27,0.90,0.98,0.21,0.14,3.10,1.32,136.59,1187.84,230.45,2484.61
07/06/1980,0.10,0.70,0.26,0.86,0.93,0.20,0.13,2.96,1.26,130.70,1136.61,225.57,2573.75
08/06/1980,0.10,0.67,0.25,0.82,0.90,0.20,0.13,2.84,1.21,125.98,1095.60,221.25,2331.13
09/06/1980,0.10,0.65,0.24,0.80,0.87,0.19,0.12,2.75,1.17,121.86,1059.76,217.37,2270.58
10/06/1980,0.10,0.63,0.23,0.77,0.84,0.18,0.12,2.66,1.14,117.96,1025.84,213.75,2210.32
11/06/1980,0.10,0.61,0.22,0.75,0.81,0.18,0.11,2.58,1.10,114.37,994.61,210.27,2156.31
12/06/1980,0.10,0.60,0.22,0.73,0.80,0.17,0.11,2.53,1.08,112.74,980.39,206.97,2299.03
13/06/1980,0.10,0.61,0.22,0.75,0.82,0.18,0.11,2.59,1.11,117.99,1026.06,204.33,2095.43
14/06/1980,0.10,0.64,0.23,0.78,0.85,0.19,0.12,2.69,1.15,123.53,1074.28,204.24,2093.76
15/06/1980,0.10,0.64,0.23,0.78,0.85,0.19,0.12,2.68,1.15,121.04,1052.62,204.25,2084.69
16/06/1980,0.10,0.62,0.23,0.75,0.82,0.18,0.11,2.60,1.11,116.34,1011.74,201.50,2046.35
17/06/1980,0.10,0.60,0.22,0.73,0.79,0.17,0.11,2.52,1.07,112.36,977.10,198.16,2078.76
18/06/1980,0.10,0.59,0.21,0.72,0.78,0.17,0.11,2.48,1.06,111.10,966.17,194.20,1989.80
19/06/1980,0.10,0.59,0.22,0.72,0.79,0.17,0.11,2.50,1.07,112.51,978.42,190.64,1920.71
20/06/1980,0.10,0.59,0.21,0.72,0.78,0.17,0.11,2.47,1.05,110.98,965.09,188.31,1875.86
21/06/1980,0.10,0.57,0.21,0.70,0.76,0.17,0.11,2.40,1.03,107.28,932.92,185.42,1831.87
22/06/1980,0.10,0.56,0.20,0.68,0.74,0.16,0.10,2.34,1.00,103.99,904.31,179.79,1781.44
23/06/1980,0.10,0.54,0.20,0.66,0.72,0.16,0.10,2.27,0.97,100.78,876.41,171.76,1720.94
24/06/1980,0.10,0.52,0.19,0.64,0.70,0.15,0.10,2.21,0.94,99.45,864.83,164.04,1663.91
25/06/1980,0.10,0.51,0.19,0.62,0.68,0.15,0.10,2.15,0.92,98.06,852.77,157.97,1618.63
26/06/1980,0.10,0.50,0.18,0.61,0.66,0.14,0.10,2.10,0.90,95.75,832.71,153.35,1591.35
27/06/1980,0.10,0.49,0.18,0.60,0.65,0.14,0.10,2.05,0.88,93.63,814.20,148.91,1563.44
28/06/1980,0.10,0.48,0.17,0.58,0.63,0.14,0.10,2.01,0.86,91.14,792.56,144.07,1530.14
29/06/1980,0.10,0.47,0.17,0.57,0.62,0.14,0.10,1.96,0.84,88.85,772.67,139.47,1496.26
30/06/1980,0.10,0.48,0.17,0.59,0.64,0.14,0.10,2.02,0.86,89.61,779.26,135.24,1458.39
01/07/1980,0.10,0.51,0.19,0.63,0.68,0.15,0.10,2.16,0.92,94.23,819.43,132.17,1427.27
02/07/1980,0.10,0.54,0.20,0.66,0.72,0.16,0.10,2.28,0.97,97.75,850.05,130.44,1404.57
03/07/1980,0.10,0.56,0.20,0.68,0.74,0.16,0.10,2.34,1.00,100.16,870.99,128.61,1382.15
04/07/1980,0.10,0.55,0.20,0.67,0.73,0.16,0.10,2.33,0.99,100.66,875.34,126.64,1359.60
05/07/1980,0.10,0.53,0.19,0.65,0.71,0.16,0.10,2.25,0.96,97.68,849.49,124.26,1335.87
06/07/1980,0.10,0.51,0.19,0.63,0.68,0.15,0.10,2.16,0.92,93.81,815.84,121.02,1308.34
07/07/1980,0.10,0.50,0.18,0.61,0.66,0.14,0.10,2.09,0.89,90.39,786.07,117.65,1279.27
08/07/1980,0.10,0.48,0.18,0.59,0.64,0.14,0.10,2.03,0.87,87.55,761.38,114.54,1251.51
09/07/1980,0.10,0.50,0.18,0.61,0.66,0.14,0.10,2.10,0.90,90.43,786.42,111.71,1226.20
10/07/1980,0.10,0.53,0.19,0.65,0.70,0.15,0.10,2.23,0.95,95.10,827.04,110.65,1210.83
11/07/1980,0.10,0.57,0.21,0.69,0.75,0.17,0.11,2.39,1.02,96.29,837.33,110.20,1199.94
12/07/1980,0.10,0.58,0.21,0.71,0.77,0.17,0.11,2.44,1.04,94.70,823.55,108.82,1183.50
13/07/1980,0.10,0.56,0.20,0.68,0.74,0.16,0.10,2.34,1.00,90.94,790.82,106.72,1163.61
14/07/1980,0.10,0.53,0.19,0.65,0.71,0.15,0.10,2.24,0.96,89.23,776.01,104.04,1141.66
15/07/1980,0.10,0.51,0.19,0.63,0.68,0.15,0.10,2.15,0.92,87.81,763.62,102.02,1122.77
16/07/1980,0.10,0.49,0.18,0.60,0.65,0.14,0.10,2.08,0.89,84.72,736.73,100.14,1105.16
17/07/1980,0.10,0.48,0.17,0.58,0.63,0.14,0.10,2.01,0.86,81.84,711.70,97.84,1085.46
18/07/1980,0.10,0.46,0.17,0.56,0.61,0.13,0.10,1.94,0.83,79.31,689.67,95.64,1066.29
19/07/1980,0.10,0.45,0.16,0.55,0.59,0.13,0.10,1.88,0.80,77.02,669.75,93.58,1048.14
20/07/1980,0.10,0.43,0.16,0.53,0.58,0.13,0.10,1.83,0.78,74.92,651.57,91.63,1030.98
21/07/1980,0.10,0.42,0.15,0.52,0.56,0.12,0.10,1.78,0.76,73.06,635.39,90.03,1017.76
22/07/1980,0.10,0.42,0.15,0.52,0.56,0.12,0.10,1.79,0.76,72.38,629.48,88.52,1005.76
23/07/1980,0.10,0.43,0.16,0.52,0.57,0.12,0.10,1.80,0.77,72.18,627.68,87.15,992.48
24/07/1980,0.10,0.42,0.15,0.51,0.56,0.12,0.10,1.76,0.75,70.83,615.96,85.96,979.59
25/07/1980,0.10,0.41,0.15,0.50,0.54,0.12,0.10,1.71,0.73,69.06,600.55,84.48,965.35
26/07/1980,0.10,0.40,0.14,0.49,0.53,0.12,0.10,1.67,0.71,67.52,587.14,82.92,951.02
27/07/1980,0.10,0.39,0.14,0.47,0.52,0.11,0.10,1.64,0.70,66.13,575.05,81.46,938.70
28/07/1980,0.10,0.39,0.14,0.48,0.52,0.11,0.10,1.65,0.70,66.89,581.73,80.62,932.53
29/07/1980,0.10,0.40,0.14,0.48,0.53,0.12,0.10,1.67,0.71,68.36,594.52,80.41,937.31
30/07/1980,0.10,0.45,0.16,0.55,0.60,0.13,0.10,1.89,0.81,76.91,668.82,84.59,983.14
31/07/1980,0.10,0.50,0.18,0.61,0.66,0.15,0.10,2.10,0.90,88.01,765.33,107.90,1133.02
01/08/1980,0.10,0.48,0.18,0.59,0.64,0.14,0.10,2.03,0.87,87.03,756.82,122.46,1215.36
02/08/1980,0.10,0.47,0.17,0.57,0.62,0.14,0.10,1.96,0.84,82.97,721.49,116.62,1195.91
03/08/1980,0.10,0.45,0.16,0.55,0.60,0.13,0.10,1.89,0.81,79.80,693.93,111.10,1167.40
04/08/1980,0.10,0.43,0.16,0.53,0.57,0.13,0.10,1.82,0.78,76.75,667.44,106.45,1133.75
05/08/1980,0.10,0.42,0.15,0.51,0.55,0.12,0.10,1.75,0.75,74.02,643.72,102.32,1114.59
06/08/1980,0.10,0.40,0.15,0.49,0.53,0.12,0.10,1.69,0.72,71.53,622.00,98.67,1096.93
07/08/1980,0.10,0.43,0.16,0.53,0.58,0.13,0.10,1.83,0.78,72.84,633.40,95.39,1073.77
08/08/1980,0.10,0.51,0.19,0.63,0.68,0.15,0.10,2.15,0.92,79.54,691.73,94.44,1073.76
09/08/1980,0.10,0.62,0.23,0.76,0.82,0.18,0.11,2.61,1.11,93.40,812.21,95.58,1135.12
10/08/1980,0.10,0.65,0.24,0.80,0.87,0.19,0.12,2.75,1.17,102.27,889.41,98.42,1218.79
11/08/1980,0.10,0.61,0.22,0.74,0.81,0.18,0.11,2.56,1.09,99.21,862.75,99.66,1266.33
12/08/1980,0.10,0.60,0.22,0.73,0.79,0.17,0.11,2.52,1.07,98.48,856.39,97.09,1256.71
13/08/1980,0.10,0.69,0.25,0.85,0.92,0.20,0.13,2.92,1.25,115.79,1006.92,95.12,1261.38
14/08/1980,0.10,0.75,0.27,0.91,0.99,0.22,0.14,3.15,1.34,129.49,1126.05,101.49,1404.64
15/08/1980,0.10,0.73,0.27,0.89,0.97,0.21,0.13,3.06,1.31,132.24,1150.01,116.32,1555.15
16/08/1980,0.10,0.69,0.25,0.84,0.91,0.20,0.13,2.89,1.24,126.05,1096.17,122.81,1593.37
