TIMESTAMP,BANDA AZUL,CANAHUECAL,CORANI,ICONA,JATUN PAMPA,MISICUNI,MOLINEROS,SAN JOSE 1,SAN JOSE 2,SANTA ISABEL,SERIPOMA
1980-01-01,1.8568804444897955,18.290479552387197,5.574486328145,16.132206523261765,13.61102386132786,5.48875659331125,35.253658833210004,7.959276572612728,10.224025185326088,3.326111098339355,18.280514351124
1980-02-01,1.0636974991836736,9.820799411094002,3.19332012846,9.241421465594117,7.308225508601423,3.9697089175575004,18.165809774430002,4.55961702019091,5.856963133617392,1.905239164580323,9.815477333058
1980-03-01,0.7459891040816328,6.724707503904,2.2394712589200005,6.480962468814706,5.004238432917463,3.3969390954675003,12.1227146196075,3.1977052115399998,4.107251529352174,1.3361537108777422,6.721070817222
1980-04-01,0.5819667048979592,5.2275869595972,1.7475709361016665,5.05608879867353,3.8901657045657463,3.0294692999699993,9.327124192207501,2.4945627739909098,3.204329775730435,1.0424024815393549,5.224725193068001
1980-05-01,0.4996154920408164,4.4599785662988,1.49989278761,4.340847094173529,3.3189470043698077,2.7551608610775005,7.8211380495375,2.1418537842818184,2.750997835486957,0.8950664417458066,4.457538247572001
1980-06-01,0.4729584520408164,3.9249013989132,1.420405381815,4.109289540167647,2.9207668224024,2.6335335343987505,6.8253076741275,2.0275078053600004,2.6045202981913045,0.8471822288129032,3.922797358746
1980-07-01,0.43637302469387756,3.4678288616868005,1.309814208535,3.7912485120882358,2.5806244043128848,2.6136936158625,6.11634120345,1.8704954163927277,2.402980037021739,0.7818018611545162,3.4659523393560003
1980-08-01,0.40012761061224483,3.1722843917700003,1.2015270180316664,3.476479831676471,2.3606696904858007,2.5274331004875,5.679431484817501,1.7151896838272727,2.2030435445086956,0.7164214934961292,3.1705550163
1980-09-01,0.4597659373469388,3.119361503832,1.3800856832233335,3.9942898935617643,2.3213236380017537,2.3997675377325005,5.43876589647,1.9706192586327276,2.5312815295434783,0.8232401223464516,3.1176741132000005
1980-10-01,0.5041716697959183,3.1743848332368003,1.51371668427,4.380271092264706,2.3622584859542775,2.4774020015700002,5.303132377852502,2.161195890169091,2.7761235444391303,0.9033540939841938,3.1726702524240005
1980-11-01,0.47486252632653064,3.1777208285076006,1.4250133473683333,4.125495452426471,2.3647351377139616,2.44721082118875,5.1977054507175,2.0354722019018183,2.614677499682608,0.8508656298077418,3.1759810567920006
1980-12-01,0.45228564551020417,3.1854224472192,1.3581978468449998,3.929310418447059,2.3704361096890847,2.3160948378187505,5.13235655019,1.9387616724654544,2.490118134026087,0.8103482188645162,3.1836602835900005
1980-01-13,0.4696263220408164,3.638294101512,1.41003745932,4.080305889397059,2.7074476661201308,2.3238582842025006,5.934904225852501,2.013285668678182,2.5858096638652173,0.8416571273206455,3.636320814126
1980-01-14,0.48519892959183664,3.8945891455884,1.4561171148533336,4.215562926326471,2.8981965808943313,2.2272465069825005,6.5733886497375,2.079845268349091,2.671878581765217,0.8692826347819353,3.8924943021000002
1980-01-15,0.4775826324489796,3.6390766189212003,1.4330772870866668,4.1488693643382355,2.7080551467404304,2.2056813781387503,6.4107073988775,2.0468499112472727,2.6296460071434784,0.8554698810512902,3.6371025318240005
1980-01-16,0.45935792142857146,3.5943495712164,1.3789336918350001,3.9910175458941177,2.6747371711809,2.20136835237,6.702507021172501,1.9689126022309091,2.5291431713347827,0.8232401223464516,3.592360689462
1980-01-17,0.4299127726530612,3.5976855664872,1.2902303549333334,3.7351511234999997,2.6772605522190687,2.1685893565275003,6.545156345280001,1.8426200284963636,2.367162537026087,0.7698308079212902,3.595717477224001
1980-01-18,0.3951634169387756,3.4197246335844005,1.1865511299833331,3.4331601816000004,2.54482977699367,2.0952679184587497,5.8488253115625,1.6935720360709092,2.175779477347826,0.708133841257742,3.417853709232
1980-01-19,0.3670783212244898,3.2354623762812,1.102455758635,3.1891365412411767,2.4076793446413234,1.9943431154700002,5.612503154670001,1.5735372024763639,2.0212830967695656,0.6574870775787097,3.233690216262001
1980-01-20,0.40101164510204085,3.6257326378380004,1.2038310008083333,3.4841153095676476,2.6981018104232075,2.04523681954125,6.1510886550900015,1.7191718820981818,2.207854850478261,0.7182631939935484,3.6237673475639998
1980-01-21,0.40774390775510205,3.7831010073408,1.2234148544099999,3.542238437188235,2.8152053823056544,2.03661076800375,6.417814832167499,1.747616155461818,2.244741529578261,0.7302342472267744,3.781030555044
1980-01-22,0.36429021244897963,3.48940986813,1.0932398275283335,3.1646718467735298,2.5966525468331083,1.9908926948549999,5.731947519682499,1.5615906076636363,2.005779999756522,0.6528828263351615,3.487518551142
1980-01-23,0.3375651697959184,3.2666807023956,1.0137524217333334,2.9329584666882353,2.4309505253266623,2.18066582868,5.349528122940001,1.4472446287418184,1.858767872908696,0.604998613402258,3.264912940788
1980-01-24,0.3747626210204082,3.3571644259752,1.1254955864016667,3.256141755388235,2.498287415622993,2.37992761919625,5.7424112409150005,1.6065325595781816,2.0635156713913045,0.6712998313093549,3.3553622767860007
1980-01-25,0.4164482473469388,3.6878398090524,1.2499106563416669,3.6178140857029417,2.7443637961229768,2.5998919334025,7.2707068269675,1.785162596301818,2.2928545892739134,0.7458887014548388,3.6858449294639994
1980-01-26,0.41672025795918366,4.0687198616988,1.2510626477300002,3.6201514768941174,3.02777687013217,2.4610125036487505,9.855245971395,1.7863003672363635,2.294458357930435,0.7468095517035482,4.066495464996
1980-01-27,0.5880189410204083,5.622469955355601,1.7648508069266666,5.108913839594118,4.183999407677008,2.9276818918274996,14.8519690029675,2.520731505485455,3.2380089175173916,1.0534526845238708,5.61940066377
