,ANGOSTURA,CARABUCO,CHOQUETANGA,KANATA,SAN JOSE 1,SANTA ISABEL
2020-01-03 02:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 03:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 04:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 05:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 06:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 07:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 08:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 09:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 10:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 11:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 12:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 13:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 14:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 15:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 16:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 17:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 18:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 19:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 20:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 21:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
2020-01-03 22:00:00+00:00,0.410509858,1.731104046,0.621581979,0.401048803,0.160480755,0.154152212
