,CARABUCO,CHOQUETANGA,KANATA,QUEHATA,SAN JOSE 1,SAN JOSE 2,SANTA ISABEL,index,QOLLPANA I,QOLLPANA II,ORURO I,ORURO II,QOLLPANA I,QOLLPANA II,ORURO I,ORURO II
0,,,,,,,,,,,,,0.296379753,0.20032461399999998,0.0,0.0
1,,,,,,,,,,,,,0.294458893,0.204375639,0.0,0.0
2,,,,,,,,,,,,,0.250323659,0.17087660899999998,0.0,0.0
3,,,,,,,,,,,,,0.18564059600000002,0.11866347099999999,0.0,0.0
4,,,,,,,,,,,,,0.123647411,0.069057075,0.0,0.0
5,,,,,,,,,,,,,0.080462698,0.040068035,0.0,0.0
6,,,,,,,,,,,,,0.057645075999999996,0.028218614,0.0,0.0
7,,,,,,,,,,,,,0.044555000000000004,0.022916725,0.02141314,0.02141314
8,,,,,,,,,,,,,0.071224272,0.034942796,0.13741266,0.13741266
9,,,,,,,,,,,,,0.149971802,0.08954162199999999,0.32445576,0.32445576
10,,,,,,,,,,,,,0.213799312,0.141728193,0.43263820000000003,0.43263820000000003
11,,,,,,,,,,,,,0.27110022,0.18689798,0.46675558,0.46675558
12,,,,,,,,,,,,,0.326903614,0.22771529399999998,0.47942844,0.47942844
13,,,,,,,,,,,,,0.356059034,0.247807895,0.46196576,0.46196576
14,,,,,,,,,,,,,0.35442243,0.246700909,0.43584076,0.43584076
15,,,,,,,,,,,,,0.34127757299999995,0.237721088,0.39583762,0.39583762
16,,,,,,,,,,,,,0.332194178,0.231421226,0.3218723,0.3218723
17,,,,,,,,,,,,,0.33529202,0.233578617,0.22177606,0.22177606
18,,,,,,,,,,,,,0.308192354,0.21438585,0.1138652,0.1138652
19,,,,,,,,,,,,,0.19198505300000002,0.123882441,0.02551608,0.02551608
20,,,,,,,,,,,,,0.142414732,0.083524344,0.0,0.0
21,,,,,,,,,,,,,0.18748368699999998,0.12018007,0.0,0.0
22,,,,,,,,,,,,,0.19762685100000002,0.128516642,0.0,0.0
23,,,,,,,,,,,,,0.16121650699999998,0.098631215,0.0,0.0
24,,,,,,,,,,,,,0.126568186,0.071254177,0.0,0.0
25,,,,,,,,,,,,,0.11217129699999999,0.060666005,0.0,0.0
26,,,,,,,,,,,,,0.105184369,0.05577228,0.0,0.0
27,,,,,,,,,,,,,0.09184921900000001,0.046963302,0.0,0.0
28,,,,,,,,,,,,,0.074211674,0.036552323,0.0,0.0
29,,,,,,,,,,,,,0.061497921,0.03002724,0.0,0.0
30,,,,,,,,,,,,,0.05193109,0.025679435,0.0,0.0
31,,,,,,,,,,,,,0.041059332999999996,0.021943433,0.03132448,0.03132448
32,,,,,,,,,,,,,0.068155192,0.033337772,0.23444984,0.23444984
33,,,,,,,,,,,,,0.102603554,0.054010669000000004,0.47001528,0.47001528
34,,,,,,,,,,,,,0.122201865,0.067978313,0.64591566,0.64591566
35,,,,,,,,,,,,,0.141796586,0.083036206,0.76125846,0.76125846
36,,,,,,,,,,,,,0.169844805,0.105680543,0.81600752,0.81600752
37,,,,,,,,,,,,,0.20603159699999998,0.135399124,0.80167766,0.80167766
